published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2025-12-08,990.0,990.0,981.0,990.0,0.0,1482.0,1461846.7,0
2025-12-09,1009.0,1009.0,990.0,991.5,-1.73,261.0,259586.9,-1
2025-12-10,991.5,991.5,980.2,982.0,-0.96,1598.0,1574698.4,-1
2025-12-11,980.0,999.6,980.0,991.0,1.12,738.0,729697.3,1
2025-12-14,971.2,971.2,934.0,948.0,-2.39,6407.0,6094087.2,-1
2025-12-15,948.0,951.5,935.1,939.0,-0.95,1438.0,1356805.5,-1
2025-12-16,939.0,949.0,935.1,948.9,1.05,2262.0,2129619.6,1
2025-12-17,949.0,949.0,939.0,939.0,-1.05,3990.0,3752782.3,-1
2025-12-18,925.0,938.0,923.0,930.0,0.54,2822.0,2626876.5,1
2025-12-21,930.0,930.0,910.0,911.0,-2.04,3201.0,2939570.5,-1
2025-12-22,903.1,911.0,903.1,911.0,0.87,2095.0,1898461.3,1
2025-12-23,911.0,911.0,900.0,905.0,-0.66,437.0,395238.7,-1
2025-12-24,905.0,916.0,900.2,907.3,0.25,1271.0,1149688.2,1
2025-12-28,905.0,935.9,905.0,935.9,3.41,5237.0,4816352.7,1
2025-12-29,926.0,933.0,926.0,930.0,0.43,2161.0,2004838.2,1
2025-12-31,930.0,944.5,925.2,943.0,1.4,1093.0,1023478.1,1
2026-01-01,945.0,945.0,912.1,925.0,-2.12,2106.0,1942736.5,-1
2026-01-04,930.0,930.0,915.0,920.0,-1.08,591.0,542004.1,-1
2026-01-05,908.0,937.0,908.0,931.0,2.53,639.0,589233.1,1
2026-01-06,931.0,944.0,917.1,930.0,-0.11,1124.0,1040199.2,-1
2026-01-07,920.0,935.0,920.0,935.0,1.63,1399.0,1297817.3,1
2026-01-08,944.0,944.0,918.0,936.0,-0.85,775.0,722181.7,-1
2026-01-12,921.0,965.0,921.0,965.0,4.78,4566.0,4295130.1,1
2026-01-13,945.7,960.0,910.0,960.0,1.51,2421.0,2295532.2,1
2026-01-14,940.8,990.0,940.8,969.2,3.02,1028.0,987341.1,1
2026-01-18,950.0,987.9,949.9,958.0,0.84,6822.0,6577168.5,1
2026-01-20,965.0,980.0,960.1,970.0,0.52,1783.0,1738706.2,1
2026-01-21,970.0,970.0,956.1,960.0,-1.03,1392.0,1337023.6,-1
2026-01-22,951.0,956.9,947.0,951.5,0.05,3238.0,3081005.9,1
2026-01-25,970.0,1028.0,947.3,980.0,1.03,5507.0,5350032.2,1
2026-01-26,980.0,980.0,967.3,980.0,0.0,849.0,828374.3,0
2026-01-27,966.0,981.0,955.0,955.0,-1.14,4030.0,3889483.3,-1
2026-01-28,940.0,974.0,940.0,958.0,1.91,1919.0,1840303.0,1
2026-01-29,965.0,965.0,947.2,951.0,-1.45,2466.0,2347514.5,-1
2026-02-01,940.2,1008.0,940.0,950.0,1.04,3320.0,3157696.9,1
2026-02-02,968.0,1006.0,950.0,950.0,-1.86,2323.0,2216103.0,-1
2026-02-03,968.0,969.0,943.0,943.0,-2.58,3235.0,3087923.9,-1
2026-02-04,961.8,961.8,944.1,954.5,-0.76,372.0,353898.4,-1
2026-02-05,970.0,1049.9,945.2,960.0,-1.03,7503.0,7290067.4,-1
2026-02-08,979.2,998.0,965.0,987.0,0.8,8893.0,8702463.5,1
2026-02-09,1004.0,1024.0,960.2,994.0,-1.0,1203.0,1185375.1,-1
2026-02-10,1013.8,1013.8,960.1,979.0,-3.43,2134.0,2058997.8,-1
2026-02-11,968.0,986.0,955.0,986.0,1.86,2727.0,2636848.1,1
2026-02-12,968.2,980.0,951.0,970.0,0.19,1332.0,1286604.0,1
2026-02-16,980.0,980.0,942.1,959.9,-2.05,1416.0,1346782.4,-1
2026-02-17,943.0,1017.0,943.0,1017.0,7.85,3683.0,3551082.8,1
2026-02-22,996.7,999.0,966.1,994.0,-0.27,3320.0,3254605.8,-1
2026-02-23,974.2,994.9,957.0,979.9,0.59,1479.0,1438163.3,1
2026-02-24,961.0,1050.0,945.0,978.0,1.77,4144.0,4045821.5,1
2026-02-25,958.5,977.0,958.5,977.0,1.93,370.0,357605.3,1
2026-02-26,970.0,980.0,960.4,970.0,0.0,531.0,515567.8,0
2026-03-01,970.0,970.0,955.2,960.0,-1.03,863.0,829618.4,-1
2026-03-03,960.0,1045.0,956.0,969.0,0.94,4000.0,3885633.3,1
2026-03-10,988.0,1023.0,988.0,997.0,0.91,9390.0,9411719.5,1
2026-03-11,1016.0,1016.0,980.0,981.1,-3.44,3897.0,3859240.8,-1
2026-03-12,1000.0,1000.0,978.3,985.2,-1.48,5413.0,5334873.0,-1
2026-03-15,985.2,1000.0,985.2,1000.0,1.5,3830.0,3798684.0,1
2026-03-16,1000.0,1000.0,981.2,985.0,-1.5,1117.0,1100443.4,-1
2026-03-17,975.0,991.0,975.0,990.0,1.54,817.0,805665.7,1
2026-03-19,990.0,1004.0,990.0,998.5,0.86,5849.0,5831410.5,1
2026-03-22,1017.0,1095.0,996.7,1068.0,5.01,13491.0,14256380.8,1
2026-03-23,1068.0,1081.0,1050.0,1074.0,0.56,7988.0,8549266.4,1
2026-03-24,1092.9,1092.9,1053.0,1073.0,-1.82,2156.0,2321307.5,-1
2026-03-25,1089.5,1090.0,1048.0,1053.0,-3.35,1858.0,1969385.5,-1
2026-03-26,1040.0,1043.0,1025.0,1040.0,0.0,2970.0,3086650.5,0
