published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2025-12-08,628.3,652.0,612.09,633.1,0.76,27721.0,17525367.2,1
2025-12-09,620.7,645.0,620.7,625.0,0.69,6572.0,4128629.8,1
2025-12-10,624.9,625.0,590.1,615.9,-1.44,13762.0,8392014.9,-1
2025-12-11,622.9,622.9,599.0,610.0,-2.07,11086.0,6684069.8,-1
2025-12-14,610.0,610.0,590.0,594.9,-2.48,13148.0,7814947.7,-1
2025-12-15,583.1,596.0,583.1,590.0,1.18,7165.0,4215414.2,1
2025-12-16,595.0,595.0,580.0,587.0,-1.34,14683.0,8583658.5,-1
2025-12-17,577.1,598.0,577.1,580.2,0.54,7844.0,4574938.7,1
2025-12-18,583.0,583.0,571.3,572.0,-1.89,9929.0,5711323.7,-1
2025-12-21,565.0,570.0,556.0,557.0,-1.42,9937.0,5605827.0,-1
2025-12-22,555.0,557.0,545.1,550.2,-0.86,12467.0,6851817.9,-1
2025-12-23,544.2,550.0,544.2,550.0,1.07,2216.0,1214098.0,1
2025-12-24,550.0,560.0,550.0,560.0,1.82,3941.0,2188264.0,1
2025-12-28,571.2,576.0,556.2,562.0,-1.61,3506.0,1968766.2,-1
2025-12-29,573.2,573.2,547.0,547.0,-4.57,6671.0,3700137.8,-1
2025-12-31,552.0,558.0,548.0,550.0,-0.36,4440.0,2451783.1,-1
2026-01-01,548.0,550.0,535.0,543.0,-0.91,10546.0,5697829.8,-1
2026-01-04,553.8,553.8,533.0,533.3,-3.7,5955.0,3190561.8,-1
2026-01-05,540.0,561.0,532.0,560.0,3.7,14572.0,8013960.1,1
2026-01-06,570.8,572.9,555.0,565.0,-1.02,10691.0,6044731.7,-1
2026-01-07,565.0,572.0,555.0,563.9,-0.19,6549.0,3678749.1,-1
2026-01-08,569.3,569.3,550.0,551.0,-3.21,7287.0,4049782.0,-1
2026-01-12,551.0,556.0,545.5,546.3,-0.85,2193.0,1202423.9,-1
2026-01-13,555.0,555.9,538.0,540.3,-2.65,7605.0,4126007.2,-1
2026-01-14,539.1,549.5,539.1,542.0,0.54,5395.0,2932338.9,1
2026-01-18,543.0,554.0,543.0,550.0,1.29,5302.0,2911402.4,1
2026-01-20,555.0,569.9,552.3,553.0,-0.36,9680.0,5397461.6,-1
2026-01-21,555.0,562.5,546.2,546.2,-1.59,5407.0,2995885.5,-1
2026-01-22,536.0,561.0,536.0,552.0,2.99,6755.0,3743808.2,1
2026-01-25,552.0,570.0,541.0,565.9,2.52,18538.0,10428545.4,1
2026-01-26,556.0,565.0,555.0,563.0,1.26,11459.0,6445367.3,1
2026-01-27,563.2,574.0,560.0,561.0,-0.39,12492.0,7099460.3,-1
2026-01-28,552.1,601.0,551.5,597.9,8.3,22893.0,13237403.9,1
2026-01-29,599.0,608.9,576.0,579.0,-3.34,15247.0,9028024.8,-1
2026-02-01,569.0,579.0,550.0,572.8,0.67,4169.0,2372145.0,1
2026-02-02,562.1,569.0,546.9,562.9,0.14,11953.0,6655411.0,1
2026-02-03,563.0,566.0,552.0,552.0,-1.95,5921.0,3287368.0,-1
2026-02-04,563.0,585.6,550.0,564.9,0.34,5931.0,3330905.1,1
2026-02-05,563.0,578.0,563.0,576.0,2.31,14549.0,8346404.4,1
2026-02-08,587.5,595.0,585.0,585.5,-0.34,24768.0,14569449.0,-1
2026-02-09,586.0,586.0,565.0,578.0,-1.37,9993.0,5778458.0,-1
2026-02-10,574.0,584.0,566.5,572.0,-0.35,5539.0,3175845.0,-1
2026-02-11,572.0,583.0,561.0,569.0,-0.52,3613.0,2039297.2,-1
2026-02-12,567.0,568.0,555.7,564.5,-0.44,9393.0,5264389.5,-1
2026-02-16,553.5,562.0,551.0,558.0,0.81,6848.0,3797702.8,1
2026-02-17,555.0,559.9,540.0,540.5,-2.61,5522.0,3007042.2,-1
2026-02-22,544.7,544.7,499.5,510.0,-6.37,14218.0,7295671.7,-1
2026-02-23,510.0,520.0,505.0,509.9,-0.02,4952.0,2523812.7,-1
2026-02-24,520.0,520.0,505.0,508.0,-2.31,3775.0,1915982.2,-1
2026-02-25,500.0,510.0,482.0,500.0,0.0,10920.0,5423621.4,0
2026-02-26,492.0,500.0,462.6,493.0,0.2,14115.0,6898184.8,1
2026-03-01,484.0,499.9,483.2,499.8,3.26,6358.0,3139394.5,1
2026-03-03,509.0,509.0,495.0,504.9,-0.81,4763.0,2392576.5,-1
2026-03-09,514.9,525.1,514.9,525.1,1.98,20.0,10400.0,1
2026-03-10,535.6,550.0,530.0,540.0,0.82,26899.0,14545899.5,1
2026-03-11,540.0,545.0,532.0,541.0,0.19,7662.0,4144688.6,1
2026-03-12,540.0,547.9,540.0,543.0,0.56,5600.0,3032481.0,1
2026-03-15,549.9,549.9,531.0,536.0,-2.53,6336.0,3393867.5,-1
2026-03-16,536.0,540.5,532.0,537.0,0.19,22393.0,11992934.5,1
2026-03-17,545.0,545.0,526.5,529.0,-2.94,7287.0,3865699.3,-1
2026-03-19,525.0,535.3,523.4,535.0,1.9,15642.0,8343622.1,1
2026-03-22,535.0,539.0,524.3,529.0,-1.12,21982.0,11602944.5,-1
2026-03-23,530.0,530.0,520.0,521.1,-1.68,13909.0,7263649.7,-1
2026-03-24,520.0,524.0,510.0,518.0,-0.38,21654.0,11220522.0,-1
2026-03-25,516.0,525.0,515.1,522.0,1.16,9530.0,4960636.6,1
2026-03-26,522.0,525.9,512.0,521.0,-0.19,12223.0,6352704.0,-1
2026-03-29,521.0,525.0,511.0,511.0,-1.92,9552.0,4927952.8,-1
2026-03-30,505.0,512.0,503.1,503.1,-0.38,6766.0,3429900.0,-1
2026-03-31,501.2,505.0,495.0,504.0,0.56,6254.0,3122050.0,1
2026-04-01,505.0,505.0,490.0,493.0,-2.38,10336.0,5108861.0,-1
2026-04-02,484.0,499.8,484.0,486.1,0.43,5648.0,2766998.3,1
