published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2010-01-05,560.00,555.00,546.00,546.00,0.00,390.00,0.00,0
2010-01-06,546.00,569.00,550.00,565.00,0.00,280.00,0.00,0
2010-01-07,565.00,565.00,555.00,555.00,0.00,610.00,0.00,0
2010-01-10,555.00,555.00,550.00,550.00,0.00,470.00,0.00,0
2010-01-11,550.00,548.00,546.00,546.00,0.00,370.00,0.00,0
2010-01-12,546.00,545.00,536.00,545.00,0.00,1210.00,0.00,0
2010-01-13,545.00,560.00,540.00,556.00,0.00,560.00,0.00,0
2010-01-14,556.00,550.00,545.00,550.00,0.00,1210.00,0.00,0
2010-01-17,550.00,550.00,545.00,550.00,0.00,620.00,0.00,0
2010-01-18,550.00,550.00,550.00,550.00,0.00,670.00,0.00,0
2010-01-19,550.00,560.00,540.00,550.00,0.00,500.00,0.00,0
2010-01-20,550.00,550.00,540.00,541.00,0.00,1200.00,0.00,0
2010-01-21,541.00,541.00,541.00,541.00,0.00,130.00,0.00,0
2010-01-25,541.00,555.00,551.00,553.00,0.00,610.00,0.00,0
2010-01-26,553.00,560.00,553.00,553.00,0.00,380.00,0.00,0
2010-01-27,553.00,555.00,545.00,550.00,0.00,700.00,0.00,0
2010-01-28,550.00,550.00,550.00,550.00,0.00,190.00,0.00,0
2010-01-31,550.00,549.00,536.00,540.00,0.00,1240.00,0.00,0
2010-02-01,540.00,530.00,526.00,530.00,0.00,780.00,0.00,0
2010-02-02,530.00,530.00,495.00,500.00,0.00,1060.00,0.00,0
2010-02-03,500.00,490.00,460.00,465.00,0.00,1420.00,0.00,0
2010-02-04,465.00,483.00,465.00,483.00,0.00,830.00,0.00,0
2010-02-08,483.00,476.00,466.00,476.00,0.00,280.00,0.00,0
2010-02-09,476.00,467.00,460.00,460.00,0.00,90.00,0.00,0
2010-02-10,460.00,479.00,470.00,479.00,0.00,60.00,0.00,0
2010-02-11,479.00,479.00,470.00,479.00,0.00,60.00,0.00,0
2010-02-15,479.00,480.00,476.00,476.00,0.00,100.00,0.00,0
2010-02-16,476.00,480.00,480.00,480.00,0.00,120.00,0.00,0
2010-02-17,480.00,483.00,480.00,483.00,0.00,160.00,0.00,0
2010-02-18,483.00,501.00,492.00,492.00,0.00,210.00,0.00,0
2010-03-01,492.00,492.00,483.00,492.00,0.00,320.00,0.00,0
2010-03-02,492.00,496.00,492.00,495.00,0.00,1370.00,0.00,0
2010-03-03,495.00,514.00,501.00,514.00,0.00,640.00,0.00,0
2010-03-04,514.00,509.00,500.00,500.00,0.00,1140.00,0.00,0
2010-03-07,500.00,500.00,481.00,481.00,0.00,250.00,0.00,0
2010-03-09,481.00,485.00,478.00,478.00,0.00,310.00,0.00,0
2010-03-11,478.00,469.00,469.00,469.00,0.00,60.00,0.00,0
2010-03-14,469.00,465.00,440.00,440.00,0.00,150.00,0.00,0
2010-03-16,440.00,448.00,440.00,448.00,0.00,210.00,0.00,0
2010-03-17,448.00,448.00,448.00,448.00,0.00,100.00,0.00,0
2010-03-23,448.00,455.00,455.00,455.00,0.00,20.00,0.00,0
2010-03-28,455.00,457.00,440.00,457.00,0.00,480.00,0.00,0
2010-03-29,457.00,467.00,463.00,467.00,0.00,370.00,0.00,0
2010-03-30,467.00,471.00,461.00,462.00,0.00,630.00,0.00,0
2010-03-31,462.00,453.00,444.00,445.00,0.00,310.00,0.00,0
2010-04-01,445.00,460.00,445.00,455.00,0.00,390.00,0.00,0
2010-04-04,455.00,464.00,464.00,464.00,0.00,40.00,0.00,0
2010-04-05,464.00,470.00,460.00,465.00,0.00,450.00,0.00,0
2010-04-06,465.00,461.00,452.00,460.00,0.00,300.00,0.00,0
2010-04-07,460.00,455.00,455.00,455.00,0.00,80.00,0.00,0
2010-04-08,455.00,460.00,454.00,460.00,0.00,570.00,0.00,0
2010-04-11,460.00,451.00,440.00,440.00,0.00,280.00,0.00,0
2010-04-12,440.00,445.00,435.00,445.00,0.00,430.00,0.00,0
2010-04-13,445.00,440.00,438.00,438.00,0.00,450.00,0.00,0
2010-04-15,438.00,430.00,430.00,430.00,0.00,30.00,0.00,0
2010-04-18,430.00,430.00,425.00,425.00,0.00,320.00,0.00,0
2010-04-19,425.00,425.00,417.00,417.00,0.00,310.00,0.00,0
2010-04-20,417.00,410.00,391.00,396.00,0.00,390.00,0.00,0
2010-04-21,396.00,403.00,374.00,380.00,0.00,620.00,0.00,0
2010-04-22,380.00,390.00,375.00,390.00,0.00,240.00,0.00,0
2010-04-25,390.00,390.00,380.00,385.00,0.00,570.00,0.00,0
2010-04-26,385.00,386.00,385.00,386.00,0.00,80.00,0.00,0
2010-04-28,386.00,394.00,387.00,394.00,0.00,90.00,0.00,0
2010-04-29,394.00,413.00,400.00,413.00,0.00,280.00,0.00,0
2010-05-09,413.00,421.00,421.00,421.00,0.00,40.00,0.00,0
2010-05-10,421.00,428.00,425.00,428.00,0.00,360.00,0.00,0
2010-05-11,428.00,465.00,430.00,465.00,0.00,580.00,0.00,0
2010-05-12,465.00,506.00,470.00,485.00,0.00,2130.00,0.00,0
2010-05-13,485.00,503.00,490.00,494.00,0.00,1280.00,0.00,0
2010-05-16,494.00,500.00,454.00,472.00,0.00,690.00,0.00,0
2010-05-17,472.00,465.00,460.00,465.00,0.00,630.00,0.00,0
2010-05-18,465.00,488.00,465.00,479.00,0.00,510.00,0.00,0
2010-05-19,479.00,475.00,469.00,475.00,0.00,380.00,0.00,0
2010-05-20,475.00,492.00,480.00,490.00,0.00,590.00,0.00,0
2010-05-23,490.00,499.00,490.00,492.00,0.00,1160.00,0.00,0
2010-05-24,492.00,501.00,486.00,486.00,0.00,340.00,0.00,0
2010-05-25,486.00,530.00,495.00,510.00,0.00,1840.00,0.00,0
2010-05-26,510.00,530.00,495.00,495.00,0.00,1596.00,0.00,0
2010-05-30,495.00,514.00,504.00,510.00,0.00,320.00,0.00,0
2010-05-31,510.00,520.00,500.00,510.00,0.00,888.00,0.00,0
2010-06-01,510.00,500.00,477.00,482.00,0.00,1290.00,0.00,0
2010-06-02,482.00,485.00,476.00,481.00,0.00,630.00,0.00,0
2010-06-06,481.00,485.00,475.00,485.00,0.00,420.00,0.00,0
2010-06-07,485.00,485.00,480.00,480.00,0.00,240.00,0.00,0
2010-06-08,480.00,485.00,485.00,485.00,0.00,90.00,0.00,0
2010-06-09,485.00,490.00,483.00,485.00,0.00,1294.00,0.00,0
2010-06-10,485.00,485.00,480.00,480.00,0.00,2298.00,0.00,0
2010-06-13,480.00,480.00,468.00,470.00,0.00,1902.00,0.00,0
2010-06-14,470.00,475.00,460.00,468.00,0.00,1212.00,0.00,0
2010-06-15,468.00,475.00,467.00,470.00,0.00,1224.00,0.00,0
2010-06-17,470.00,476.00,453.00,466.00,0.00,650.00,0.00,0
2010-06-20,466.00,471.00,462.00,471.00,0.00,1674.00,0.00,0
2010-06-21,471.00,470.00,462.00,470.00,0.00,610.00,0.00,0
2010-06-22,470.00,470.00,442.00,464.00,0.00,1410.00,0.00,0
2010-06-23,464.00,470.00,462.00,470.00,0.00,922.00,0.00,0
2010-06-26,470.00,470.00,463.00,470.00,0.00,938.00,0.00,0
2010-06-29,470.00,464.00,456.00,464.00,0.00,776.00,0.00,0
2010-06-30,464.00,465.00,452.00,452.00,0.00,546.00,0.00,0
2010-07-01,452.00,465.00,452.00,452.00,0.00,834.00,0.00,0
2010-07-04,452.00,466.00,455.00,460.00,0.00,1942.00,0.00,0
2010-07-05,460.00,462.00,450.00,462.00,0.00,492.00,0.00,0
2010-07-06,462.00,470.00,455.00,457.00,0.00,382.00,0.00,0
2010-07-07,457.00,465.00,457.00,459.00,0.00,1086.00,0.00,0
2010-07-08,459.00,459.00,455.00,457.00,0.00,1283.00,0.00,0
2010-07-11,457.00,464.00,450.00,464.00,0.00,960.00,0.00,0
2010-07-12,464.00,460.00,450.00,451.00,0.00,1512.00,0.00,0
2010-07-13,451.00,450.00,440.00,450.00,0.00,490.00,0.00,0
2010-07-14,450.00,449.00,430.00,449.00,0.00,1708.00,0.00,0
2010-07-15,449.00,460.00,456.00,460.00,0.00,880.00,0.00,0
2010-07-16,460.00,470.00,460.00,465.00,0.00,612.00,0.00,0
2010-07-18,465.00,462.00,455.00,462.00,0.00,1500.00,0.00,0
2010-07-19,462.00,462.00,455.00,460.00,0.00,378.00,0.00,0
2010-07-20,460.00,460.00,455.00,455.00,0.00,812.00,0.00,0
2010-07-22,455.00,480.00,469.00,470.00,0.00,524.00,0.00,0
2010-07-25,470.00,466.00,460.00,465.00,0.00,474.00,0.00,0
2010-07-26,465.00,462.00,462.00,462.00,0.00,84.00,0.00,0
2010-07-27,462.00,479.00,458.00,479.00,0.00,672.00,0.00,0
2010-07-27,479.00,470.00,461.00,465.00,0.00,876.00,0.00,0
2010-07-28,465.00,465.00,460.00,465.00,0.00,370.00,0.00,0
2010-07-29,465.00,465.00,454.00,455.00,0.00,490.00,0.00,0
2010-09-02,455.00,415.00,409.00,415.00,0.00,192.00,0.00,0
2010-09-07,415.00,408.00,405.00,408.00,0.00,980.00,0.00,0
2010-09-08,408.00,415.00,408.00,409.00,0.00,1318.00,0.00,0
2010-09-09,409.00,409.00,393.00,400.00,0.00,1368.00,0.00,0
2010-09-12,400.00,406.00,397.00,400.00,0.00,1722.00,0.00,0
2010-09-13,400.00,405.00,395.00,401.00,0.00,1470.00,0.00,0
2010-09-14,401.00,409.00,400.00,403.00,0.00,2336.00,0.00,0
2010-09-15,403.00,406.00,400.00,406.00,0.00,732.00,0.00,0
2010-09-16,406.00,410.00,400.00,400.00,0.00,806.00,0.00,0
2010-09-19,400.00,413.00,400.00,411.00,0.00,2990.00,0.00,0
2010-09-20,411.00,440.00,415.00,440.00,0.00,1014.00,0.00,0
2010-09-21,440.00,445.00,433.00,440.00,0.00,1558.00,0.00,0
2010-09-23,440.00,435.00,420.00,425.00,0.00,1960.00,0.00,0
2010-09-26,425.00,430.00,422.00,423.00,0.00,1800.00,0.00,0
