published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2017-05-21,490.00,485.00,465.00,484.00,0.00,11480.00,5470031.00,0
2017-05-22,484.00,479.00,460.00,472.00,0.00,8730.00,4112955.00,0
2017-05-23,472.00,483.00,465.00,468.00,0.00,11209.00,5299349.00,0
2017-05-24,468.00,482.00,460.00,470.00,0.00,9904.00,4623727.00,0
2017-05-28,470.00,475.00,461.00,467.00,0.00,7736.00,3594103.00,0
2017-05-30,467.00,469.00,450.00,460.00,0.00,11667.00,5331994.00,0
2017-05-31,460.00,469.00,451.00,460.00,0.00,8876.00,4058962.00,0
2017-06-01,460.00,462.00,454.00,460.00,0.00,7009.00,3210837.00,0
2017-06-04,460.00,459.00,444.00,450.00,0.00,8662.00,3914707.00,0
2017-06-05,450.00,455.00,443.00,450.00,0.00,5406.00,2419731.00,0
2017-06-06,450.00,463.00,441.00,457.00,0.00,5992.00,2719007.00,0
2017-06-07,457.00,455.00,446.00,447.00,0.00,11678.00,5241935.00,0
2017-06-08,447.00,449.00,437.00,448.00,0.00,9330.00,4126730.00,0
2017-06-11,448.00,445.00,429.00,430.00,0.00,13870.00,6019824.00,0
2017-06-12,430.00,435.00,416.00,422.00,0.00,10653.00,4516731.00,0
2017-06-13,422.00,430.00,416.00,422.00,0.00,7280.00,3067322.00,0
2017-06-14,422.00,430.00,415.00,430.00,0.00,4893.00,2054570.00,0
2017-06-15,430.00,434.00,417.00,434.00,0.00,6410.00,2722549.00,0
2017-06-18,434.00,435.00,415.00,418.00,0.00,2107.00,885873.00,0
2017-06-19,418.00,418.00,405.00,405.00,0.00,4938.00,2024152.00,0
2017-06-20,405.00,421.00,400.00,412.00,0.00,4359.00,1781592.00,0
2017-06-21,412.00,416.00,406.00,416.00,0.00,8927.00,3674921.00,0
2017-06-22,416.00,420.00,415.00,418.00,0.00,2909.00,1215742.00,0
2017-06-25,418.00,439.00,418.00,438.00,0.00,5526.00,2368404.00,0
2017-06-27,438.00,439.00,427.00,429.00,0.00,2938.00,1261901.00,0
2017-06-28,429.00,425.00,417.00,421.00,0.00,1161.00,488843.00,0
2017-07-02,421.00,420.00,405.00,410.00,0.00,3952.00,1623186.00,0
2017-07-03,410.00,418.00,405.00,406.00,0.00,5055.00,2064916.00,0
2017-07-04,406.00,412.00,400.00,409.00,0.00,1815.00,739723.00,0
2017-07-05,409.00,417.00,405.00,417.00,0.00,3711.00,1510056.00,0
2017-07-06,417.00,425.00,409.00,425.00,0.00,1898.00,789357.00,0
2017-07-09,425.00,430.00,408.00,425.00,0.00,5553.00,2328785.00,0
2017-07-10,425.00,425.00,401.00,415.00,0.00,32236.00,13363029.00,0
2017-07-11,415.00,417.00,408.00,417.00,0.00,4924.00,2026748.00,0
2017-07-12,417.00,414.00,410.00,410.00,0.00,3492.00,1436443.00,0
2017-07-13,410.00,413.00,405.00,409.00,0.00,2146.00,877888.00,0
2017-07-16,409.00,415.00,401.00,415.00,0.00,5459.00,2208990.00,0
