published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2025-12-08,1090.0,1100.0,1021.7,1055.0,-3.21,32235.0,33949613.5,-1
2025-12-09,1033.9,1075.0,1014.0,1050.0,1.56,21708.0,22673830.8,1
2025-12-10,1029.0,1070.0,1029.0,1046.0,1.65,13129.0,13770894.6,1
2025-12-11,1025.1,1100.0,1025.1,1079.9,5.35,40586.0,43294129.7,1
2025-12-14,1058.4,1120.0,1058.4,1111.0,4.97,26583.0,29168217.2,1
2025-12-15,1101.0,1142.0,1090.0,1105.0,0.36,41198.0,45423243.7,1
2025-12-16,1082.9,1120.0,1079.0,1095.0,1.12,20486.0,22314118.1,1
2025-12-17,1073.1,1097.0,1073.1,1096.6,2.19,19527.0,21260235.5,1
2025-12-18,1085.0,1122.0,1085.0,1109.0,2.21,36232.0,40105639.1,1
2025-12-21,1086.9,1125.0,1086.9,1111.0,2.22,20743.0,22874173.5,1
2025-12-22,1088.8,1115.0,1088.8,1115.0,2.41,20438.0,22598709.5,1
2025-12-23,1092.7,1134.0,1092.7,1134.0,3.78,18531.0,20824231.2,1
2025-12-24,1115.0,1178.1,1115.0,1176.0,5.47,51536.0,59809125.4,1
2025-12-28,1152.5,1210.0,1152.5,1183.0,2.65,29013.0,34101726.3,1
2025-12-29,1159.4,1185.0,1159.4,1179.0,1.69,14481.0,16982281.7,1
2025-12-31,1160.0,1198.0,1160.0,1186.0,2.24,38414.0,45287334.5,1
2026-01-01,1162.3,1199.9,1162.3,1199.9,3.23,30682.0,36363390.6,1
2026-01-04,1176.0,1224.0,1176.0,1222.0,3.91,27692.0,33590148.6,1
2026-01-05,1197.6,1231.9,1197.6,1224.0,2.2,21836.0,26627505.9,1
2026-01-06,1199.6,1242.0,1199.6,1220.0,1.7,14427.0,17556144.0,1
2026-01-07,1200.0,1222.0,1200.0,1205.0,0.42,27373.0,33120318.4,1
2026-01-08,1180.9,1206.0,1180.9,1196.1,1.29,11834.0,14093521.7,1
2026-01-12,1172.2,1198.9,1172.2,1184.1,1.02,33387.0,39317508.0,1
2026-01-13,1160.5,1203.4,1160.5,1182.0,1.85,11706.0,13837880.4,1
2026-01-14,1158.4,1190.0,1153.0,1165.0,0.57,16486.0,19219216.17,1
2026-01-18,1164.5,1189.0,1160.0,1168.0,0.3,20631.0,24249951.7,1
2026-01-20,1188.9,1188.9,1160.0,1173.1,-1.33,11743.0,13751331.2,-1
