published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2025-12-08,6100.0,6187.9,6100.0,6187.9,1.44,49.0,299448.0,1
2025-12-09,6071.1,6206.7,6071.1,6200.0,2.12,228.0,1405616.9,1
2025-12-10,6081.1,6150.0,6081.1,6100.0,0.31,118.0,719543.0,1
2025-12-11,6101.0,6150.0,6100.0,6150.0,0.8,130.0,793734.2,1
2025-12-14,6050.0,6149.9,6050.0,6149.9,1.65,78.0,474629.0,1
2025-12-15,6270.0,6270.0,6035.0,6150.0,-1.91,124.0,759149.6,-1
2025-12-16,6028.4,6150.0,6028.4,6150.0,2.02,417.0,2534131.6,1
2025-12-17,6100.0,6180.0,6061.0,6180.0,1.31,178.0,1082795.0,1
2025-12-18,6294.0,6294.0,6168.2,6168.2,-2.0,20.0,124622.0,-1
2025-12-21,6044.9,6100.0,6044.9,6100.0,0.91,55.0,333291.1,1
2025-12-22,6000.0,6100.0,6000.0,6098.0,1.63,100.0,606127.8,1
2025-12-23,6010.0,6128.9,6010.0,6128.9,1.98,168.0,1020559.5,1
2025-12-24,6060.1,6150.0,6006.4,6150.0,1.48,515.0,3106053.9,1
2025-12-28,6035.1,6144.0,6021.2,6114.9,1.32,212.0,1282372.6,1
2025-12-29,6000.3,6100.0,6000.3,6100.0,1.66,68.0,409124.0,1
2025-12-31,6100.0,6110.0,6022.0,6110.0,0.16,70.0,423114.0,1
2026-01-01,6021.1,6085.0,6020.0,6079.9,0.98,135.0,814228.6,1
2026-01-04,6079.9,6082.0,5961.0,6082.0,0.03,630.0,3790137.8,1
2026-01-05,6025.0,6085.0,6000.0,6083.9,0.98,238.0,1431135.3,1
2026-01-06,6005.0,6455.0,6005.0,6025.0,0.33,833.0,5048544.6,1
2026-01-07,6144.9,6391.0,6015.0,6100.0,-0.73,640.0,3900129.1,-1
2026-01-08,6099.9,6198.0,6099.9,6100.0,0.0,2169.0,13325749.0,1
2026-01-12,6060.1,6119.8,6060.1,6119.8,0.99,164.0,996483.4,1
2026-01-13,6050.0,6100.0,6001.0,6100.0,0.83,261.0,1576339.0,1
2026-01-14,6150.0,6190.0,6016.0,6020.0,-2.11,345.0,2084233.7,-1
2026-01-18,6088.0,6100.0,6081.0,6100.0,0.2,95.0,578329.0,1
2026-01-20,6020.0,6098.5,6020.0,6096.9,1.28,244.0,1471409.2,1
2026-01-21,6096.9,6101.9,6021.0,6021.0,-1.24,279.0,1686371.5,-1
2026-01-22,6021.0,6110.0,6020.0,6020.0,-0.02,194.0,1173791.6,-1
2026-01-25,6139.9,6139.9,6050.0,6050.0,-1.46,245.0,1487491.8,-1
2026-01-26,6099.0,6100.0,6010.0,6100.0,0.02,323.0,1962014.8,1
2026-01-27,6000.0,6160.0,6000.0,6129.9,2.16,299.0,1810247.0,1
2026-01-28,6009.0,6126.0,6009.0,6126.0,1.95,98.0,589133.8,1
2026-01-29,6004.3,6124.0,6004.0,6051.0,0.78,108.0,652960.4,1
2026-02-01,6051.0,6110.9,6000.0,6002.0,-0.81,146.0,878014.1,-1
2026-02-02,6002.0,6120.0,6002.0,6010.0,0.13,370.0,2251772.6,1
2026-02-03,5940.1,6005.0,5940.1,6001.0,1.03,72.0,429649.4,1
2026-02-04,5900.0,6222.0,5900.0,6024.8,2.12,5649.0,33793864.2,1
2026-02-05,5930.0,6150.6,5930.0,6030.0,1.69,569.0,3431371.8,1
2026-02-08,6031.1,6222.0,5999.0,6041.0,0.16,1220.0,7425147.4,1
2026-02-09,6160.0,6283.0,6040.0,6046.1,-1.85,762.0,4686875.8,-1
2026-02-10,6167.0,6289.9,6110.2,6287.6,1.96,238.0,1476560.8,1
2026-02-11,6161.9,6200.0,6124.0,6124.0,-0.62,84.0,516554.9,-1
2026-02-12,6010.7,6375.0,6010.1,6200.0,3.15,1318.0,8202542.7,1
2026-02-16,6250.0,6315.0,6200.2,6296.9,0.75,291.0,1817686.4,1
2026-02-17,6172.6,6338.9,6172.6,6299.9,2.06,181.0,1133860.0,1
2026-02-22,6329.9,6398.0,5950.0,6250.0,-1.26,2452.0,15016606.6,-1
2026-02-23,6250.0,6315.0,6125.0,6300.0,0.8,573.0,3558092.0,1
2026-02-24,6255.1,6345.0,6250.0,6320.0,1.04,644.0,4053285.8,1
2026-02-25,6394.9,6394.9,6300.0,6357.9,-0.58,259.0,1634683.9,-1
2026-02-26,6230.8,6355.4,6230.8,6355.4,2.0,218.0,1381804.0,1
2026-03-01,6325.0,6390.0,6315.1,6350.0,0.4,1355.0,8563605.1,1
2026-03-03,6350.0,6460.0,6350.0,6400.0,0.79,925.0,5906003.6,1
2026-03-09,6528.0,6528.0,6528.0,6528.0,0.0,10.0,65280.0,0
2026-03-10,6600.0,6600.0,6341.1,6341.1,-3.92,107.0,695776.2,-1
