published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2015-11-22,331.00,364.00,337.00,364.00,0.00,768.00,277628.00,0
2015-11-23,364.00,400.00,371.00,400.00,0.00,12360.00,4942162.00,0
2015-11-24,400.00,437.00,415.00,430.00,0.00,46262.00,19670392.00,0
2015-11-25,430.00,434.00,403.00,406.00,0.00,25625.00,10629219.00,0
2015-11-26,406.00,400.00,390.00,395.00,0.00,14443.00,5695725.00,0
2015-11-29,395.00,388.00,376.00,381.00,0.00,15706.00,5983040.00,0
2015-11-30,381.00,397.00,380.00,384.00,0.00,9790.00,3776698.00,0
2015-12-01,384.00,400.00,381.00,400.00,0.00,11114.00,4362679.00,0
2015-12-02,400.00,405.00,390.00,398.00,0.00,11339.00,4506235.00,0
2015-12-03,398.00,401.00,387.00,392.00,0.00,11281.00,4443848.00,0
2015-12-06,392.00,401.00,388.00,398.00,0.00,14631.00,5814474.00,0
2015-12-07,398.00,408.00,395.00,397.00,0.00,16125.00,6439248.00,0
2015-12-08,397.00,402.00,391.00,399.00,0.00,11962.00,4759243.00,0
2015-12-09,399.00,412.00,394.00,412.00,0.00,14731.00,5889411.00,0
2015-12-10,412.00,410.00,398.00,400.00,0.00,13958.00,5604320.00,0
2015-12-13,400.00,401.00,393.00,400.00,0.00,23721.00,9482444.00,0
2015-12-14,400.00,400.00,398.00,398.00,0.00,24112.00,9633905.00,0
2015-12-15,398.00,400.00,390.00,391.00,0.00,8414.00,3318860.00,0
2015-12-16,391.00,400.00,390.00,393.00,0.00,16529.00,6529767.00,0
2015-12-17,393.00,399.00,386.00,391.00,0.00,12164.00,4763233.00,0
2015-12-20,391.00,395.00,382.00,389.00,0.00,7578.00,2933769.00,0
2015-12-21,389.00,389.00,376.00,378.00,0.00,6813.00,2597003.00,0
2015-12-22,378.00,380.00,364.00,370.00,0.00,7114.00,2649297.00,0
2015-12-23,370.00,376.00,366.00,372.00,0.00,12488.00,4630233.00,0
2015-12-24,372.00,385.00,365.00,379.00,0.00,11983.00,4449080.00,0
2015-12-27,379.00,385.00,366.00,385.00,0.00,9016.00,3345931.00,0
2015-12-28,385.00,380.00,370.00,371.00,0.00,10572.00,3947314.00,0
2015-12-29,371.00,381.00,368.00,372.00,0.00,13555.00,5029450.00,0
2015-12-31,372.00,381.00,368.00,370.00,0.00,11336.00,4216637.00,0
2016-01-03,370.00,377.00,362.00,369.00,0.00,11849.00,4375998.00,0
2016-01-04,369.00,373.00,358.00,368.00,0.00,9183.00,3351712.00,0
2016-01-05,368.00,375.00,350.00,375.00,0.00,27876.00,10117332.00,0
2016-01-06,375.00,375.00,353.00,360.00,0.00,21477.00,7864631.00,0
2016-01-07,360.00,377.00,356.00,368.00,0.00,16005.00,5872918.00,0
2016-01-10,368.00,380.00,361.00,378.00,0.00,29492.00,10917607.00,0
2016-01-11,378.00,383.00,370.00,376.00,0.00,30518.00,11377998.00,0
2016-01-12,376.00,400.00,370.00,400.00,0.00,35468.00,13408785.00,0
2016-01-13,400.00,405.00,378.00,394.00,0.00,26417.00,10359766.00,0
2016-01-14,394.00,400.00,379.00,390.00,0.00,29503.00,11431453.00,0
2016-01-24,390.00,429.00,397.00,429.00,0.00,3250.00,1390050.00,0
2016-01-25,429.00,471.00,437.00,454.00,0.00,4993.00,2312342.00,0
2016-01-26,454.00,455.00,446.00,448.00,0.00,3463.00,1561100.00,0
2016-01-27,448.00,445.00,432.00,432.00,0.00,2889.00,1261906.00,0
2016-01-28,432.00,445.00,430.00,430.00,0.00,4905.00,2142909.00,0
2016-01-31,430.00,440.00,432.00,432.00,0.00,864.00,374782.00,0
2016-02-01,432.00,448.00,430.00,435.00,0.00,4260.00,1850460.00,0
2016-02-02,435.00,439.00,430.00,430.00,0.00,3252.00,1404556.00,0
2016-02-03,430.00,450.00,435.00,441.00,0.00,1624.00,711018.00,0
2016-02-04,441.00,457.00,440.00,449.00,0.00,4935.00,2202194.00,0
2016-02-07,449.00,493.00,450.00,493.00,0.00,22443.00,10597556.00,0
2016-02-08,493.00,540.00,502.00,515.00,0.00,7786.00,4067248.00,0
2016-02-11,515.00,540.00,515.00,540.00,0.00,16567.00,8679098.00,0
2016-02-14,540.00,531.00,496.00,500.00,0.00,8387.00,4258243.00,0
2016-02-15,500.00,510.00,470.00,485.00,0.00,4728.00,2267292.00,0
2016-02-16,485.00,485.00,477.00,482.00,0.00,6993.00,3376593.00,0
2016-02-17,482.00,484.00,480.00,483.00,0.00,4226.00,2039080.00,0
2016-02-18,483.00,488.00,480.00,480.00,0.00,3850.00,1862966.00,0
2016-02-21,480.00,498.00,480.00,498.00,0.00,15416.00,7434530.00,0
2016-02-22,498.00,500.00,485.00,491.00,0.00,5314.00,2603456.00,0
2016-02-23,491.00,486.00,474.00,486.00,0.00,2333.00,1114554.00,0
2016-02-24,486.00,500.00,472.00,472.00,0.00,472.00,231150.00,0
2016-02-25,472.00,495.00,480.00,495.00,0.00,1844.00,889876.00,0
2016-02-28,495.00,500.00,473.00,474.00,0.00,4388.00,2099132.00,0
2016-02-29,474.00,483.00,471.00,471.00,0.00,3918.00,1857646.00,0
2016-03-01,471.00,473.00,469.00,470.00,0.00,3318.00,1561038.00,0
2016-03-02,470.00,517.00,472.00,517.00,0.00,25387.00,12874174.00,0
2016-03-03,517.00,568.00,527.00,568.00,0.00,18063.00,10204191.00,0
2016-03-06,568.00,624.00,579.00,624.00,0.00,42776.00,26486552.00,0
2016-03-10,624.00,686.00,636.00,686.00,0.00,4341.00,2976506.00,0
2016-03-13,686.00,754.00,645.00,747.00,0.00,63486.00,47241684.00,0
2016-03-14,747.00,821.00,761.00,821.00,0.00,17751.00,14569041.00,0
2016-03-15,821.00,853.00,739.00,740.00,0.00,52406.00,41597984.00,0
2016-03-16,740.00,732.00,671.00,680.00,0.00,27686.00,19031668.00,0
2016-03-17,680.00,729.00,686.00,720.00,0.00,18857.00,13249274.00,0
2016-03-20,720.00,765.00,724.00,739.00,0.00,30357.00,22573664.00,0
2016-03-21,739.00,759.00,711.00,733.00,0.00,13239.00,9804403.00,0
2016-03-23,733.00,741.00,707.00,710.00,0.00,13548.00,9695165.00,0
2016-03-24,710.00,708.00,670.00,694.00,0.00,19641.00,13519363.00,0
2016-03-27,694.00,707.00,655.00,656.00,0.00,6101.00,4043679.00,0
2016-03-28,656.00,644.00,621.00,630.00,0.00,9481.00,5971255.00,0
2016-03-29,630.00,642.00,602.00,615.00,0.00,14798.00,9084341.00,0
2016-03-30,615.00,671.00,600.00,658.00,0.00,5258.00,3244028.00,0
2016-03-31,658.00,659.00,634.00,637.00,0.00,5559.00,3544101.00,0
2016-04-03,637.00,661.00,620.00,661.00,0.00,5868.00,3687498.00,0
2016-04-04,661.00,670.00,630.00,643.00,0.00,5021.00,3228650.00,0
2016-04-05,643.00,655.00,633.00,652.00,0.00,5271.00,3397389.00,0
2016-04-06,652.00,685.00,645.00,669.00,0.00,15794.00,10377915.00,0
2016-04-10,669.00,714.00,659.00,660.00,0.00,14444.00,9923564.00,0
2016-04-11,660.00,676.00,664.00,675.00,0.00,4920.00,3299895.00,0
2016-04-12,675.00,688.00,652.00,658.00,0.00,9235.00,6162636.00,0
2016-04-14,658.00,663.00,651.00,663.00,0.00,3240.00,2126032.00,0
2016-04-17,663.00,664.00,652.00,660.00,0.00,3223.00,2112254.00,0
2016-04-18,660.00,659.00,651.00,658.00,0.00,4213.00,2755410.00,0
2016-04-19,658.00,655.00,640.00,649.00,0.00,9288.00,5991501.00,0
2016-04-20,649.00,654.00,640.00,643.00,0.00,4124.00,2654858.00,0
2016-04-21,643.00,640.00,622.00,635.00,0.00,15246.00,9615214.00,0
2016-04-24,635.00,645.00,622.00,629.00,0.00,4791.00,3005162.00,0
2016-04-25,629.00,627.00,616.00,627.00,0.00,8434.00,5246016.00,0
2016-04-26,627.00,626.00,617.00,626.00,0.00,3696.00,2292698.00,0
2016-04-27,626.00,631.00,618.00,625.00,0.00,2313.00,1437821.00,0
2016-04-28,625.00,625.00,619.00,620.00,0.00,9806.00,6095709.00,0
2016-05-02,620.00,620.00,601.00,620.00,0.00,5046.00,3069055.00,0
2016-05-03,620.00,620.00,606.00,618.00,0.00,5417.00,3309700.00,0
2016-05-04,618.00,615.00,598.00,615.00,0.00,10863.00,6561478.00,0
2016-05-05,615.00,606.00,596.00,603.00,0.00,6828.00,4113584.00,0
2016-05-08,603.00,630.00,597.00,630.00,0.00,5994.00,3631796.00,0
2016-05-09,630.00,629.00,616.00,620.00,0.00,12426.00,7747478.00,0
2016-05-10,620.00,643.00,617.00,627.00,0.00,5356.00,3365212.00,0
2016-05-11,627.00,635.00,608.00,633.00,0.00,7257.00,4542173.00,0
2016-05-12,633.00,678.00,628.00,677.00,0.00,19602.00,12768783.00,0
2016-05-15,677.00,690.00,656.00,670.00,0.00,12967.00,8738231.00,0
2016-05-16,670.00,683.00,656.00,671.00,0.00,8353.00,5588182.00,0
2016-05-17,671.00,690.00,660.00,674.00,0.00,11978.00,8120863.00,0
2016-05-18,674.00,675.00,664.00,666.00,0.00,6040.00,4022742.00,0
2016-05-19,666.00,668.00,660.00,667.00,0.00,3356.00,2227539.00,0
2016-05-22,667.00,670.00,655.00,670.00,0.00,8114.00,5373802.00,0
2016-05-23,670.00,672.00,656.00,656.00,0.00,8495.00,5660565.00,0
2016-05-24,656.00,670.00,651.00,660.00,0.00,6774.00,4478102.00,0
2016-05-25,660.00,665.00,650.00,661.00,0.00,3517.00,2324946.00,0
2016-05-26,661.00,674.00,651.00,665.00,0.00,11000.00,7284644.00,0
2016-05-29,665.00,691.00,666.00,670.00,0.00,5305.00,3583117.00,0
2016-05-30,670.00,701.00,680.00,692.00,0.00,17849.00,12341370.00,0
2016-05-31,692.00,761.00,682.00,760.00,0.00,28803.00,20862088.00,0
2016-06-01,760.00,775.00,711.00,728.00,0.00,16725.00,12204965.00,0
2016-06-02,728.00,734.00,688.00,710.00,0.00,10077.00,7160308.00,0
2016-06-05,710.00,724.00,700.00,714.00,0.00,16759.00,11950278.00,0
2016-06-06,714.00,728.00,701.00,728.00,0.00,12197.00,8774171.00,0
2016-06-07,728.00,730.00,715.00,717.00,0.00,6421.00,4634296.00,0
2016-06-08,717.00,737.00,714.00,737.00,0.00,11014.00,8015795.00,0
2016-06-09,737.00,774.00,735.00,772.00,0.00,28187.00,21216570.00,0
2016-06-12,772.00,785.00,743.00,780.00,0.00,22418.00,17303552.00,0
2016-06-13,780.00,784.00,753.00,779.00,0.00,13621.00,10540437.00,0
2016-06-14,779.00,786.00,750.00,771.00,0.00,5916.00,4563929.00,0
2016-06-15,771.00,776.00,760.00,770.00,0.00,7644.00,5889247.00,0
2016-06-16,770.00,785.00,760.00,770.00,0.00,8485.00,6529585.00,0
2016-06-19,770.00,800.00,755.00,800.00,0.00,14769.00,11541179.00,0
2016-06-20,800.00,839.00,790.00,816.00,0.00,14485.00,11815582.00,0
2016-06-21,816.00,848.00,800.00,846.00,0.00,14330.00,11834101.00,0
2016-06-22,846.00,860.00,825.00,839.00,0.00,13248.00,11206028.00,0
2016-06-23,839.00,872.00,836.00,872.00,0.00,11352.00,9641128.00,0
2016-06-26,872.00,888.00,845.00,860.00,0.00,12504.00,10769731.00,0
2016-06-27,860.00,870.00,835.00,852.00,0.00,8144.00,6990311.00,0
