published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2025-12-08,546.0,557.0,540.2,550.0,0.73,13124.0,7159286.7,1
2025-12-09,553.0,558.5,540.0,553.9,0.16,6865.0,3785136.1,1
2025-12-10,548.0,562.0,548.0,554.9,1.26,8920.0,4951657.0,1
2025-12-11,550.0,557.4,550.0,554.9,0.89,10649.0,5894147.4,1
2025-12-14,555.0,559.0,545.0,545.1,-1.78,5693.0,3128836.7,-1
2025-12-15,539.0,549.0,539.0,542.1,0.58,3854.0,2091413.1,1
2025-12-16,545.0,555.9,540.0,544.0,-0.18,4823.0,2640248.1,-1
2025-12-17,548.0,551.0,541.0,544.0,-0.73,10301.0,5610647.8,-1
2025-12-18,540.0,547.0,537.0,542.9,0.54,23664.0,12794090.5,1
2025-12-21,541.0,541.0,530.0,530.0,-2.03,7954.0,4256150.5,-1
2025-12-22,530.0,540.0,520.0,523.0,-1.32,10742.0,5629744.0,-1
2025-12-23,533.4,543.0,519.8,524.0,-1.76,10254.0,5359159.5,-1
2025-12-24,525.0,528.0,519.0,522.0,-0.57,4047.0,2112005.0,-1
2025-12-28,522.0,547.9,520.0,526.0,0.77,18592.0,9852570.8,1
2025-12-29,530.0,547.0,526.3,539.8,1.85,22454.0,12180820.9,1
2025-12-31,540.0,548.9,539.0,540.0,0.0,7177.0,3896022.3,0
2026-01-01,537.0,542.7,530.0,539.0,0.37,13156.0,7064911.1,1
2026-01-04,537.0,537.0,530.0,532.0,-0.93,8127.0,4335284.2,-1
2026-01-05,539.0,547.0,530.0,532.0,-1.3,24030.0,12925654.8,-1
2026-01-06,522.0,542.0,522.0,534.0,2.3,9341.0,4997314.2,1
2026-01-07,530.0,539.9,528.0,533.2,0.6,10485.0,5585702.8,1
2026-01-08,523.0,539.8,523.0,539.8,3.21,6117.0,3256324.2,1
2026-01-12,547.0,547.0,530.0,537.0,-1.83,4964.0,2649916.0,-1
2026-01-13,527.0,537.0,514.0,530.0,0.57,66857.0,34851711.3,1
2026-01-14,532.0,556.0,530.1,531.0,-0.19,43261.0,23357323.4,-1
2026-01-18,540.0,540.0,525.1,529.0,-2.04,17309.0,9165669.3,-1
2026-01-20,539.5,542.9,529.0,532.0,-1.39,22259.0,11936668.7,-1
2026-01-21,539.9,539.9,528.5,530.0,-1.83,11527.0,6125663.7,-1
2026-01-22,526.0,535.9,526.0,528.5,0.48,22141.0,11693988.5,1
2026-01-25,527.0,538.9,527.0,536.0,1.71,21079.0,11290718.7,1
