published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2012-05-09,402.00,410.00,410.00,410.00,0.00,95.00,38950.00,0
2012-05-10,410.00,418.00,418.00,418.00,0.00,26.00,10868.00,0
2012-05-14,418.00,426.00,426.00,426.00,0.00,10.00,4260.00,0
2012-05-31,426.00,418.00,418.00,418.00,0.00,10.00,4180.00,0
2012-09-06,418.00,430.00,426.00,430.00,0.00,36.00,15376.00,0
2012-09-12,430.00,430.00,422.00,430.00,0.00,548.00,235408.00,0
2017-08-02,430.00,422.00,422.00,422.00,0.00,22746.00,1990680.00,0
2017-08-03,422.00,414.00,380.00,380.00,0.00,1250.00,486860.00,0
2017-08-06,380.00,373.00,345.00,345.00,0.00,445.00,160665.00,0
2017-08-07,345.00,339.00,339.00,339.00,0.00,150.00,50850.00,0
2017-08-09,339.00,339.00,309.00,309.00,0.00,2080.00,671160.00,0
2017-08-10,193.00,190.00,190.00,190.00,0.00,120.00,22800.00,0
2017-08-13,190.00,189.00,189.00,189.00,0.00,50.00,9450.00,0
2017-08-20,189.00,186.00,183.00,183.00,0.00,18101.00,3366186.00,0
2017-08-24,183.00,180.00,165.00,165.00,0.00,30940.00,5424410.00,0
2017-08-27,165.00,162.00,149.00,149.00,0.00,1900.00,284850.00,0
2017-08-28,149.00,147.00,135.00,135.00,0.00,6614.00,893790.00,0
2017-08-30,135.00,134.00,122.00,134.00,0.00,17372.00,2166954.00,0
2017-08-31,134.00,140.00,136.00,140.00,0.00,4940.00,672140.00,0
2017-09-04,140.00,140.00,138.00,140.00,0.00,500.00,69800.00,0
2017-09-06,140.00,142.00,136.00,138.00,0.00,1660.00,229240.00,0
2017-09-07,138.00,140.00,136.00,136.00,0.00,3320.00,461720.00,0
2017-09-10,136.00,134.00,123.00,125.00,0.00,2960.00,369100.00,0
2017-09-11,125.00,123.00,119.00,119.00,0.00,166.00,19854.00,0
2017-09-12,119.00,117.00,115.00,115.00,0.00,40.00,4660.00,0
2017-09-13,115.00,118.00,110.00,118.00,0.00,5350.00,611910.00,0
2017-09-14,118.00,126.00,120.00,123.00,0.00,1000.00,123100.00,0
