published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2025-12-08,765.0,780.0,765.0,778.0,1.7,3448.0,2680689.0,1
2025-12-09,780.0,785.0,770.3,780.0,0.0,4523.0,3526764.7,0
2025-12-10,780.0,795.5,776.2,785.9,0.76,4995.0,3923374.2,1
2025-12-11,785.9,798.5,776.1,777.0,-1.13,3874.0,3043654.8,-1
2025-12-14,770.0,777.0,764.0,770.1,0.01,956.0,734953.0,1
2025-12-15,760.0,783.9,757.1,783.9,3.14,2698.0,2077279.9,1
2025-12-16,771.0,780.0,771.0,779.0,1.04,876.0,680790.0,1
2025-12-17,794.0,809.0,779.0,785.0,-1.13,4085.0,3224560.0,-1
2025-12-18,776.0,783.0,772.0,773.2,-0.36,2730.0,2113689.5,-1
2025-12-21,765.1,775.0,761.1,774.9,1.28,2497.0,1922239.2,1
2025-12-22,760.0,777.0,750.0,777.0,2.24,1406.0,1071389.5,1
2025-12-23,762.0,770.0,755.0,770.0,1.05,576.0,439489.1,1
2025-12-24,785.4,785.4,750.0,760.0,-3.23,2855.0,2159028.8,-1
2025-12-28,775.2,775.2,760.0,761.1,-1.82,1397.0,1065459.2,-1
2025-12-29,751.2,790.0,751.2,775.0,3.17,6343.0,4926270.4,1
2025-12-31,790.5,790.5,765.0,765.0,-3.23,1238.0,952904.0,-1
2026-01-01,765.0,780.3,760.0,765.0,0.0,927.0,710326.3,0
2026-01-04,753.1,771.0,753.1,760.0,0.92,1327.0,1009698.1,1
2026-01-05,763.0,775.0,760.0,775.0,1.57,4934.0,3775216.7,1
2026-01-06,767.0,782.5,767.0,778.0,1.43,2742.0,2127314.0,1
2026-01-07,778.0,779.0,760.0,767.5,-1.35,3080.0,2360619.0,-1
2026-01-08,765.0,770.0,762.0,762.1,-0.38,2118.0,1617944.3,-1
2026-01-12,762.0,774.0,762.0,763.0,0.13,3775.0,2893954.1,1
2026-01-13,760.0,775.0,760.0,775.0,1.97,1067.0,817597.5,1
2026-01-14,775.0,778.3,762.0,777.0,0.26,3275.0,2522485.4,1
2026-01-18,771.1,780.0,770.1,778.0,0.89,1947.0,1510259.6,1
2026-01-20,787.0,802.5,759.0,800.0,1.65,9577.0,7526075.6,1
2026-01-21,801.0,810.0,777.0,785.0,-2.0,5126.0,4062287.9,-1
2026-01-22,778.0,791.0,775.0,775.0,-0.39,7519.0,5851733.4,-1
2026-01-25,768.0,806.0,768.0,792.0,3.12,4781.0,3808730.2,1
2026-01-26,804.0,804.0,780.2,783.0,-2.61,3081.0,2422616.3,-1
2026-01-27,783.0,806.0,783.0,788.0,0.64,12535.0,9972618.3,1
2026-01-28,788.0,794.0,780.0,793.7,0.72,3214.0,2532817.0,1
2026-01-29,793.7,803.0,790.0,793.0,-0.09,7306.0,5818179.6,-1
2026-02-01,783.1,790.0,770.0,774.0,-1.16,6140.0,4781254.8,-1
2026-02-02,774.0,779.9,770.3,779.0,0.65,677.0,523733.0,1
2026-02-03,766.0,791.0,763.0,766.2,0.03,5283.0,4093213.1,1
2026-02-04,766.0,780.0,766.0,770.0,0.52,3058.0,2366408.0,1
2026-02-05,760.1,784.8,755.0,775.0,1.96,4292.0,3276352.0,1
2026-02-08,763.2,782.0,763.2,776.0,1.68,2520.0,1955000.0,1
2026-02-09,774.0,780.0,770.0,770.2,-0.49,4265.0,3302352.0,-1
2026-02-10,785.5,785.5,763.5,770.0,-1.97,1373.0,1055149.6,-1
2026-02-11,770.0,781.7,760.0,770.0,0.0,3044.0,2324506.2,0
2026-02-12,772.0,773.0,762.0,764.0,-1.04,3002.0,2300056.4,-1
2026-02-16,760.1,770.0,760.0,761.1,0.13,1700.0,1296840.5,1
2026-02-17,760.1,765.0,755.0,760.0,-0.01,2220.0,1686568.0,-1
2026-02-22,755.0,758.0,755.0,755.0,0.0,987.0,746175.0,0
2026-02-23,750.3,761.0,742.0,743.5,-0.91,1750.0,1313131.0,-1
2026-02-24,744.5,760.0,744.5,745.0,0.07,2296.0,1721722.0,1
2026-02-25,730.7,753.0,730.7,751.0,2.78,1385.0,1038625.0,1
2026-02-26,750.0,775.0,750.0,757.2,0.96,2762.0,2107094.3,1
2026-03-01,745.0,760.0,742.0,760.0,2.01,495.0,372400.0,1
2026-03-03,751.1,769.9,750.0,766.0,1.98,1636.0,1231385.8,1
2026-03-09,781.0,796.0,781.0,796.0,1.92,74.0,58454.0,1
2026-03-10,811.9,828.0,770.1,789.0,-2.82,8932.0,7070547.9,-1
2026-03-11,785.0,785.0,770.0,773.0,-1.53,2066.0,1604917.1,-1
2026-03-12,760.5,780.0,760.5,771.1,1.39,1875.0,1453109.6,1
2026-03-15,762.0,778.0,760.0,761.2,-0.1,4518.0,3460643.2,-1
2026-03-16,762.0,770.0,760.0,769.0,0.92,5073.0,3871250.7,1
2026-03-17,770.0,772.5,761.1,770.0,0.0,4648.0,3555835.4,0
2026-03-19,767.0,783.0,767.0,770.1,0.4,5041.0,3906106.2,1
2026-03-22,777.9,783.0,767.0,767.0,-1.4,9100.0,7021012.8,-1
