published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2025-12-08,506.0,535.0,501.5,528.0,4.35,122440.0,63603442.4,1
2025-12-09,517.5,547.7,517.5,538.9,4.14,75017.0,40393687.9,1
2025-12-10,530.0,535.0,516.0,531.2,0.23,98999.0,51899504.7,1
2025-12-11,521.0,556.6,517.1,517.1,-0.75,133391.0,70593335.7,-1
2025-12-14,525.0,527.4,500.2,512.0,-2.48,97568.0,49995723.2,-1
2025-12-15,502.1,514.9,499.8,507.9,1.16,79709.0,40354311.7,1
2025-12-16,501.0,510.0,496.0,508.2,1.44,74667.0,37575563.0,1
2025-12-17,505.0,515.1,497.3,497.3,-1.52,69193.0,34727285.6,-1
2025-12-18,502.0,503.9,484.1,485.0,-3.39,100733.0,49444205.1,-1
2025-12-21,475.3,489.6,468.0,475.9,0.13,79997.0,37896731.3,1
2025-12-22,476.0,490.0,467.5,489.0,2.73,46456.0,22326506.1,1
2025-12-23,480.1,494.0,477.1,487.0,1.44,48033.0,23216841.9,1
2025-12-24,480.5,490.0,475.0,478.0,-0.52,48665.0,23344801.0,-1
2025-12-28,472.0,490.0,472.0,484.0,2.54,48867.0,23585654.2,1
2025-12-29,484.0,485.0,475.0,475.1,-1.84,56150.0,26820516.5,-1
2025-12-31,475.1,497.5,475.1,490.0,3.14,105576.0,51840448.3,1
2026-01-01,491.0,505.0,487.4,497.4,1.3,86888.0,43405764.6,1
