published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2025-12-08,626.3,644.0,626.3,628.0,0.27,1928.0,1213892.6,1
2025-12-09,622.0,637.9,616.0,634.9,2.07,4235.0,2638554.5,1
2025-12-10,644.0,644.0,608.0,622.0,-3.42,3397.0,2115564.0,-1
2025-12-11,615.0,623.0,605.0,623.0,1.3,874.0,536148.0,1
2025-12-14,610.8,610.8,599.0,605.0,-0.95,2374.0,1438787.8,-1
2025-12-15,593.1,593.4,580.0,582.0,-1.87,6634.0,3873092.4,-1
2025-12-16,570.5,624.2,570.4,623.0,9.2,3900.0,2378062.1,1
2025-12-17,610.6,610.6,560.7,560.7,-8.17,52116.0,29228872.2,-1
2025-12-18,549.5,555.0,507.0,534.0,-2.82,466967.0,247234380.0,-1
2025-12-21,542.0,555.0,530.0,550.0,1.48,221939.0,119071785.6,1
2025-12-22,539.0,542.0,526.0,530.0,-1.67,101109.0,53773928.9,-1
2025-12-23,540.0,540.0,516.5,518.0,-4.07,99110.0,51684379.6,-1
2025-12-24,508.0,527.9,508.0,519.0,2.17,43247.0,22521517.1,1
2025-12-28,508.7,528.0,508.0,512.9,0.83,85842.0,44038582.7,1
2025-12-29,503.1,527.0,503.1,517.0,2.76,78189.0,40273413.9,1
2025-12-31,527.0,527.0,515.1,520.0,-1.33,62163.0,32409390.4,-1
2026-01-01,530.4,530.4,513.1,516.0,-2.71,67861.0,35196944.9,-1
2026-01-04,511.0,524.0,510.0,518.9,1.55,66686.0,34518455.8,1
2026-01-05,518.1,570.7,518.1,570.7,10.15,171894.0,94964125.0,1
2026-01-06,582.0,604.6,545.0,560.0,-3.78,123987.0,71366607.5,-1
2026-01-07,548.8,572.0,538.0,541.0,-1.42,65579.0,36054385.8,-1
