published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2025-12-08,590.0,605.1,582.0,600.0,1.69,52224.0,31193810.1,1
2025-12-09,612.0,635.5,600.0,632.0,3.27,34665.0,21518169.5,1
2025-12-10,620.0,635.0,611.3,616.0,-0.65,65680.0,41006204.5,-1
2025-12-11,606.1,625.0,602.0,606.0,-0.02,43989.0,26877521.3,-1
2025-12-14,600.0,607.0,590.3,591.0,-1.5,27175.0,16197686.1,-1
2025-12-15,585.0,607.0,585.0,594.0,1.54,31029.0,18463979.8,1
2025-12-16,590.1,630.0,588.5,611.0,3.54,40189.0,24686504.0,1
2025-12-17,605.0,623.0,600.2,612.0,1.16,18698.0,11353666.3,1
2025-12-18,600.0,633.2,600.0,620.9,3.48,112831.0,70241242.9,1
2025-12-21,620.9,630.0,610.2,620.0,-0.14,58542.0,36358897.9,-1
2025-12-22,632.4,632.4,598.1,600.0,-5.12,60902.0,36960305.0,-1
2025-12-23,590.1,604.0,580.0,585.2,-0.83,46819.0,27665546.3,-1
2025-12-24,580.0,596.0,570.0,575.0,-0.86,55434.0,32194421.5,-1
2025-12-28,575.0,596.7,565.0,590.0,2.61,52920.0,30887228.9,1
2025-12-29,578.3,601.8,578.3,590.0,2.02,43251.0,25503425.3,1
2025-12-31,590.0,604.0,586.5,592.0,0.34,57437.0,34113523.7,1
