published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2025-12-08,1000.5,1012.0,994.1,1001.0,0.05,30309.0,30306027.2,1
2025-12-09,1013.5,1013.5,1000.0,1004.7,-0.87,9324.0,9351125.5,-1
2025-12-10,1000.1,1008.0,1000.0,1001.0,0.09,9309.0,9343673.1,1
2025-12-11,1000.0,1012.0,1000.0,1007.0,0.7,17545.0,17672112.1,1
2025-12-14,1000.0,1009.0,998.0,1005.0,0.5,14171.0,14194503.4,1
2025-12-15,1001.0,1011.0,1001.0,1007.0,0.6,8943.0,9009639.2,1
2025-12-16,1027.1,1040.0,1015.0,1025.0,-0.2,70909.0,72831880.9,-1
2025-12-17,1040.0,1040.0,1020.2,1023.1,-1.62,34424.0,35552605.4,-1
2025-12-18,1037.5,1037.5,1021.0,1024.0,-1.3,23443.0,24049203.2,-1
2025-12-21,1039.9,1039.9,1018.6,1019.0,-2.01,22264.0,22810466.3,-1
2025-12-22,1015.6,1025.0,1015.5,1018.9,0.32,14427.0,14693484.1,1
2025-12-23,1028.0,1028.0,1015.2,1021.0,-0.68,18051.0,18392111.6,-1
2025-12-24,1001.1,1034.9,1001.1,1027.9,2.68,17968.0,18477456.1,1
2025-12-28,1040.0,1045.0,1030.0,1039.0,-0.1,44062.0,45812572.3,-1
2025-12-29,1050.0,1054.0,1044.0,1044.9,-0.49,79255.0,83059900.4,-1
2025-12-31,935.0,940.0,929.0,937.0,0.21,28957.0,27113212.7,1
2026-01-01,937.0,937.0,925.4,932.0,-0.53,11892.0,11074209.8,-1
2026-01-04,939.0,939.0,916.0,916.0,-2.45,18007.0,16662986.3,-1
2026-01-05,916.0,919.0,900.0,910.9,-0.56,24298.0,22097340.1,-1
2026-01-06,919.0,919.0,911.0,915.0,-0.44,27702.0,25352385.5,-1
2026-01-07,933.0,933.0,915.2,919.0,-1.5,8951.0,8226694.3,-1
2026-01-08,914.0,925.0,912.4,918.0,0.44,15537.0,14227994.3,1
2026-01-12,920.0,927.0,915.0,915.0,-0.54,15559.0,14326929.4,-1
2026-01-13,911.5,924.0,911.5,922.0,1.15,15124.0,13908033.2,1
2026-01-14,925.0,925.0,918.3,919.9,-0.55,18468.0,16990549.8,-1
2026-01-18,923.0,934.0,920.0,923.1,0.01,16777.0,15581473.4,1
2026-01-20,935.0,950.0,930.0,942.0,0.75,20078.0,18941504.7,1
2026-01-21,943.0,954.7,925.1,945.0,0.21,29963.0,28274978.2,1
