published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2025-12-08,1250.0,1250.0,1250.0,1250.0,0.0,25.0,31250.0,0
2025-12-09,1250.0,1250.0,1250.0,1250.0,0.0,25.0,31250.0,0
2025-12-11,1250.0,1250.0,1250.0,1226.1,-1.91,1.0,1226.1,-1
2025-12-14,1205.0,1205.0,1205.0,1205.0,0.0,25.0,30125.0,0
2025-12-15,1216.0,1216.0,1216.0,1216.0,0.0,10.0,12160.0,0
2025-12-17,1240.3,1267.8,1240.3,1267.8,2.22,150.0,187002.5,1
2025-12-21,1252.0,1281.0,1251.0,1281.0,2.32,316.0,404051.0,1
2025-12-23,1266.0,1267.0,1266.0,1267.0,0.08,50.0,63325.0,1
2025-12-28,1268.0,1268.0,1268.0,1268.0,0.0,35.0,44380.0,0
2025-12-31,1272.0,1272.0,1272.0,1272.0,0.0,15.0,19080.0,0
2026-01-06,1272.0,1272.0,1272.0,1272.0,0.0,30.0,38160.0,0
2026-01-07,1260.0,1260.0,1255.1,1255.1,-0.39,25.0,31426.5,-1
2026-01-08,1255.1,1255.1,1255.1,1255.1,0.0,25.0,31377.5,0
2026-01-13,1230.0,1230.0,1206.0,1211.0,-1.54,80.0,97325.0,-1
2026-01-14,1212.0,1212.0,1212.0,1212.0,0.0,100.0,121200.0,0
2026-01-20,1191.0,1191.0,1191.0,1191.0,0.0,20.0,23820.0,0
2026-01-21,1191.1,1191.1,1191.1,1191.1,0.0,25.0,29777.5,0
