published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2003-04-04,140.00,145.00,140.00,140.00,0.00,1740.00,0.00,0
2003-04-08,140.00,145.00,144.00,145.00,0.00,200.00,0.00,0
2003-04-09,145.00,145.00,144.00,145.00,0.00,480.00,0.00,0
2003-04-10,145.00,145.00,145.00,145.00,0.00,240.00,0.00,0
2003-04-16,145.00,141.00,141.00,141.00,0.00,230.00,0.00,0
2003-04-17,141.00,141.00,141.00,141.00,0.00,260.00,0.00,0
2003-04-18,141.00,145.00,141.00,145.00,0.00,1690.00,0.00,0
2003-04-22,145.00,142.00,142.00,142.00,0.00,500.00,0.00,0
2003-04-23,142.00,141.00,141.00,141.00,0.00,80.00,0.00,0
2003-04-24,141.00,142.00,142.00,142.00,0.00,200.00,0.00,0
2003-04-25,142.00,142.00,142.00,142.00,0.00,10.00,0.00,0
2003-04-28,142.00,143.00,142.00,143.00,0.00,90.00,0.00,0
2003-04-29,143.00,143.00,142.00,143.00,0.00,4900.00,0.00,0
2003-04-30,143.00,143.00,142.00,143.00,0.00,120.00,0.00,0
2003-05-01,143.00,142.00,142.00,142.00,0.00,700.00,0.00,0
2003-05-05,142.00,143.00,142.00,143.00,0.00,230.00,0.00,0
2003-05-06,143.00,143.00,142.00,143.00,0.00,610.00,0.00,0
2003-05-07,143.00,142.00,142.00,142.00,0.00,180.00,0.00,0
2003-05-08,142.00,142.00,142.00,142.00,0.00,20.00,0.00,0
2003-05-09,142.00,135.00,135.00,135.00,0.00,506.00,0.00,0
2003-05-14,135.00,135.00,135.00,135.00,0.00,30.00,0.00,0
2003-05-21,135.00,140.00,140.00,140.00,0.00,4010.00,0.00,0
2003-05-22,140.00,140.00,140.00,140.00,0.00,320.00,0.00,0
2003-05-23,140.00,141.00,140.00,141.00,0.00,150.00,0.00,0
2003-05-26,141.00,140.00,140.00,140.00,0.00,380.00,0.00,0
2003-05-27,140.00,140.00,140.00,140.00,0.00,40.00,0.00,0
2003-05-28,140.00,141.00,141.00,141.00,0.00,40.00,0.00,0
2003-05-29,141.00,142.00,142.00,142.00,0.00,350.00,0.00,0
2003-05-30,142.00,142.00,141.00,141.00,0.00,1010.00,0.00,0
2003-06-02,141.00,142.00,142.00,142.00,0.00,50.00,0.00,0
2003-06-04,142.00,141.00,141.00,141.00,0.00,60.00,0.00,0
2003-06-05,141.00,143.00,143.00,143.00,0.00,180.00,0.00,0
2003-06-06,143.00,145.00,145.00,145.00,0.00,90.00,0.00,0
2003-06-09,145.00,145.00,145.00,145.00,0.00,200.00,0.00,0
2003-06-13,145.00,149.00,149.00,149.00,0.00,30.00,0.00,0
2003-06-18,149.00,150.00,150.00,150.00,0.00,40.00,0.00,0
2003-06-19,150.00,151.00,150.00,151.00,0.00,760.00,0.00,0
2003-06-23,151.00,150.00,150.00,150.00,0.00,50.00,0.00,0
2003-06-24,150.00,147.00,142.00,146.00,0.00,480.00,0.00,0
2003-06-25,146.00,145.00,145.00,145.00,0.00,170.00,0.00,0
2003-06-27,145.00,143.00,143.00,143.00,0.00,90.00,0.00,0
2003-06-30,143.00,143.00,141.00,141.00,0.00,310.00,0.00,0
2003-07-01,141.00,141.00,141.00,141.00,0.00,200.00,0.00,0
2003-07-02,141.00,138.00,138.00,138.00,0.00,80.00,0.00,0
2003-07-03,138.00,135.00,135.00,135.00,0.00,50.00,0.00,0
2003-07-08,135.00,136.00,135.00,136.00,0.00,290.00,0.00,0
2003-07-10,136.00,136.00,136.00,136.00,0.00,20.00,0.00,0
2003-07-11,136.00,138.00,138.00,138.00,0.00,120.00,0.00,0
2003-07-14,138.00,138.00,138.00,138.00,0.00,120.00,0.00,0
2003-07-23,138.00,138.00,138.00,138.00,0.00,120.00,0.00,0
2003-07-24,138.00,138.00,136.00,136.00,0.00,120.00,0.00,0
