published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2021-03-15,928.00,972.00,928.00,972.00,9.95,4377.00,4249434.00,1
2021-03-16,1020.00,1069.00,1020.00,1069.00,9.98,7206.00,7696464.00,1
2021-03-17,1122.00,1175.00,1122.00,1175.00,9.92,5090.00,5967520.00,1
2021-03-18,1233.00,1292.00,1233.00,1292.00,9.96,7276.00,9390112.00,1
2021-03-21,1356.00,1421.00,1356.00,1421.00,9.98,10784.00,15299144.00,1
2021-03-22,1492.00,1563.00,1492.00,1563.00,9.99,17549.00,27418297.00,1
2021-03-23,1641.00,1719.00,1641.00,1719.00,9.98,19797.00,34010403.00,1
2021-03-24,1804.00,1890.00,1804.00,1890.00,9.95,17362.00,32799280.00,1
2021-03-25,1984.00,2079.00,1984.00,2079.00,10.00,30820.00,64053230.00,1
2021-03-29,2182.00,2286.00,1872.00,1930.00,-7.17,183623.00,370776490.00,-1
2021-03-30,1900.00,2079.00,1850.00,2050.00,6.22,84925.00,162313755.00,1
2021-03-31,2060.00,2170.00,2050.00,2120.00,3.41,31955.00,67379324.00,1
2021-04-01,2120.00,2120.00,2037.00,2050.00,-3.30,34884.00,72097828.00,-1
2021-04-04,2100.00,2100.00,1980.00,2009.00,-2.00,45782.00,91733123.00,-1
2021-04-05,2009.00,2185.00,1980.00,2131.00,6.07,72510.00,151892196.00,1
2021-04-06,2237.00,2344.00,2108.00,2344.00,10.00,56311.00,129057098.00,1
2021-04-07,2461.00,2578.00,2355.00,2578.00,9.98,58262.00,148528528.00,1
2021-04-08,2578.00,2800.00,2500.00,2625.00,1.82,84315.00,224411844.00,1
2021-04-12,2675.00,2675.00,2532.00,2552.00,-2.78,55263.00,142746491.00,-1
2021-04-13,2550.00,2560.00,2485.00,2485.00,-2.63,43878.00,110236690.00,-1
2021-04-15,2450.00,2550.00,2405.00,2490.00,0.20,33584.00,83617354.00,1
2021-04-18,2490.00,2520.00,2409.00,2409.00,-3.25,38573.00,93992451.00,-1
2021-04-19,2300.00,2329.00,2169.00,2180.00,-9.51,98372.00,218512957.00,-1
2021-04-20,2071.00,2240.00,2071.00,2197.00,0.78,34463.00,74570201.00,1
2021-04-21,2196.00,2280.00,2160.00,2185.00,-0.55,16027.00,35429755.00,-1
2021-04-22,2200.00,2228.00,2122.00,2135.00,-2.29,17055.00,36732068.00,-1
2021-04-25,2093.00,2093.00,1941.00,1955.00,-8.43,54284.00,108769698.00,-1
2021-04-26,1936.00,2019.00,1890.00,1924.00,-1.59,32988.00,64244741.00,-1
2021-04-27,1924.00,1969.00,1896.00,1950.00,1.35,16883.00,32852867.00,1
2021-04-28,1960.00,1990.00,1911.00,1927.00,-1.18,13540.00,26294805.00,-1
2021-04-29,1927.00,1943.00,1894.00,1902.00,-1.30,19104.00,36494862.00,-1
2021-05-02,1893.00,2066.00,1824.00,1986.00,4.42,48659.00,91898411.00,1
2021-05-03,1900.00,2050.00,1900.00,1969.00,-0.86,19189.00,38394541.00,-1
2021-05-04,1950.00,2000.00,1920.00,1930.00,-1.98,17048.00,33193996.00,-1
2021-05-05,1911.00,1949.00,1898.00,1898.00,-1.66,17812.00,34111276.00,-1
2021-05-06,1804.00,1930.00,1804.00,1871.00,-1.42,17620.00,33171635.00,-1
2021-05-09,1851.00,1869.00,1825.00,1830.00,-2.19,19029.00,34985561.00,-1
2021-05-10,1803.00,1872.00,1800.00,1845.00,0.82,14311.00,26341501.00,1
2021-05-11,1856.00,1879.00,1832.00,1859.00,0.76,9113.00,16894734.00,1
2021-05-12,1859.00,1860.00,1840.00,1850.00,-0.48,6492.00,11987007.00,-1
2021-05-13,1836.00,1850.00,1819.00,1820.00,-1.62,18252.00,33424727.00,-1
2021-05-16,1820.00,1850.00,1801.00,1838.00,0.99,18197.00,33063096.00,1
2021-05-17,1838.00,1856.00,1820.00,1825.00,-0.71,7849.00,14401403.00,-1
2021-05-18,1850.00,1949.00,1819.00,1885.00,3.29,21722.00,40951218.00,1
2021-05-19,1855.00,1900.00,1845.00,1848.00,-1.96,9015.00,16823605.00,-1
2021-05-20,1830.00,1850.00,1814.00,1820.00,-1.52,14733.00,26937797.00,-1
2021-05-23,1800.00,1848.00,1795.00,1845.00,1.37,16148.00,29438480.00,1
2021-05-24,1823.00,1850.00,1822.00,1831.00,-0.76,16326.00,30055148.00,-1
2021-05-25,1835.00,1849.00,1812.00,1816.00,-0.82,11045.00,20127828.00,-1
2021-05-27,1816.00,1819.00,1790.00,1795.00,-1.16,16765.00,30192257.00,-1
2021-05-30,1815.00,1820.00,1765.00,1778.00,-0.95,24258.00,43321687.00,-1
2021-05-31,1771.00,1800.00,1748.00,1749.00,-1.63,26427.00,46625309.00,-1
2021-06-01,1740.00,1750.00,1700.00,1709.00,-2.29,21442.00,36769070.00,-1
2021-06-02,1742.00,1847.00,1685.00,1771.00,3.63,22971.00,39715576.00,1
2021-06-03,1800.00,1907.00,1772.00,1855.00,4.74,41121.00,76691546.00,1
2021-06-06,1870.00,1935.00,1855.00,1858.00,0.16,36654.00,69465042.00,1
2021-06-07,1845.00,1858.00,1812.00,1822.00,-1.94,10395.00,19042985.00,-1
2021-06-08,1801.00,1855.00,1800.00,1807.00,-0.82,17974.00,32680747.00,-1
2021-06-09,1819.00,1820.00,1766.00,1780.00,-1.49,15950.00,28552835.00,-1
2021-06-10,1780.00,1809.00,1751.00,1774.00,-0.34,7488.00,13385979.00,-1
2021-06-13,1751.00,1795.00,1751.00,1766.00,-0.45,22848.00,40524737.00,-1
2021-06-14,1830.00,1830.00,1730.00,1731.00,-1.98,15343.00,26778932.00,-1
2021-06-15,1817.00,1817.00,1685.00,1722.00,-0.52,35695.00,61006252.00,-1
2021-06-16,1700.00,1722.00,1682.00,1686.00,-2.09,15638.00,26505274.00,-1
2021-06-17,1690.00,1690.00,1645.00,1652.00,-2.02,14691.00,24429574.00,-1
2021-06-20,1652.00,1685.00,1595.00,1624.00,-1.69,19147.00,30897622.00,-1
