published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2025-12-08,626.0,665.0,626.0,661.0,5.59,15467.0,10143435.6,1
2025-12-09,648.0,671.0,648.0,669.5,3.32,12297.0,8126288.4,1
2025-12-10,657.0,682.0,657.0,667.9,1.66,10157.0,6760232.0,1
2025-12-11,667.0,668.9,645.4,658.0,-1.35,6678.0,4387370.2,-1
2025-12-14,671.0,671.0,640.0,643.0,-4.17,3107.0,2015582.0,-1
2025-12-15,643.0,650.0,635.0,650.0,1.09,6169.0,3953936.6,1
2025-12-16,650.0,661.0,650.0,654.9,0.75,5124.0,3353491.7,1
2025-12-17,660.0,695.0,653.6,689.8,4.52,41053.0,27920898.4,1
2025-12-18,690.0,693.4,668.0,678.9,-1.61,11937.0,8113574.3,-1
2025-12-21,665.4,673.0,643.1,650.0,-2.31,17393.0,11376075.7,-1
2025-12-22,650.0,651.0,623.4,640.0,-1.54,9536.0,6043496.1,-1
2025-12-23,628.0,649.0,628.0,649.0,3.34,5334.0,3412541.2,1
2025-12-24,637.0,651.0,628.0,639.0,0.31,9557.0,6091243.0,1
2025-12-28,627.0,652.8,625.0,650.0,3.67,9382.0,6045956.5,1
2025-12-29,638.0,661.0,637.0,650.0,1.88,4261.0,2744545.3,1
2025-12-31,637.0,668.0,637.0,665.0,4.4,10551.0,6971631.8,1
