published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2011-12-29,140.00,138.00,134.00,134.00,0.00,40.00,5460.00,0
2012-01-12,134.00,132.00,124.00,124.00,0.00,90.00,11640.00,0
2012-01-22,124.00,122.00,122.00,122.00,0.00,10.00,1220.00,0
2012-01-23,122.00,120.00,110.00,110.00,0.00,90.00,10340.00,0
2012-01-25,110.00,108.00,99.00,101.00,0.00,8380.00,838310.00,0
2012-01-26,101.00,104.00,100.00,102.00,0.00,3980.00,409090.00,0
2012-01-29,102.00,104.00,101.00,103.00,0.00,3560.00,366750.00,0
2012-01-31,103.00,103.00,102.00,103.00,0.00,1350.00,138230.00,0
2012-02-01,103.00,103.00,101.00,103.00,0.00,1140.00,116220.00,0
2012-02-02,103.00,103.00,101.00,101.00,0.00,1280.00,130920.00,0
2012-02-05,101.00,103.00,101.00,102.00,0.00,2020.00,206390.00,0
2012-02-06,102.00,103.00,102.00,103.00,0.00,2580.00,263520.00,0
2012-02-07,103.00,104.00,104.00,104.00,0.00,40.00,4160.00,0
2012-02-12,104.00,110.00,106.00,110.00,0.00,90.00,9720.00,0
2012-02-13,110.00,121.00,112.00,121.00,0.00,460.00,54660.00,0
2012-02-14,121.00,128.00,121.00,123.00,0.00,1740.00,218990.00,0
2012-02-15,123.00,122.00,116.00,122.00,0.00,1100.00,132630.00,0
2012-02-21,122.00,120.00,114.00,114.00,0.00,1060.00,122310.00,0
2012-02-23,114.00,115.00,109.00,110.00,0.00,4200.00,470550.00,0
2012-02-26,110.00,113.00,112.00,112.00,0.00,690.00,77320.00,0
2012-02-27,112.00,113.00,110.00,113.00,0.00,720.00,80620.00,0
2012-02-28,113.00,113.00,112.00,112.00,0.00,120.00,13530.00,0
2012-02-29,112.00,112.00,112.00,112.00,0.00,1380.00,154560.00,0
2012-03-01,112.00,112.00,110.00,112.00,0.00,1410.00,155400.00,0
2012-03-04,112.00,116.00,114.00,115.00,0.00,1270.00,146020.00,0
2012-03-05,115.00,115.00,113.00,115.00,0.00,2100.00,237360.00,0
2012-03-06,115.00,118.00,116.00,116.00,0.00,2210.00,258350.00,0
2012-03-11,116.00,115.00,114.00,114.00,0.00,1410.00,160800.00,0
2012-03-12,114.00,112.00,109.00,109.00,0.00,2160.00,237420.00,0
2012-03-13,109.00,110.00,108.00,110.00,0.00,1530.00,165360.00,0
2012-03-14,110.00,110.00,108.00,110.00,0.00,2220.00,240000.00,0
2012-03-15,110.00,115.00,112.00,115.00,0.00,1040.00,118950.00,0
2012-03-19,115.00,115.00,115.00,115.00,0.00,220.00,25300.00,0
2012-03-21,115.00,114.00,113.00,114.00,0.00,520.00,58950.00,0
2012-03-25,114.00,114.00,114.00,114.00,0.00,510.00,58140.00,0
2012-03-26,114.00,114.00,113.00,114.00,0.00,1380.00,157110.00,0
2012-03-27,114.00,114.00,113.00,113.00,0.00,270.00,30660.00,0
2012-03-29,113.00,114.00,113.00,114.00,0.00,90.00,10230.00,0
2012-04-01,114.00,114.00,112.00,113.00,0.00,320.00,36150.00,0
2012-04-02,113.00,113.00,112.00,112.00,0.00,920.00,103520.00,0
2012-04-03,112.00,114.00,114.00,114.00,0.00,80.00,9120.00,0
2012-04-05,114.00,118.00,116.00,118.00,0.00,170.00,20000.00,0
2012-04-10,118.00,116.00,115.00,115.00,0.00,110.00,12670.00,0
2012-04-11,115.00,113.00,113.00,113.00,0.00,80.00,9040.00,0
2012-04-12,113.00,115.00,115.00,115.00,0.00,160.00,18400.00,0
2012-04-15,115.00,119.00,117.00,119.00,0.00,70.00,8270.00,0
2012-04-17,119.00,121.00,120.00,120.00,0.00,260.00,31260.00,0
2012-04-18,120.00,122.00,122.00,122.00,0.00,80.00,9760.00,0
2012-04-19,122.00,125.00,124.00,125.00,0.00,300.00,37460.00,0
2012-04-26,125.00,127.00,127.00,127.00,0.00,90.00,11430.00,0
2012-04-30,127.00,135.00,129.00,135.00,0.00,100.00,13380.00,0
2012-05-10,135.00,135.00,131.00,131.00,0.00,990.00,133010.00,0
2012-05-17,131.00,129.00,129.00,129.00,0.00,40.00,5160.00,0
2012-05-21,129.00,132.00,131.00,132.00,0.00,220.00,28850.00,0
2012-05-22,132.00,130.00,130.00,130.00,0.00,100.00,13000.00,0
2012-05-24,130.00,128.00,126.00,126.00,0.00,16120.00,2031320.00,0
2012-05-29,126.00,124.00,114.00,114.00,0.00,8150.00,981800.00,0
2012-05-30,114.00,112.00,103.00,103.00,0.00,12020.00,1307030.00,0
2012-05-31,103.00,109.00,99.00,109.00,0.00,5520.00,582290.00,0
2012-06-03,109.00,111.00,104.00,106.00,0.00,9230.00,1022060.00,0
2012-06-04,106.00,107.00,104.00,107.00,0.00,400.00,42130.00,0
2012-06-05,107.00,105.00,102.00,102.00,0.00,3590.00,375020.00,0
2012-06-06,102.00,105.00,101.00,101.00,0.00,9280.00,964140.00,0
2012-06-10,101.00,105.00,103.00,104.00,0.00,2980.00,307660.00,0
2012-06-11,104.00,104.00,102.00,102.00,0.00,240.00,24840.00,0
2012-06-12,102.00,106.00,103.00,104.00,0.00,2840.00,295950.00,0
2012-06-13,104.00,105.00,103.00,105.00,0.00,1650.00,172230.00,0
2012-06-14,105.00,107.00,105.00,105.00,0.00,2580.00,274680.00,0
2012-06-17,105.00,109.00,107.00,109.00,0.00,2940.00,316140.00,0
2012-06-18,109.00,113.00,111.00,111.00,0.00,2070.00,229910.00,0
2012-06-19,111.00,115.00,113.00,115.00,0.00,630.00,71490.00,0
2012-06-20,115.00,115.00,105.00,105.00,0.00,2030.00,227110.00,0
2012-06-21,105.00,106.00,105.00,106.00,0.00,380.00,40120.00,0
2012-06-25,106.00,109.00,105.00,109.00,0.00,2850.00,303090.00,0
2012-06-26,109.00,111.00,111.00,111.00,0.00,60.00,6660.00,0
2012-06-27,111.00,109.00,109.00,109.00,0.00,40.00,4360.00,0
2012-06-28,109.00,107.00,105.00,106.00,0.00,420.00,44520.00,0
2013-11-27,106.00,104.00,104.00,104.00,0.00,930.00,96720.00,0
2013-11-28,104.00,105.00,103.00,103.00,0.00,750.00,77790.00,0
2013-12-05,103.00,103.00,103.00,103.00,0.00,150.00,15450.00,0
2013-12-08,103.00,101.00,101.00,101.00,0.00,800.00,80800.00,0
2013-12-22,101.00,103.00,101.00,101.00,0.00,950.00,97610.00,0
2013-12-29,101.00,99.00,99.00,99.00,0.00,280.00,27720.00,0
2014-01-08,99.00,98.00,97.00,97.00,0.00,1550.00,151340.00,0
2014-01-09,97.00,97.00,95.00,97.00,0.00,4370.00,417240.00,0
2014-01-12,97.00,99.00,98.00,98.00,0.00,440.00,43200.00,0
2014-01-13,98.00,101.00,98.00,98.00,0.00,2290.00,227240.00,0
2014-01-14,98.00,100.00,97.00,98.00,0.00,1730.00,171060.00,0
2014-01-16,98.00,97.00,97.00,97.00,0.00,60.00,5820.00,0
2014-01-19,97.00,102.00,98.00,100.00,0.00,920.00,91880.00,0
2014-01-20,100.00,103.00,102.00,103.00,0.00,100.00,10260.00,0
2014-01-21,103.00,106.00,105.00,106.00,0.00,540.00,57200.00,0
2014-01-22,106.00,116.00,108.00,116.00,0.00,750.00,85340.00,0
2014-01-23,116.00,126.00,114.00,126.00,0.00,2250.00,271940.00,0
2014-01-26,126.00,138.00,128.00,138.00,0.00,2480.00,340020.00,0
2014-01-27,138.00,151.00,136.00,148.00,0.00,5060.00,750800.00,0
2014-01-28,148.00,156.00,148.00,153.00,0.00,4930.00,754470.00,0
2014-01-29,153.00,150.00,143.00,143.00,0.00,1370.00,201130.00,0
2014-02-03,143.00,141.00,141.00,141.00,0.00,60.00,8460.00,0
2014-02-06,141.00,141.00,139.00,141.00,0.00,650.00,90530.00,0
2014-02-09,141.00,139.00,137.00,137.00,0.00,990.00,136110.00,0
2014-02-10,137.00,135.00,133.00,133.00,0.00,750.00,100770.00,0
2014-02-11,133.00,135.00,133.00,133.00,0.00,1330.00,178610.00,0
2014-02-12,133.00,131.00,129.00,129.00,0.00,1200.00,154880.00,0
2014-02-13,129.00,131.00,128.00,130.00,0.00,2730.00,352830.00,0
2014-02-16,130.00,132.00,128.00,130.00,0.00,2690.00,349080.00,0
2014-02-17,130.00,128.00,128.00,128.00,0.00,280.00,35840.00,0
2014-02-18,128.00,130.00,126.00,130.00,0.00,440.00,56200.00,0
2014-02-20,130.00,132.00,128.00,132.00,0.00,740.00,95420.00,0
2014-02-23,132.00,132.00,132.00,132.00,0.00,30.00,3960.00,0
2014-02-24,132.00,130.00,128.00,130.00,0.00,1950.00,252900.00,0
2014-03-12,130.00,128.00,128.00,128.00,0.00,890.00,113920.00,0
2014-03-13,128.00,128.00,128.00,128.00,0.00,250.00,32000.00,0
2014-03-13,128.00,128.00,128.00,128.00,0.00,250.00,32000.00,0
2014-03-17,128.00,126.00,118.00,118.00,0.00,240.00,29120.00,0
2014-03-20,118.00,116.00,107.00,107.00,0.00,600.00,66200.00,0
2014-03-23,107.00,105.00,100.00,100.00,0.00,3820.00,394120.00,0
2014-03-24,100.00,106.00,102.00,106.00,0.00,3620.00,370800.00,0
2014-03-25,106.00,108.00,108.00,108.00,0.00,3200.00,345600.00,0
2014-03-27,108.00,106.00,106.00,106.00,0.00,5330.00,564980.00,0
2014-03-31,106.00,106.00,106.00,106.00,0.00,310.00,32860.00,0
2014-04-02,106.00,108.00,102.00,106.00,0.00,1300.00,136690.00,0
2014-04-03,106.00,104.00,102.00,102.00,0.00,210.00,21780.00,0
2014-04-06,102.00,106.00,104.00,106.00,0.00,550.00,58000.00,0
2014-04-09,106.00,105.00,102.00,105.00,0.00,580.00,60130.00,0
2014-04-10,105.00,105.00,105.00,105.00,0.00,120.00,12600.00,0
2014-04-13,105.00,103.00,103.00,103.00,0.00,240.00,24720.00,0
2014-04-15,103.00,105.00,105.00,105.00,0.00,60.00,6300.00,0
2014-04-20,105.00,105.00,103.00,103.00,0.00,2020.00,211220.00,0
2014-04-21,103.00,105.00,105.00,105.00,0.00,30.00,3150.00,0
2014-04-22,105.00,106.00,106.00,106.00,0.00,110.00,11660.00,0
2014-04-23,106.00,108.00,105.00,108.00,0.00,450.00,47880.00,0
2014-04-27,108.00,110.00,106.00,106.00,0.00,700.00,75600.00,0
2014-04-28,106.00,107.00,105.00,105.00,0.00,380.00,40200.00,0
2014-04-29,105.00,108.00,105.00,106.00,0.00,260.00,27710.00,0
2014-04-30,106.00,106.00,106.00,106.00,0.00,40.00,4240.00,0
2014-05-05,106.00,106.00,105.00,106.00,0.00,180.00,19020.00,0
2014-05-06,106.00,108.00,106.00,108.00,0.00,1600.00,171600.00,0
2014-05-07,108.00,109.00,107.00,109.00,0.00,750.00,81630.00,0
2014-05-11,109.00,107.00,107.00,107.00,0.00,390.00,41730.00,0
2014-05-13,107.00,105.00,101.00,105.00,0.00,840.00,86460.00,0
2014-05-18,105.00,103.00,100.00,100.00,0.00,1100.00,110330.00,0
2014-05-20,100.00,100.00,99.00,100.00,0.00,850.00,84960.00,0
2014-05-21,100.00,102.00,102.00,102.00,0.00,40.00,4080.00,0
2014-05-22,102.00,112.00,104.00,112.00,0.00,1250.00,139180.00,0
2014-05-25,112.00,118.00,112.00,112.00,0.00,7870.00,898800.00,0
2014-05-26,112.00,113.00,107.00,107.00,0.00,2320.00,259810.00,0
2014-05-27,107.00,106.00,101.00,105.00,0.00,3890.00,403130.00,0
2014-05-28,105.00,107.00,103.00,104.00,0.00,2640.00,280690.00,0
2014-06-01,104.00,114.00,106.00,114.00,0.00,2790.00,314400.00,0
2014-06-02,114.00,119.00,116.00,119.00,0.00,1370.00,160400.00,0
2014-06-03,119.00,123.00,121.00,122.00,0.00,970.00,118270.00,0
2014-06-04,122.00,124.00,120.00,122.00,0.00,1450.00,177240.00,0
2014-06-05,122.00,120.00,120.00,120.00,0.00,120.00,14400.00,0
2014-06-08,120.00,124.00,120.00,124.00,0.00,370.00,45200.00,0
2014-06-09,124.00,122.00,122.00,122.00,0.00,770.00,93940.00,0
2014-06-10,122.00,120.00,120.00,120.00,0.00,1540.00,184800.00,0
2014-06-11,120.00,120.00,116.00,120.00,0.00,1210.00,142620.00,0
