published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2025-12-08,1255.4,1297.0,1255.4,1275.0,1.56,24023.0,30812349.4,1
2025-12-09,1270.0,1305.0,1270.0,1294.0,1.89,19989.0,25869492.4,1
2025-12-10,1280.0,1315.0,1276.3,1295.0,1.17,10910.0,14143580.0,1
2025-12-11,1295.0,1309.0,1268.0,1270.0,-1.93,8814.0,11293584.3,-1
2025-12-14,1255.0,1319.0,1235.0,1238.0,-1.35,17195.0,21666081.2,-1
2025-12-15,1249.9,1287.9,1221.0,1241.1,-0.7,13421.0,16690397.5,-1
2025-12-16,1265.9,1289.0,1228.0,1258.9,-0.55,8504.0,10643744.0,-1
2025-12-17,1255.0,1279.0,1242.0,1242.0,-1.04,9939.0,12442578.1,-1
2025-12-18,1234.1,1249.0,1228.0,1228.0,-0.49,9060.0,11184746.1,-1
2025-12-21,1220.0,1230.0,1195.0,1214.0,-0.49,11718.0,14140257.8,-1
2025-12-22,1201.0,1214.9,1191.4,1198.0,-0.25,8009.0,9606826.4,-1
2025-12-23,1215.0,1246.0,1181.0,1219.0,0.33,6983.0,8394248.5,1
2025-12-24,1211.0,1218.0,1196.6,1218.0,0.58,4903.0,5895791.3,1
2025-12-28,1212.0,1229.0,1200.0,1229.0,1.4,5210.0,6308312.0,1
2025-12-29,1229.0,1229.0,1205.0,1205.0,-1.95,6814.0,8262807.2,-1
2025-12-31,1205.0,1220.0,1200.5,1219.5,1.2,6880.0,8323447.0,1
2026-01-01,1202.1,1222.0,1196.0,1197.0,-0.42,7083.0,8545388.6,-1
2026-01-04,1197.0,1228.0,1181.1,1225.0,2.34,15078.0,18172284.0,1
2026-01-05,1220.0,1275.0,1215.0,1274.0,4.43,36693.0,46159073.9,1
2026-01-06,1275.1,1297.0,1252.0,1252.0,-1.81,21383.0,27330660.3,-1
2026-01-07,1251.0,1270.0,1230.0,1247.7,-0.26,19756.0,24756182.6,-1
2026-01-08,1230.0,1240.0,1221.1,1226.0,-0.33,9157.0,11263204.2,-1
2026-01-12,1218.0,1252.9,1216.0,1240.0,1.81,20400.0,25270360.0,1
2026-01-13,1250.0,1257.9,1227.0,1235.0,-1.2,13639.0,16940576.3,-1
2026-01-14,1228.0,1284.8,1222.0,1230.9,0.24,10168.0,12524322.1,1
2026-01-18,1225.0,1259.9,1223.3,1250.0,2.04,15011.0,18696816.3,1
2026-01-20,1250.0,1295.0,1250.0,1290.0,3.2,27780.0,35597334.5,1
2026-01-21,1264.2,1341.3,1264.2,1305.0,3.23,35025.0,45685007.3,1
2026-01-22,1309.0,1362.0,1307.0,1360.0,3.9,50958.0,68036723.8,1
2026-01-25,1333.0,1496.0,1333.0,1495.0,12.15,81679.0,118477911.1,1
2026-01-26,1495.0,1520.0,1440.0,1490.0,-0.33,81257.0,120567331.8,-1
2026-01-27,1465.0,1566.0,1382.0,1490.0,1.71,72463.0,108218609.0,1
2026-01-28,1519.8,1519.8,1426.0,1485.0,-2.29,65991.0,96097510.5,-1
2026-01-29,1499.0,1515.0,1422.0,1450.0,-3.27,66852.0,98900277.6,-1
