published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2025-12-08,1509.2,1562.0,1501.1,1517.1,0.52,1376.0,2102639.8,1
2025-12-09,1486.8,1546.0,1486.8,1520.0,2.23,1132.0,1738578.3,1
2025-12-10,1520.0,1525.0,1500.0,1510.0,-0.66,3775.0,5691707.0,-1
2025-12-11,1479.8,1539.0,1479.8,1519.0,2.65,2961.0,4447450.6,1
2025-12-14,1519.0,1524.0,1462.0,1479.9,-2.57,3733.0,5543539.8,-1
2025-12-15,1490.0,1500.0,1471.2,1471.2,-1.26,1378.0,2041450.0,-1
2025-12-16,1466.2,1507.0,1466.0,1495.0,1.96,3549.0,5253682.4,1
2025-12-17,1495.0,1505.0,1481.0,1499.0,0.27,794.0,1185093.9,1
2025-12-18,1469.1,1579.0,1469.1,1572.0,7.0,8000.0,12195588.7,1
2025-12-21,1540.6,1598.0,1509.2,1570.0,1.91,6728.0,10443511.1,1
