published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2025-12-08,867.0,873.0,865.0,865.0,-0.23,13225.0,11490911.6,-1
2025-12-09,870.0,874.0,865.8,865.8,-0.48,5883.0,5111482.6,-1
2025-12-10,874.5,874.5,865.2,868.3,-0.71,7628.0,6628357.3,-1
2025-12-11,870.0,875.0,865.0,874.0,0.46,12213.0,10624647.2,1
2025-12-14,871.0,876.0,863.0,875.0,0.46,13366.0,11632270.3,1
2025-12-15,874.0,874.4,865.0,874.4,0.05,7066.0,6149295.1,1
2025-12-16,882.0,882.0,871.0,877.1,-0.56,8687.0,7619385.5,-1
2025-12-17,880.0,890.0,878.1,880.0,0.0,5539.0,4873669.7,0
2025-12-18,880.0,880.0,865.0,865.0,-1.7,21454.0,18644708.9,-1
2025-12-21,862.4,873.0,855.6,872.0,1.11,9241.0,7995825.6,1
2025-12-22,867.1,875.0,859.0,870.0,0.33,7284.0,6344891.0,1
2025-12-23,861.0,875.0,856.1,871.0,1.16,8350.0,7229254.1,1
2025-12-24,865.0,881.0,865.0,870.0,0.58,5464.0,4766167.7,1
2025-12-28,878.0,882.0,875.0,878.5,0.06,13108.0,11514116.1,1
2025-12-29,885.0,889.9,879.9,880.0,-0.56,27576.0,24298066.8,-1
2025-12-31,800.0,806.7,800.0,803.9,0.49,6718.0,5400716.6,1
2026-01-01,801.0,804.5,799.0,800.0,-0.12,6182.0,4950891.1,-1
2026-01-04,804.0,804.0,794.5,797.4,-0.82,4120.0,3283941.4,-1
2026-01-05,797.4,802.9,797.2,802.9,0.69,6216.0,4962714.6,1
2026-01-06,802.9,810.0,800.0,804.5,0.2,8959.0,7217041.7,1
2026-01-07,820.0,820.0,805.0,815.0,-0.61,11876.0,9661137.2,-1
2026-01-08,807.0,819.0,806.1,818.8,1.46,9117.0,7441963.0,1
2026-01-12,806.2,826.0,806.0,822.1,1.97,9766.0,8029536.9,1
2026-01-13,832.0,832.0,818.2,820.0,-1.44,3440.0,2823781.4,-1
2026-01-14,819.1,829.5,819.1,826.0,0.84,3227.0,2655531.9,1
