published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2017-03-07,235.00,236.00,231.00,234.00,0.00,147.00,34340.00,0
2017-03-09,234.00,235.00,226.00,235.00,0.00,460.00,105392.00,0
2017-03-13,235.00,239.00,236.00,239.00,0.00,108.00,25581.00,0
2017-03-14,239.00,239.00,235.00,239.00,0.00,62.00,14634.00,0
2017-03-15,239.00,239.00,234.00,239.00,0.00,161.00,38280.00,0
2017-03-16,239.00,246.00,240.00,246.00,0.00,61.00,14782.00,0
2017-03-19,246.00,255.00,246.00,246.00,0.00,1084.00,267094.00,0
2017-03-20,246.00,250.00,249.00,250.00,0.00,30.00,7490.00,0
2017-03-21,250.00,265.00,244.00,245.00,0.00,951.00,238900.00,0
2017-03-22,245.00,241.00,241.00,241.00,0.00,200.00,48200.00,0
2017-03-23,241.00,237.00,229.00,234.00,0.00,1064.00,246161.00,0
2017-03-26,234.00,242.00,234.00,238.00,0.00,1426.00,339113.00,0
2017-03-28,238.00,249.00,242.00,249.00,0.00,2809.00,687631.00,0
2017-03-29,249.00,254.00,247.00,247.00,0.00,855.00,214749.00,0
2017-03-30,247.00,245.00,241.00,242.00,0.00,150.00,36590.00,0
2017-04-02,242.00,240.00,240.00,240.00,0.00,10.00,2400.00,0
2017-04-03,240.00,244.00,240.00,240.00,0.00,30.00,7280.00,0
2017-04-04,240.00,240.00,230.00,235.00,0.00,271.00,63777.00,0
2017-04-06,235.00,235.00,230.00,230.00,0.00,105.00,24293.00,0
2017-04-09,230.00,236.00,231.00,235.00,0.00,353.00,82716.00,0
2017-04-10,235.00,239.00,235.00,239.00,0.00,172.00,40636.00,0
2017-04-11,239.00,239.00,239.00,239.00,0.00,10.00,2390.00,0
2017-04-12,239.00,240.00,235.00,240.00,0.00,328.00,78213.00,0
2017-04-16,240.00,240.00,236.00,237.00,0.00,169.00,40201.00,0
2017-04-18,237.00,248.00,237.00,244.00,0.00,583.00,141752.00,0
2017-04-19,244.00,248.00,240.00,244.00,0.00,153.00,37164.00,0
2017-04-20,244.00,240.00,240.00,240.00,0.00,86.00,20640.00,0
2017-04-24,240.00,239.00,223.00,223.00,0.00,107.00,24581.00,0
2017-04-25,223.00,230.00,223.00,230.00,0.00,569.00,129806.00,0
2017-04-26,230.00,234.00,228.00,234.00,0.00,266.00,61012.00,0
2017-04-27,234.00,234.00,227.00,230.00,0.00,103.00,23704.00,0
2017-04-30,230.00,235.00,230.00,231.00,0.00,270.00,62769.00,0
2017-05-02,231.00,229.00,220.00,224.00,0.00,495.00,111353.00,0
2017-05-03,224.00,227.00,221.00,227.00,0.00,116.00,26022.00,0
2017-05-04,227.00,225.00,217.00,221.00,0.00,218.00,48129.00,0
2017-05-07,221.00,220.00,216.00,216.00,0.00,183.00,39701.00,0
2017-05-08,216.00,220.00,214.00,220.00,0.00,1160.00,254780.00,0
2017-05-09,220.00,233.00,224.00,226.00,0.00,1493.00,345353.00,0
2017-05-11,226.00,248.00,227.00,248.00,0.00,1479.00,348101.00,0
2017-05-15,248.00,270.00,247.00,268.00,0.00,2306.00,586442.00,0
2017-05-16,268.00,271.00,250.00,250.00,0.00,746.00,196060.00,0
2017-05-17,250.00,252.00,250.00,250.00,0.00,343.00,86087.00,0
2017-05-18,250.00,245.00,233.00,233.00,0.00,548.00,132539.00,0
2017-05-21,233.00,237.00,231.00,232.00,0.00,210.00,48924.00,0
2017-05-22,232.00,232.00,220.00,225.00,0.00,178.00,40204.00,0
2017-05-23,225.00,229.00,224.00,229.00,0.00,136.00,30742.00,0
2017-05-24,229.00,229.00,225.00,225.00,0.00,105.00,23750.00,0
2017-05-28,225.00,229.00,221.00,229.00,0.00,791.00,176224.00,0
2017-05-30,229.00,225.00,218.00,222.00,0.00,185.00,40958.00,0
2017-05-31,222.00,224.00,220.00,224.00,0.00,115.00,25350.00,0
2017-06-01,224.00,224.00,221.00,222.00,0.00,161.00,35894.00,0
2017-06-04,222.00,224.00,220.00,222.00,0.00,136.00,30222.00,0
2017-06-05,222.00,227.00,219.00,225.00,0.00,563.00,126752.00,0
2017-06-06,225.00,225.00,222.00,225.00,0.00,53.00,11870.00,0
2017-06-07,225.00,231.00,224.00,225.00,0.00,949.00,215308.00,0
2017-06-08,225.00,225.00,223.00,223.00,0.00,272.00,60775.00,0
2017-06-11,223.00,223.00,220.00,222.00,0.00,350.00,77693.00,0
2017-06-12,222.00,221.00,213.00,218.00,0.00,210.00,45924.00,0
2017-06-13,218.00,226.00,218.00,221.00,0.00,708.00,156292.00,0
2017-06-14,221.00,232.00,216.00,220.00,0.00,203.00,45426.00,0
2017-06-15,220.00,222.00,216.00,222.00,0.00,501.00,110797.00,0
2017-06-18,222.00,219.00,217.00,217.00,0.00,184.00,39948.00,0
2017-06-19,217.00,224.00,215.00,218.00,0.00,422.00,93404.00,0
2017-06-20,218.00,220.00,215.00,220.00,0.00,107.00,23261.00,0
2017-06-21,220.00,226.00,220.00,220.00,0.00,250.00,55649.00,0
2017-06-22,220.00,224.00,216.00,224.00,0.00,105.00,23024.00,0
2017-06-25,224.00,220.00,216.00,220.00,0.00,50.00,10960.00,0
2017-06-27,220.00,223.00,215.00,215.00,0.00,141.00,30959.00,0
2017-06-28,215.00,215.00,211.00,214.00,0.00,85.00,18129.00,0
2017-07-02,214.00,215.00,214.00,215.00,0.00,106.00,22695.00,0
2017-07-03,215.00,214.00,210.00,210.00,0.00,93.00,19640.00,0
2017-07-04,210.00,215.00,211.00,215.00,0.00,184.00,39034.00,0
2017-07-05,215.00,219.00,211.00,211.00,0.00,52.00,11246.00,0
2017-07-06,211.00,210.00,206.00,206.00,0.00,300.00,61888.00,0
2017-07-09,206.00,210.00,204.00,204.00,0.00,121.00,24814.00,0
2017-07-10,204.00,207.00,200.00,207.00,0.00,31.00,6317.00,0
2017-07-11,207.00,210.00,206.00,208.00,0.00,141.00,29394.00,0
2017-07-12,208.00,210.00,204.00,207.00,0.00,235.00,48316.00,0
2017-07-13,207.00,226.00,202.00,226.00,0.00,475.00,98467.00,0
2017-07-16,226.00,224.00,210.00,210.00,0.00,280.00,61636.00,0
2017-07-17,210.00,210.00,202.00,205.00,0.00,229.00,46896.00,0
2017-07-18,205.00,208.00,204.00,205.00,0.00,136.00,27924.00,0
2017-07-19,205.00,210.00,206.00,210.00,0.00,183.00,38192.00,0
2017-07-20,210.00,214.00,202.00,207.00,0.00,359.00,74648.00,0
2017-07-23,207.00,207.00,200.00,207.00,0.00,168.00,34366.00,0
2017-07-24,207.00,204.00,203.00,204.00,0.00,283.00,57630.00,0
2017-07-25,204.00,205.00,202.00,204.00,0.00,131.00,26636.00,0
2017-07-26,204.00,205.00,201.00,201.00,0.00,172.00,34863.00,0
2017-07-27,201.00,200.00,200.00,200.00,0.00,72.00,14400.00,0
2017-07-30,200.00,208.00,200.00,204.00,0.00,168.00,34352.00,0
2017-07-31,204.00,205.00,196.00,200.00,0.00,268.00,54117.00,0
2017-08-01,200.00,204.00,200.00,202.00,0.00,266.00,53591.00,0
2017-08-02,202.00,204.00,199.00,201.00,0.00,362.00,72764.00,0
2017-08-03,201.00,200.00,197.00,200.00,0.00,229.00,45592.00,0
2017-08-06,200.00,199.00,195.00,196.00,0.00,266.00,52346.00,0
2017-08-07,196.00,201.00,195.00,195.00,0.00,684.00,136307.00,0
2017-08-09,195.00,198.00,194.00,194.00,0.00,309.00,60184.00,0
2017-08-10,194.00,194.00,191.00,194.00,0.00,365.00,70508.00,0
2017-08-13,194.00,197.00,191.00,191.00,0.00,125.00,24284.00,0
2017-08-15,191.00,188.00,183.00,183.00,0.00,162.00,30195.00,0
2017-08-16,183.00,189.00,184.00,189.00,0.00,309.00,57546.00,0
2017-08-17,189.00,186.00,182.00,182.00,0.00,415.00,76403.00,0
2017-08-20,182.00,179.00,171.00,175.00,0.00,205.00,35898.00,0
2017-08-21,175.00,175.00,172.00,172.00,0.00,620.00,106900.00,0
2017-08-22,172.00,175.00,169.00,175.00,0.00,227.00,38957.00,0
2017-08-23,175.00,172.00,166.00,171.00,0.00,1057.00,180926.00,0
2017-08-24,171.00,174.00,170.00,172.00,0.00,280.00,48031.00,0
2017-08-27,172.00,173.00,167.00,173.00,0.00,525.00,89174.00,0
2017-08-28,173.00,172.00,167.00,169.00,0.00,181.00,30699.00,0
2017-08-30,169.00,171.00,165.00,171.00,0.00,354.00,59621.00,0
2017-08-31,171.00,170.00,164.00,164.00,0.00,1125.00,188616.00,0
2017-09-04,164.00,161.00,158.00,161.00,0.00,92.00,14692.00,0
2017-09-06,161.00,163.00,160.00,160.00,0.00,280.00,45255.00,0
2017-09-07,160.00,162.00,158.00,160.00,0.00,791.00,126667.00,0
2017-09-10,160.00,163.00,160.00,160.00,0.00,20.00,3230.00,0
2017-09-11,160.00,159.00,159.00,159.00,0.00,20.00,3180.00,0
2017-09-12,159.00,156.00,154.00,154.00,0.00,40.00,6200.00,0
2017-09-13,154.00,155.00,155.00,155.00,0.00,73.00,11315.00,0
2017-09-14,155.00,156.00,153.00,155.00,0.00,76.00,11747.00,0
