published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2025-12-08,1320.1,1340.0,1320.1,1325.0,0.37,444.0,592432.0,1
2025-12-09,1330.0,1354.0,1330.0,1354.0,1.8,1950.0,2622013.9,1
2025-12-10,1336.0,1368.0,1325.0,1350.0,1.05,2498.0,3358704.0,1
2025-12-11,1327.2,1340.0,1327.2,1331.0,0.29,535.0,712556.3,1
2025-12-14,1320.0,1350.0,1320.0,1338.0,1.36,673.0,900798.6,1
2025-12-15,1338.0,1340.0,1315.0,1338.0,0.0,861.0,1145049.4,0
2025-12-16,1338.0,1350.0,1323.0,1340.0,0.15,188.0,249372.0,1
2025-12-17,1362.0,1362.0,1335.0,1335.0,-1.98,1249.0,1678546.6,-1
2025-12-18,1360.0,1361.7,1327.0,1345.0,-1.1,698.0,936309.8,-1
2025-12-21,1327.0,1345.0,1296.0,1340.0,0.98,418.0,550660.0,1
2025-12-22,1316.0,1320.0,1300.0,1320.0,0.3,987.0,1294264.2,1
2025-12-23,1300.1,1329.9,1294.0,1329.9,2.29,663.0,862906.5,1
2025-12-24,1310.0,1315.0,1305.0,1313.0,0.23,185.0,242218.2,1
2025-12-28,1338.0,1339.2,1303.0,1325.0,-0.97,1884.0,2501201.0,-1
2025-12-29,1351.0,1351.5,1304.3,1340.0,-0.81,952.0,1259922.4,-1
2025-12-31,1349.0,1349.0,1310.1,1339.0,-0.74,672.0,887834.8,-1
2026-01-01,1339.0,1339.0,1314.2,1314.2,-1.85,974.0,1280926.6,-1
2026-01-04,1320.0,1320.0,1300.0,1315.0,-0.38,1201.0,1570097.1,-1
2026-01-05,1290.0,1339.8,1290.0,1339.8,3.86,487.0,638325.2,1
2026-01-06,1314.0,1347.0,1314.0,1327.0,0.99,341.0,453627.0,1
2026-01-07,1322.2,1337.0,1305.2,1337.0,1.12,572.0,754969.4,1
2026-01-08,1335.0,1335.0,1315.1,1321.0,-1.05,267.0,351732.7,-1
2026-01-12,1300.0,1326.0,1300.0,1313.0,1.0,328.0,431488.0,1
2026-01-13,1292.1,1310.0,1292.0,1300.1,0.62,584.0,756374.8,1
2026-01-14,1300.1,1308.9,1296.0,1308.9,0.68,477.0,619009.4,1
2026-01-18,1335.0,1386.0,1309.0,1347.0,0.9,1204.0,1610547.2,1
2026-01-20,1355.0,1400.0,1350.0,1378.0,1.7,1009.0,1380392.8,1
2026-01-21,1350.5,1400.0,1327.0,1359.9,0.7,856.0,1156932.6,1
2026-01-22,1333.0,1356.6,1330.0,1356.6,1.77,1115.0,1492292.6,1
