published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2025-12-08,515.0,540.6,514.0,530.3,2.97,7723.0,4086107.2,1
2025-12-09,522.1,541.0,522.1,541.0,3.62,8570.0,4609898.0,1
2025-12-10,544.0,544.0,525.0,530.0,-2.57,3887.0,2054679.2,-1
2025-12-11,520.3,530.0,518.0,519.2,-0.21,3239.0,1689545.3,-1
2025-12-14,508.9,525.0,508.9,519.0,1.98,4376.0,2265305.5,1
2025-12-15,509.0,523.0,509.0,521.9,2.53,1975.0,1023448.2,1
2025-12-16,511.5,529.0,511.5,528.3,3.28,3609.0,1896170.8,1
2025-12-17,517.8,539.9,517.8,528.5,2.07,6881.0,3640203.9,1
2025-12-18,518.0,527.9,518.0,520.0,0.39,6182.0,3227481.2,1
2025-12-21,520.0,520.0,512.0,515.0,-0.96,4335.0,2227621.5,-1
2025-12-22,508.0,518.1,508.0,510.5,0.49,1602.0,817678.2,1
2025-12-23,507.0,547.0,505.0,517.0,1.97,2666.0,1373813.1,1
2025-12-24,527.3,527.3,510.3,512.5,-2.81,1402.0,718907.5,-1
2025-12-28,522.7,523.0,512.3,518.2,-0.86,2214.0,1145129.4,-1
2025-12-29,518.2,521.7,515.0,518.5,0.06,3426.0,1766969.8,1
2025-12-31,515.0,528.8,510.0,514.7,-0.06,11231.0,5791549.6,-1
2026-01-01,510.0,517.8,508.0,508.0,-0.39,8219.0,4193759.0,-1
2026-01-04,500.0,517.9,500.0,508.0,1.6,6924.0,3503157.5,1
2026-01-05,500.0,517.8,500.0,513.3,2.66,7932.0,4040484.2,1
2026-01-06,519.8,519.8,510.0,513.0,-1.31,5668.0,2910085.4,-1
2026-01-07,512.0,512.9,507.0,511.9,-0.02,2520.0,1282924.1,-1
2026-01-08,507.0,510.0,503.0,509.9,0.57,4901.0,2480950.8,1
2026-01-12,503.2,515.9,503.2,507.7,0.89,3830.0,1943283.3,1
2026-01-13,500.0,510.0,500.0,508.0,1.6,4546.0,2312584.0,1
2026-01-14,510.0,512.0,500.6,511.8,0.35,3853.0,1963777.0,1
2026-01-18,502.1,514.0,502.1,509.0,1.37,5081.0,2581199.6,1
2026-01-20,514.0,519.0,511.5,518.0,0.78,16076.0,8278551.3,1
