published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2025-12-08,258.3,272.5,254.8,262.0,1.43,98596.0,25912547.3,1
2025-12-09,267.2,267.7,257.7,263.8,-1.27,62052.0,16344496.6,-1
2025-12-10,265.0,266.9,260.0,260.0,-1.89,74705.0,19543408.4,-1
2025-12-11,260.0,266.0,257.0,260.2,0.08,64318.0,16870197.3,1
2025-12-14,255.0,264.9,255.0,259.0,1.57,55893.0,14551465.8,1
2025-12-15,259.0,263.1,258.0,258.0,-0.39,81611.0,21286210.3,-1
2025-12-16,259.9,262.9,257.1,259.0,-0.35,41421.0,10759852.7,-1
2025-12-17,264.0,264.0,258.2,259.0,-1.89,44748.0,11610467.0,-1
2025-12-18,259.0,260.0,253.2,255.1,-1.51,50957.0,13074296.7,-1
2025-12-21,250.2,256.1,250.0,250.0,-0.08,81751.0,20585947.5,-1
2025-12-22,248.1,252.0,248.1,249.2,0.44,45071.0,11298289.8,1
2025-12-23,246.0,252.0,246.0,248.0,0.81,32423.0,8047374.2,1
2025-12-24,248.0,250.4,247.0,248.1,0.04,25540.0,6358087.5,1
2025-12-28,250.0,254.5,248.3,252.2,0.88,85068.0,21464811.0,1
2025-12-29,251.0,256.0,250.1,251.1,0.04,59036.0,14919454.4,1
2025-12-31,254.9,262.0,250.7,260.0,2.0,120832.0,30933345.4,1
2026-01-01,264.0,264.9,254.0,254.5,-3.6,61452.0,15778413.9,-1
2026-01-04,251.1,257.0,251.0,251.5,0.16,37782.0,9526305.0,1
2026-01-05,253.8,255.3,250.0,255.0,0.47,49131.0,12478473.8,1
2026-01-06,255.0,258.0,252.0,254.2,-0.31,71900.0,18329699.4,-1
2026-01-07,252.0,255.9,250.0,253.0,0.4,77718.0,19584555.2,1
2026-01-08,251.0,255.0,251.0,254.3,1.31,43541.0,11014421.1,1
2026-01-12,256.0,258.0,253.3,256.0,0.0,90257.0,23027802.8,0
2026-01-13,260.0,281.6,251.7,280.0,7.69,940424.0,258260448.0,1
2026-01-14,285.6,296.9,280.0,284.9,-0.25,671118.0,193032472.4,-1
2026-01-18,286.0,293.0,283.0,288.7,0.94,468780.0,135155586.6,1
2026-01-20,292.0,304.0,289.1,295.0,1.03,611613.0,180879545.7,1
2026-01-21,297.0,301.0,283.3,285.4,-3.91,397873.0,115422591.3,-1
2026-01-22,286.0,293.7,285.3,289.1,1.08,247766.0,71682212.0,1
2026-01-25,290.0,301.0,290.0,294.0,1.38,400516.0,118982863.8,1
2026-01-26,295.0,298.0,289.2,292.6,-0.81,302877.0,88350418.6,-1
2026-01-27,290.0,294.7,280.0,283.9,-2.1,282244.0,81183495.5,-1
2026-01-28,283.9,286.5,279.2,282.0,-0.67,293769.0,82933856.5,-1
2026-01-29,287.0,297.0,281.0,284.0,-1.05,369230.0,107570179.8,-1
2026-02-01,289.0,290.0,279.0,280.0,-3.11,169135.0,47813680.2,-1
2026-02-02,281.2,285.5,278.5,281.9,0.25,123872.0,34743592.9,1
2026-02-03,285.0,287.3,275.1,280.0,-1.75,145007.0,40515637.4,-1
2026-02-04,280.0,284.3,275.0,276.0,-1.43,105542.0,29379672.2,-1
2026-02-05,270.5,292.5,270.5,287.0,6.1,268989.0,76957468.7,1
