published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2025-12-08,1178.0,1209.5,1178.0,1209.5,2.67,375.0,450975.0,1
2025-12-11,1209.5,1209.5,1209.5,1200.0,-0.79,5.0,6000.0,-1
2025-12-14,1200.0,1200.0,1200.0,1200.0,0.0,170.0,204000.0,0
2025-12-15,1200.0,1204.9,1200.0,1204.9,0.41,311.0,374056.6,1
2025-12-16,1204.9,1205.0,1200.0,1203.0,-0.16,122.0,146755.0,-1
2025-12-17,1200.0,1200.0,1200.0,1200.0,0.0,35.0,42000.0,0
2025-12-21,1219.0,1244.0,1219.0,1244.0,2.05,750.0,927075.0,1
2025-12-22,1244.0,1244.0,1244.0,1244.0,0.0,77.0,95620.0,0
2025-12-23,1220.0,1250.0,1220.0,1250.0,2.46,110.0,136540.0,1
2025-12-28,1225.0,1245.0,1225.0,1245.0,1.63,50.0,61750.0,1
2026-01-06,1221.0,1221.0,1221.0,1221.0,0.0,25.0,30525.0,0
2026-01-08,1221.0,1221.0,1221.0,1221.0,0.0,175.0,213675.0,0
2026-01-12,1221.0,1221.0,1221.0,1221.0,0.0,100.0,122100.0,0
2026-01-13,1240.0,1240.0,1240.0,1240.0,0.0,25.0,31000.0,0
2026-01-14,1225.0,1225.0,1225.0,1225.0,0.0,50.0,61250.0,0
2026-01-25,1225.0,1225.0,1154.0,1154.0,-5.8,1088.0,1278907.5,-1
2026-01-28,1141.0,1141.0,1140.0,1140.0,-0.09,225.0,256525.0,-1
2026-02-01,1140.0,1150.0,1140.0,1173.0,2.89,182.0,208073.0,1
2026-02-02,1185.0,1200.0,1185.0,1200.0,1.27,250.0,299425.0,1
2026-02-05,1180.0,1180.0,1180.0,1180.0,0.0,75.0,88500.0,0
2026-02-08,1195.0,1198.0,1195.0,1198.0,0.25,40.0,47845.0,1
2026-02-09,1180.0,1180.0,1180.0,1180.0,0.0,25.0,29500.0,0
2026-02-11,1175.0,1175.0,1170.0,1170.0,-0.43,425.0,498375.0,-1
2026-02-16,1150.0,1150.0,1150.0,1147.0,-0.26,56.0,64382.0,-1
2026-02-22,1166.0,1166.0,1165.0,1165.0,-0.09,75.0,87400.0,-1
2026-02-24,1155.0,1155.0,1155.0,1155.0,0.0,25.0,28875.0,0
