published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2008-06-11,693.00,680.00,680.00,680.00,0.00,200.00,0.00,0
2008-06-17,680.00,693.00,693.00,693.00,0.00,20.00,0.00,0
2008-06-18,693.00,725.00,706.00,725.00,0.00,190.00,0.00,0
2008-06-30,725.00,797.00,739.00,797.00,0.00,200.00,0.00,0
2008-07-02,797.00,828.00,812.00,828.00,0.00,20.00,0.00,0
2008-07-03,828.00,844.00,844.00,844.00,0.00,10.00,0.00,0
2008-07-06,844.00,840.00,840.00,840.00,0.00,1270.00,0.00,0
2008-07-07,840.00,856.00,856.00,856.00,0.00,20.00,0.00,0
2008-07-10,856.00,839.00,823.00,823.00,0.00,120.00,0.00,0
2008-07-17,823.00,850.00,839.00,850.00,0.00,140.00,0.00,0
2008-07-22,850.00,833.00,817.00,817.00,0.00,130.00,0.00,0
2008-07-23,817.00,812.00,806.00,812.00,0.00,140.00,0.00,0
2008-07-27,812.00,816.00,800.00,816.00,0.00,240.00,0.00,0
2008-07-30,816.00,821.00,821.00,821.00,0.00,10.00,0.00,0
2008-07-31,821.00,840.00,830.00,840.00,0.00,50.00,0.00,0
2008-08-05,840.00,856.00,856.00,856.00,0.00,30.00,0.00,0
2008-08-10,856.00,856.00,856.00,856.00,0.00,100.00,0.00,0
2008-08-11,856.00,873.00,873.00,873.00,0.00,150.00,0.00,0
2008-08-12,873.00,874.00,874.00,874.00,0.00,330.00,0.00,0
2008-08-13,874.00,908.00,891.00,908.00,0.00,40.00,0.00,0
2008-08-19,908.00,926.00,926.00,926.00,0.00,380.00,0.00,0
2008-08-25,926.00,920.00,910.00,918.00,0.00,440.00,0.00,0
2008-08-31,918.00,938.00,920.00,938.00,0.00,240.00,0.00,0
2008-09-03,938.00,956.00,956.00,956.00,0.00,210.00,0.00,0
2008-09-08,956.00,977.00,975.00,977.00,0.00,120.00,0.00,0
2008-09-09,977.00,980.00,980.00,980.00,0.00,50.00,0.00,0
2008-09-10,980.00,984.00,965.00,984.00,0.00,170.00,0.00,0
2008-09-11,984.00,1023.00,1003.00,1023.00,0.00,120.00,0.00,0
2008-09-15,1023.00,1043.00,1043.00,1043.00,0.00,40.00,0.00,0
2008-09-16,1043.00,1064.00,1063.00,1064.00,0.00,20.00,0.00,0
2008-09-18,1064.00,1100.00,1085.00,1100.00,0.00,170.00,0.00,0
2008-09-23,1100.00,1122.00,1100.00,1110.00,0.00,180.00,0.00,0
2008-09-24,1110.00,1154.00,1110.00,1154.00,0.00,30.00,0.00,0
2008-10-01,1154.00,1177.00,1177.00,1177.00,0.00,260.00,0.00,0
2008-10-27,1177.00,1160.00,1160.00,1160.00,0.00,220.00,0.00,0
2008-11-03,1160.00,1160.00,1145.00,1145.00,0.00,190.00,0.00,0
2008-11-06,1145.00,1145.00,1123.00,1130.00,0.00,190.00,0.00,0
2008-11-09,1130.00,1130.00,1130.00,1130.00,0.00,130.00,0.00,0
2008-11-11,1130.00,1130.00,1130.00,1130.00,0.00,100.00,0.00,0
2008-11-16,1130.00,1186.00,1186.00,1186.00,0.00,210.00,0.00,0
2008-11-17,1186.00,1165.00,1165.00,1165.00,0.00,20.00,0.00,0
2008-11-19,1165.00,1142.00,1140.00,1140.00,0.00,130.00,0.00,0
2008-11-20,1140.00,1120.00,1120.00,1120.00,0.00,30.00,0.00,0
2008-12-03,1120.00,1115.00,1093.00,1093.00,0.00,100.00,0.00,0
2008-12-04,1093.00,1196.00,1114.00,1177.00,0.00,760.00,0.00,0
2008-12-07,1177.00,1225.00,1200.00,1225.00,0.00,90.00,0.00,0
2008-12-08,1225.00,1347.00,1249.00,1347.00,0.00,970.00,0.00,0
2008-12-10,1347.00,1380.00,1350.00,1380.00,0.00,350.00,0.00,0
2008-12-11,1380.00,1380.00,1375.00,1380.00,0.00,30.00,0.00,0
2008-12-16,1380.00,1353.00,1300.00,1305.00,0.00,390.00,0.00,0
2008-12-17,1305.00,1300.00,1205.00,1215.00,0.00,350.00,0.00,0
2008-12-18,1215.00,1200.00,1200.00,1200.00,0.00,60.00,0.00,0
2008-12-21,1200.00,1180.00,1180.00,1180.00,0.00,150.00,0.00,0
2008-12-22,1180.00,1210.00,1180.00,1190.00,0.00,640.00,0.00,0
2008-12-23,1190.00,1210.00,1210.00,1210.00,0.00,120.00,0.00,0
2008-12-24,1210.00,1200.00,1200.00,1200.00,0.00,110.00,0.00,0
2008-12-28,1200.00,1226.00,1220.00,1226.00,0.00,270.00,0.00,0
2009-01-05,1226.00,1250.00,1230.00,1250.00,0.00,40.00,0.00,0
2009-01-18,1250.00,1274.00,1274.00,1274.00,0.00,260.00,0.00,0
2009-01-20,1274.00,1249.00,1249.00,1249.00,0.00,10.00,0.00,0
2009-01-25,1249.00,1225.00,1154.00,1154.00,0.00,40.00,0.00,0
2009-01-26,1154.00,1131.00,1039.00,1060.00,0.00,230.00,0.00,0
2009-01-28,1060.00,1060.00,1040.00,1060.00,0.00,1130.00,0.00,0
2009-02-01,1060.00,1081.00,956.00,960.00,0.00,560.00,0.00,0
