published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2025-12-08,437.5,446.0,421.6,435.2,-0.53,102558.0,44085966.4,-1
2025-12-09,430.0,435.0,425.0,431.8,0.42,23128.0,9939899.1,1
2025-12-10,423.2,431.8,423.2,425.0,0.43,55130.0,23577703.4,1
2025-12-11,430.0,445.0,418.0,430.0,0.0,67481.0,28917775.4,0
2025-12-14,425.0,442.1,412.0,416.9,-1.91,88921.0,37420317.2,-1
2025-12-15,419.0,423.8,413.3,423.0,0.95,35834.0,14995089.3,1
2025-12-16,414.6,436.0,410.0,418.0,0.82,76803.0,31899943.6,1
2025-12-17,418.0,421.0,403.8,405.1,-3.09,78739.0,32198194.6,-1
2025-12-18,405.1,408.0,401.2,407.0,0.47,38908.0,15782100.8,1
2025-12-21,407.5,412.0,400.0,401.1,-1.57,30336.0,12287509.0,-1
2025-12-22,401.0,402.5,393.0,394.0,-1.75,45829.0,18134843.8,-1
2025-12-23,396.1,399.8,389.0,391.1,-1.26,42745.0,16732934.4,-1
2025-12-24,397.0,397.0,389.3,393.0,-1.01,14407.0,5643396.1,-1
2025-12-28,398.0,406.0,395.0,405.0,1.76,32204.0,12934055.8,1
2025-12-29,406.0,410.0,396.0,398.0,-1.97,24441.0,9805102.4,-1
2025-12-31,398.0,405.0,393.0,395.0,-0.75,36803.0,14684021.1,-1
2026-01-01,402.9,402.9,390.0,390.0,-3.2,36417.0,14283773.1,-1
2026-01-04,390.0,396.4,386.5,391.0,0.26,37968.0,14866799.8,1
2026-01-05,398.8,417.0,391.0,414.0,3.81,63398.0,25728289.6,1
2026-01-06,422.2,422.2,405.9,411.0,-2.65,43285.0,17868692.7,-1
2026-01-07,419.2,419.2,402.0,402.0,-4.1,29109.0,11857840.6,-1
2026-01-08,410.0,410.0,400.0,406.0,-0.98,32623.0,13191711.2,-1
2026-01-12,397.9,413.0,397.9,402.0,1.03,53976.0,21936532.2,1
2026-01-13,408.8,410.0,402.7,407.9,-0.22,39435.0,16026835.0,-1
