published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2025-12-08,1113.0,1113.0,1096.0,1108.8,-0.38,1434.0,1579156.7,-1
2025-12-09,1128.0,1128.0,1087.0,1096.0,-2.84,1997.0,2181980.1,-1
2025-12-10,1078.1,1090.0,1075.0,1077.0,-0.1,2079.0,2243473.1,-1
2025-12-11,1070.0,1090.0,1070.0,1085.0,1.4,1226.0,1326796.2,1
2025-12-14,1085.0,1089.5,1063.5,1075.0,-0.92,5865.0,6267114.1,-1
2025-12-15,1065.0,1086.0,1065.0,1079.0,1.31,1066.0,1141209.1,1
2025-12-16,1079.0,1089.9,1072.3,1089.0,0.93,1186.0,1281399.3,1
2025-12-17,1067.4,1099.0,1067.4,1098.9,2.95,2402.0,2617521.6,1
2025-12-18,1105.0,1105.0,1083.1,1095.0,-0.9,425.0,462691.3,-1
2025-12-21,1080.0,1088.0,1065.0,1087.9,0.73,1483.0,1591197.0,1
2025-12-22,1068.1,1080.0,1067.0,1080.0,1.11,676.0,722443.2,1
2025-12-23,1058.8,1078.0,1058.8,1070.0,1.06,3771.0,4017513.7,1
2025-12-24,1056.3,1075.0,1056.2,1068.0,1.11,1061.0,1129376.0,1
2025-12-28,1080.0,1080.0,1060.0,1078.0,-0.19,2399.0,2571203.2,-1
2025-12-29,1098.0,1098.0,1068.0,1081.0,-1.55,2892.0,3117270.4,-1
2025-12-31,1084.0,1087.0,1080.0,1087.0,0.28,1134.0,1229712.4,1
2026-01-01,1105.0,1105.0,1070.0,1084.1,-1.89,788.0,845771.1,-1
2026-01-04,1070.0,1089.9,1070.0,1080.0,0.93,1164.0,1253497.0,1
2026-01-05,1077.0,1085.0,1071.2,1084.0,0.65,1981.0,2132350.7,1
2026-01-06,1099.9,1099.9,1070.0,1083.0,-1.54,2313.0,2490199.8,-1
2026-01-07,1070.0,1090.0,1070.0,1081.0,1.03,953.0,1024467.7,1
2026-01-08,1065.0,1092.0,1065.0,1090.0,2.35,2847.0,3066103.2,1
2026-01-12,1095.0,1095.0,1076.0,1076.0,-1.74,725.0,786990.4,-1
2026-01-13,1070.0,1075.0,1057.2,1070.0,0.0,2746.0,2924558.0,0
2026-01-14,1063.0,1082.0,1062.0,1082.0,1.79,1922.0,2051433.1,1
2026-01-18,1094.0,1094.0,1076.0,1083.0,-1.01,1719.0,1860245.0,-1
2026-01-20,1104.6,1105.0,1085.0,1097.0,-0.69,5533.0,6087813.9,-1
2026-01-21,1088.1,1109.0,1088.0,1099.9,1.08,1639.0,1791509.6,1
2026-01-22,1099.9,1119.5,1094.7,1117.0,1.55,6138.0,6828962.6,1
2026-01-25,1134.0,1156.5,1115.0,1135.0,0.09,7254.0,8230972.8,1
2026-01-26,1115.0,1180.0,1115.0,1122.0,0.63,4265.0,4822204.7,1
2026-01-27,1118.0,1137.0,1098.1,1100.0,-1.61,5603.0,6183404.2,-1
2026-01-28,1085.2,1100.0,1085.2,1096.1,1.0,1507.0,1651360.0,1
2026-01-29,1095.0,1109.9,1085.0,1095.0,0.0,3660.0,3988666.0,0
2026-02-01,1095.0,1098.5,1074.1,1080.0,-1.37,2043.0,2206286.6,-1
2026-02-02,1080.0,1089.9,1071.1,1088.0,0.74,2608.0,2803421.1,1
2026-02-03,1095.0,1095.0,1012.4,1071.0,-2.19,25879.0,27359767.7,-1
2026-02-04,1054.1,1085.0,1054.1,1079.0,2.36,1355.0,1452338.6,1
2026-02-05,1090.0,1090.0,1063.3,1080.0,-0.92,2082.0,2236779.5,-1
2026-02-08,1080.0,1089.9,1063.0,1075.0,-0.46,4748.0,5085707.3,-1
2026-02-09,1060.0,1068.8,1050.0,1068.8,0.83,8786.0,9281675.9,1
2026-02-10,1070.0,1095.0,1041.1,1061.0,-0.84,7074.0,7469201.0,-1
2026-02-11,1082.0,1082.0,1043.3,1051.0,-2.87,1781.0,1874959.9,-1
2026-02-12,1050.0,1062.0,1048.2,1061.0,1.05,3942.0,4162452.0,1
2026-02-16,1080.0,1082.0,1050.0,1058.0,-2.04,5218.0,5522578.3,-1
2026-02-17,1051.0,1070.0,1048.6,1051.0,0.0,2151.0,2265769.7,0
2026-02-22,1040.2,1055.0,1037.0,1038.0,-0.21,2302.0,2397964.5,-1
2026-02-23,1038.0,1045.0,1030.0,1045.0,0.67,3108.0,3212774.3,1
2026-02-24,1045.0,1045.0,1032.2,1040.0,-0.48,569.0,591007.4,-1
2026-02-25,1041.0,1047.0,1033.5,1043.0,0.19,1091.0,1136237.7,1
