published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2025-12-08,452.1,461.0,452.0,458.0,1.31,25058.0,11452407.3,1
2025-12-09,454.0,465.0,454.0,459.0,1.1,19511.0,8981369.7,1
2025-12-10,453.0,463.6,453.0,460.6,1.68,12717.0,5869477.1,1
2025-12-11,465.0,465.0,455.1,456.1,-1.91,47974.0,21932666.8,-1
2025-12-14,415.0,420.0,404.1,408.0,-1.69,25755.0,10536791.3,-1
2025-12-15,416.1,416.1,400.2,407.9,-1.97,18436.0,7452874.2,-1
2025-12-16,402.0,414.9,402.0,414.0,2.99,11217.0,4594018.6,1
2025-12-17,408.0,416.0,408.0,410.0,0.49,9544.0,3927226.7,1
2025-12-18,405.0,414.8,405.0,407.0,0.49,11889.0,4861129.3,1
2025-12-21,403.1,409.8,403.1,406.0,0.72,13831.0,5611105.9,1
2025-12-22,404.5,409.0,403.3,407.0,0.62,10960.0,4435121.0,1
2025-12-23,403.0,408.0,402.0,405.0,0.5,8067.0,3269715.6,1
2025-12-24,405.0,410.0,404.0,405.3,0.07,8817.0,3577072.8,1
2025-12-28,401.5,421.0,401.5,419.0,4.36,23591.0,9818506.0,1
2025-12-29,423.0,423.0,411.0,411.0,-2.84,21424.0,8911751.3,-1
2025-12-31,417.0,420.0,415.0,416.6,-0.1,12141.0,5072373.1,-1
2026-01-01,415.0,417.9,412.0,412.1,-0.7,7493.0,3107822.7,-1
2026-01-04,408.0,415.0,405.3,410.0,0.49,15608.0,6402552.6,1
2026-01-05,406.0,439.0,406.0,435.9,7.36,86876.0,37342115.0,1
2026-01-06,431.1,443.6,427.0,428.1,-0.7,30281.0,13163427.4,-1
