published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2013-12-01,102.00,102.00,100.00,100.00,0.00,1545.00,155820.00,0
2013-12-04,100.00,104.00,102.00,104.00,0.00,20.00,2060.00,0
2013-12-05,104.00,110.00,106.00,110.00,0.00,30.00,3240.00,0
2013-12-09,110.00,118.00,112.00,118.00,0.00,258.00,30148.00,0
2013-12-10,118.00,120.00,120.00,120.00,0.00,10.00,1200.00,0
2013-12-11,120.00,124.00,122.00,124.00,0.00,30.00,3700.00,0
2013-12-12,124.00,130.00,126.00,130.00,0.00,336.00,43078.00,0
2013-12-15,130.00,134.00,132.00,134.00,0.00,218.00,29172.00,0
2013-12-22,134.00,136.00,136.00,136.00,0.00,130.00,17680.00,0
2013-12-23,136.00,138.00,138.00,138.00,0.00,43.00,5934.00,0
2013-12-24,138.00,138.00,136.00,138.00,0.00,148.00,20260.00,0
2014-01-08,138.00,136.00,136.00,136.00,0.00,500.00,68000.00,0
2014-01-13,136.00,134.00,134.00,134.00,0.00,129.00,17286.00,0
2014-01-21,134.00,140.00,136.00,140.00,0.00,297.00,40980.00,0
2014-01-22,140.00,142.00,142.00,142.00,0.00,660.00,93720.00,0
2014-01-23,142.00,144.00,144.00,144.00,0.00,52.00,7488.00,0
2014-01-26,144.00,145.00,145.00,145.00,0.00,206.00,29870.00,0
2014-01-28,145.00,151.00,147.00,151.00,0.00,304.00,45362.00,0
2014-01-29,151.00,154.00,154.00,154.00,0.00,416.00,64064.00,0
2014-02-03,154.00,157.00,157.00,157.00,0.00,140.00,21980.00,0
2014-02-13,157.00,163.00,160.00,163.00,0.00,226.00,36508.00,0
2014-02-16,163.00,166.00,166.00,166.00,0.00,7047.00,1169802.00,0
2014-02-18,166.00,169.00,169.00,169.00,0.00,143.00,24167.00,0
2014-02-23,169.00,172.00,172.00,172.00,0.00,1600.00,167200.00,0
2014-02-26,172.00,172.00,172.00,172.00,0.00,53.00,9116.00,0
2014-03-03,172.00,173.00,170.00,170.00,0.00,4317.00,744390.00,0
2014-03-06,170.00,173.00,173.00,173.00,0.00,354.00,61242.00,0
2014-03-09,173.00,173.00,173.00,173.00,0.00,12414.00,2147622.00,0
2014-03-10,173.00,172.00,170.00,172.00,0.00,562.00,95844.00,0
2014-03-11,172.00,172.00,172.00,172.00,0.00,125.00,21500.00,0
2014-05-11,172.00,169.00,166.00,166.00,0.00,434.00,73226.00,0
2014-05-20,166.00,168.00,165.00,168.00,0.00,964.00,161550.00,0
2014-05-21,168.00,168.00,168.00,168.00,0.00,790.00,132720.00,0
2014-05-26,168.00,165.00,165.00,165.00,0.00,207.00,34155.00,0
2014-06-09,165.00,162.00,156.00,156.00,0.00,1015.00,159375.00,0
2014-06-11,156.00,153.00,153.00,153.00,0.00,521.00,79713.00,0
2014-06-12,153.00,150.00,150.00,150.00,0.00,180.00,27000.00,0
2014-06-15,150.00,150.00,150.00,150.00,0.00,66.00,9900.00,0
2014-06-16,150.00,156.00,153.00,156.00,0.00,989.00,153558.00,0
2014-06-18,156.00,154.00,150.00,150.00,0.00,283.00,42933.00,0
2014-06-24,150.00,153.00,153.00,153.00,0.00,1000.00,153000.00,0
2014-06-26,153.00,156.00,154.00,154.00,0.00,1316.00,204602.00,0
2014-06-29,154.00,157.00,157.00,157.00,0.00,555.00,87135.00,0
2014-06-30,157.00,163.00,160.00,163.00,0.00,325.00,52495.00,0
2014-07-07,163.00,179.00,166.00,179.00,0.00,170.00,29710.00,0
2014-07-08,179.00,196.00,182.00,196.00,0.00,200.00,38400.00,0
2014-07-09,196.00,215.00,199.00,214.00,0.00,3371.00,716159.00,0
2014-07-10,214.00,218.00,214.00,214.00,0.00,547.00,118555.00,0
2014-07-14,214.00,218.00,218.00,218.00,0.00,206.00,44908.00,0
2014-07-15,218.00,220.00,220.00,220.00,0.00,105.00,23100.00,0
2014-07-21,220.00,234.00,224.00,234.00,0.00,4143.00,944285.00,0
2014-07-22,234.00,242.00,238.00,242.00,0.00,1573.00,374944.00,0
2014-07-23,242.00,240.00,237.00,238.00,0.00,4473.00,1062753.00,0
2014-07-24,238.00,239.00,231.00,239.00,0.00,1698.00,397371.00,0
2014-07-27,239.00,255.00,243.00,250.00,0.00,3871.00,963819.00,0
2014-07-30,250.00,254.00,245.00,254.00,0.00,833.00,206205.00,0
2014-07-31,254.00,249.00,249.00,249.00,0.00,249.00,62001.00,0
2014-08-03,249.00,272.00,253.00,272.00,0.00,4030.00,1060337.00,0
2014-08-04,272.00,267.00,267.00,267.00,0.00,40.00,10680.00,0
2014-08-06,267.00,272.00,272.00,272.00,0.00,596.00,162112.00,0
2014-08-14,272.00,267.00,262.00,262.00,0.00,1032.00,270854.00,0
2014-08-20,262.00,257.00,252.00,252.00,0.00,153.00,39056.00,0
2014-12-10,252.00,247.00,247.00,247.00,0.00,143.00,35321.00,0
2014-12-11,247.00,260.00,243.00,260.00,0.00,416.00,102880.00,0
2015-01-27,245.00,253.00,249.00,253.00,0.00,20.00,5020.00,0
2015-01-28,253.00,248.00,248.00,248.00,0.00,15.00,3720.00,0
2015-02-03,248.00,244.00,244.00,244.00,0.00,60.00,14640.00,0
2015-02-04,244.00,240.00,224.00,225.00,0.00,5947.00,1347481.00,0
2015-02-05,225.00,221.00,213.00,217.00,0.00,1405.00,305301.00,0
2015-02-08,217.00,217.00,217.00,217.00,0.00,160.00,34720.00,0
2015-02-10,217.00,213.00,213.00,213.00,0.00,176.00,37488.00,0
2015-02-11,213.00,217.00,213.00,217.00,0.00,1413.00,303849.00,0
2015-02-12,217.00,223.00,220.00,222.00,0.00,12752.00,2820944.00,0
2015-02-15,222.00,222.00,218.00,222.00,0.00,35.00,7710.00,0
2015-02-16,222.00,218.00,214.00,214.00,0.00,4000.00,864000.00,0
2015-02-18,214.00,224.00,218.00,224.00,0.00,793.00,177192.00,0
2015-02-24,224.00,226.00,219.00,219.00,0.00,2010.00,443260.00,0
2015-02-25,219.00,223.00,222.00,223.00,0.00,202.00,44914.00,0
2015-03-02,223.00,220.00,215.00,220.00,0.00,4000.00,872500.00,0
2015-03-03,220.00,216.00,216.00,216.00,0.00,1000.00,216000.00,0
2015-03-04,216.00,220.00,215.00,215.00,0.00,2198.00,474560.00,0
2015-03-09,215.00,231.00,218.00,231.00,0.00,6378.00,1428123.00,0
2015-03-10,231.00,239.00,230.00,230.00,0.00,3765.00,881801.00,0
2015-03-11,230.00,236.00,230.00,236.00,0.00,1249.00,289390.00,0
2015-03-12,236.00,240.00,232.00,240.00,0.00,1540.00,358040.00,0
2015-03-15,240.00,236.00,236.00,236.00,0.00,358.00,84488.00,0
2015-03-16,236.00,233.00,230.00,230.00,0.00,2561.00,591380.00,0
2015-03-17,230.00,226.00,226.00,226.00,0.00,2281.00,515506.00,0
2015-03-18,226.00,226.00,222.00,226.00,0.00,98.00,21908.00,0
2015-03-22,226.00,230.00,230.00,230.00,0.00,1828.00,420440.00,0
2015-03-23,230.00,226.00,218.00,226.00,0.00,467.00,103210.00,0
2015-03-24,226.00,222.00,222.00,222.00,0.00,449.00,99678.00,0
2015-03-25,222.00,226.00,222.00,226.00,0.00,1063.00,237446.00,0
2015-03-26,226.00,225.00,222.00,222.00,0.00,550.00,122250.00,0
2015-03-29,222.00,223.00,222.00,223.00,0.00,300.00,66800.00,0
2015-03-30,223.00,219.00,219.00,219.00,0.00,1841.00,403179.00,0
