published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2019-03-06,218.00,218.00,214.00,214.00,-6.55,60.00,12960.00,-1
2019-03-07,204.00,204.00,204.00,204.00,-4.67,30.00,6120.00,-1
2019-03-17,194.00,194.00,194.00,194.00,-4.90,30.00,5820.00,-1
2019-04-03,185.00,185.00,185.00,185.00,-4.64,30.00,5550.00,-1
2019-04-09,176.00,176.00,170.00,170.00,-8.11,70.00,12050.00,-1
2019-04-10,162.00,162.00,162.00,162.00,-4.71,20.00,3240.00,-1
2019-04-11,154.00,154.00,148.00,148.00,-8.64,30.00,4530.00,-1
2019-04-22,141.00,146.00,141.00,146.00,-1.35,30.00,4280.00,-1
2019-04-23,139.00,139.00,139.00,139.00,-4.79,60.00,8340.00,-1
2019-05-09,133.00,133.00,133.00,133.00,-4.32,10.00,1330.00,-1
2019-05-19,127.00,127.00,127.00,127.00,-4.51,30.00,3810.00,-1
2019-05-20,122.00,122.00,122.00,122.00,-3.94,30.00,3660.00,-1
2019-05-21,116.00,116.00,116.00,116.00,-4.92,20.00,2320.00,-1
2019-05-22,111.00,114.00,105.00,105.00,-9.48,1339.00,143974.00,-1
2019-05-23,103.00,103.00,95.00,96.00,-8.57,2260.00,222400.00,-1
2019-05-26,95.00,96.00,89.00,90.00,-6.25,1245.00,115975.00,-1
2019-05-27,89.00,91.00,85.00,91.00,1.11,1050.00,91710.00,1
2019-05-28,90.00,91.00,89.00,90.00,-1.10,670.00,60170.00,-1
2019-05-29,89.00,95.00,89.00,95.00,5.56,760.00,69520.00,1
2019-05-30,94.00,96.00,94.00,94.00,-1.05,750.00,71400.00,-1
2019-06-02,95.00,96.00,90.00,90.00,-4.26,1140.00,105070.00,-1
2019-06-03,90.00,91.00,89.00,90.00,0.00,950.00,85440.00,0
2019-06-04,91.00,93.00,88.00,88.00,-2.22,860.00,77430.00,-1
2019-06-06,89.00,90.00,87.00,88.00,0.00,770.00,68080.00,0
2019-06-10,87.00,87.00,85.00,86.00,-2.27,740.00,63540.00,-1
2019-06-11,85.00,87.00,85.00,86.00,0.00,590.00,50710.00,0
2019-06-12,85.00,87.00,85.00,86.00,0.00,500.00,42780.00,0
2019-06-13,85.00,87.00,85.00,86.00,0.00,320.00,27310.00,0
2019-06-16,90.00,90.00,83.00,83.00,-3.49,1010.00,84455.00,-1
2019-06-17,84.00,84.00,82.00,82.00,-1.20,240.00,19980.00,-1
2019-06-18,81.00,85.00,80.00,84.00,2.44,430.00,35850.00,1
2019-06-19,83.00,83.00,80.00,81.00,-3.57,660.00,53690.00,-1
2019-06-20,81.00,83.00,81.00,82.00,1.23,300.00,24570.00,1
2019-06-23,81.00,82.00,81.00,82.00,0.00,160.00,13100.00,0
2019-06-24,82.00,84.00,81.00,84.00,2.44,980.00,80470.00,1
2019-06-25,84.00,84.00,83.00,83.00,-1.19,50.00,4170.00,-1
2019-06-26,82.00,82.00,80.00,81.00,-2.41,300.00,24325.00,-1
2019-06-27,80.00,80.00,78.00,80.00,-1.23,320.00,25320.00,-1
2019-06-30,79.00,81.00,79.00,81.00,1.25,190.00,15090.00,1
2019-07-01,80.00,80.00,79.00,80.00,-1.23,310.00,24760.00,-1
2019-07-02,80.00,81.00,80.00,80.00,0.00,250.00,20060.00,0
2019-07-03,79.00,80.00,79.00,79.00,-1.25,220.00,17460.00,-1
2019-07-04,80.00,80.00,80.00,80.00,1.27,240.00,19200.00,1
2019-07-07,81.00,83.00,81.00,83.00,3.75,190.00,15580.00,1
2019-07-08,84.00,87.00,84.00,86.00,3.61,740.00,63350.00,1
2019-07-09,86.00,90.00,86.00,89.00,3.49,630.00,55630.00,1
2019-07-10,88.00,88.00,86.00,86.00,-3.37,160.00,13990.00,-1
2019-07-11,86.00,88.00,86.00,88.00,2.33,276.00,24036.00,1
2019-07-14,89.00,89.00,86.00,87.00,-1.14,310.00,27080.00,-1
2019-07-15,86.00,87.00,85.00,85.00,-2.30,465.00,40070.00,-1
2019-07-16,86.00,86.00,84.00,84.00,-1.18,430.00,36350.00,-1
2019-07-17,85.00,85.00,84.00,84.00,0.00,470.00,39610.00,0
2019-07-18,84.00,84.00,84.00,84.00,0.00,90.00,7560.00,0
2019-07-21,84.00,85.00,84.00,85.00,1.19,30.00,2540.00,1
2019-07-22,84.00,86.00,84.00,86.00,1.18,70.00,5950.00,1
2019-07-23,85.00,89.00,85.00,89.00,3.49,390.00,33900.00,1
2019-07-24,90.00,93.00,90.00,93.00,4.49,825.00,76220.00,1
2019-07-25,92.00,93.00,90.00,90.00,-3.23,440.00,40370.00,-1
2019-07-28,89.00,89.00,86.00,86.00,-4.44,220.00,19070.00,-1
2019-07-29,85.00,85.00,85.00,85.00,-1.16,190.00,16150.00,-1
2019-07-30,84.00,84.00,83.00,84.00,-1.18,180.00,15030.00,-1
2019-07-31,83.00,85.00,83.00,85.00,1.19,210.00,17620.00,1
2019-08-01,85.00,86.00,83.00,83.00,-2.35,540.00,45650.00,-1
2019-08-04,84.00,84.00,82.00,83.00,0.00,490.00,40690.00,0
2019-08-05,82.00,86.00,82.00,83.00,0.00,1300.00,109060.00,0
2019-08-06,83.00,84.00,83.00,83.00,0.00,170.00,14140.00,0
2019-08-07,84.00,84.00,82.00,83.00,0.00,310.00,25690.00,0
2019-08-08,82.00,83.00,81.00,82.00,-1.20,290.00,23840.00,-1
2019-08-11,82.00,83.00,81.00,83.00,1.22,260.00,21230.00,1
2019-08-12,82.00,83.00,81.00,82.00,-1.20,380.00,30930.00,-1
2019-08-13,81.00,81.00,81.00,81.00,-1.22,290.00,23490.00,-1
2019-08-14,82.00,83.00,81.00,83.00,2.47,170.00,13910.00,1
2019-08-15,83.00,84.00,82.00,83.00,0.00,240.00,19930.00,0
2019-08-18,82.00,83.00,80.00,83.00,0.00,360.00,29340.00,0
2019-08-19,82.00,83.00,81.00,82.00,-1.20,380.00,31230.00,-1
2019-08-20,81.00,82.00,81.00,81.00,-1.22,240.00,19470.00,-1
2019-08-21,81.00,81.00,78.00,78.00,-3.70,460.00,36160.00,-1
2019-08-22,79.00,79.00,77.00,77.00,-1.28,140.00,11000.00,-1
2019-08-25,76.00,78.00,76.00,78.00,1.30,430.00,33100.00,1
2019-08-26,77.00,78.00,77.00,77.00,-1.28,180.00,13950.00,-1
2019-08-27,77.00,77.00,77.00,77.00,0.00,180.00,13860.00,0
2019-08-28,76.00,76.00,75.00,75.00,-2.60,150.00,11280.00,-1
2019-08-29,75.00,75.00,73.00,73.00,-2.67,310.00,22960.00,-1
2019-09-01,73.00,75.00,73.00,75.00,2.74,110.00,8150.00,1
2019-09-02,74.00,74.00,73.00,73.00,-2.67,180.00,13240.00,-1
2019-09-03,73.00,73.00,71.00,71.00,-2.74,950.00,68680.00,-1
