published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2025-12-08,10.07,10.27,10.07,10.27,1.99,12810.0,131330.7,1
2025-12-09,10.1,10.2,10.1,10.2,0.99,2800.0,28533.0,1
2025-12-10,10.07,10.27,10.07,10.16,0.89,4210.0,42871.1,1
2025-12-11,10.03,10.15,10.03,10.15,1.2,1850.0,18720.5,1
2025-12-14,10.15,10.35,10.15,10.35,1.97,9900.0,101046.0,1
2025-12-15,10.15,10.26,10.15,10.26,1.08,6700.0,68091.0,1
2025-12-16,10.18,10.26,9.9,10.26,0.79,52603.0,534434.38,1
2025-12-17,10.15,10.35,10.15,10.2,0.49,8820.0,90332.0,1
2025-12-18,10.18,10.35,10.18,10.35,1.67,48050.0,495174.89,1
2025-12-21,10.49,10.49,10.2,10.2,-2.76,34900.0,360584.0,-1
2025-12-22,10.21,10.3,10.21,10.26,0.49,2750.0,28151.0,1
2025-12-23,10.07,10.3,10.07,10.3,2.28,59000.0,606438.0,1
2025-12-24,10.25,10.3,10.25,10.3,0.49,11040.0,113637.0,1
2025-12-28,10.25,10.4,10.25,10.34,0.88,20050.0,208055.5,1
2025-12-29,10.33,10.44,10.31,10.4,0.68,170400.0,1758668.5,1
2025-12-31,10.34,10.5,10.34,10.5,1.55,21200.0,220439.0,1
2026-01-01,10.36,10.37,10.36,10.37,0.1,1400.0,14506.0,1
2026-01-04,10.36,10.56,10.35,10.4,0.39,19820.0,206107.2,1
2026-01-05,10.35,10.5,10.32,10.5,1.45,103400.0,1072801.0,1
2026-01-06,10.29,10.51,10.29,10.51,2.14,42210.0,443074.0,1
2026-01-07,10.35,10.5,10.35,10.38,0.29,4700.0,48855.0,1
2026-01-08,10.39,10.5,10.37,10.45,0.58,12155.0,127382.95,1
2026-01-12,10.37,10.65,10.37,10.64,2.6,106268.0,1124524.32,1
2026-01-13,10.44,10.7,10.44,10.47,0.29,2200.0,23111.0,1
2026-01-14,10.27,10.64,10.27,10.64,3.6,12550.0,131749.5,1
2026-01-18,10.47,10.68,10.47,10.61,1.34,134855.0,1428688.15,1
2026-01-20,10.47,10.82,10.47,10.64,1.62,141550.0,1509198.5,1
2026-01-21,10.48,10.75,10.48,10.56,0.76,76000.0,805680.0,1
2026-01-22,10.48,10.8,10.48,10.75,2.58,26030.0,278419.4,1
2026-01-25,10.54,10.75,10.36,10.75,1.99,13700.0,146388.0,1
2026-01-26,10.6,10.8,10.6,10.8,1.89,9250.0,99386.0,1
2026-01-27,10.6,11.0,10.6,10.68,0.75,224900.0,2436047.0,1
2026-01-28,10.68,10.88,10.55,10.7,0.19,67850.0,727043.0,1
2026-01-29,10.7,10.95,10.7,10.72,0.19,197786.0,2119886.06,1
2026-02-01,10.63,10.79,10.63,10.78,1.41,41113.0,442900.1,1
2026-02-02,10.62,10.89,10.62,10.86,2.26,8850.0,95831.0,1
2026-02-03,10.66,10.8,10.66,10.72,0.56,23700.0,254673.0,1
2026-02-04,10.65,10.75,10.65,10.74,0.85,24310.0,261097.2,1
2026-02-05,10.54,10.8,10.54,10.7,1.52,1650.0,17625.0,1
2026-02-08,10.6,10.87,10.6,10.8,1.89,61800.0,667233.0,1
2026-02-09,10.8,10.85,10.6,10.6,-1.85,101600.0,1084953.0,-1
2026-02-10,10.6,10.64,10.45,10.64,0.38,1800.0,19064.0,1
2026-02-11,10.48,10.79,10.48,10.79,2.96,10700.0,114848.0,1
2026-02-12,10.6,10.89,10.6,10.81,1.98,30200.0,327399.0,1
2026-02-16,10.67,10.77,10.67,10.77,0.94,2600.0,27865.0,1
2026-02-17,10.6,10.7,10.57,10.7,0.94,1600.0,17026.0,1
2026-02-22,10.55,10.69,10.55,10.65,0.95,13432.0,143277.8,1
2026-02-23,10.54,10.83,10.54,10.65,1.04,2728.0,29137.64,1
2026-02-24,10.64,10.66,10.64,10.66,0.19,800.0,8518.0,1
2026-02-25,10.7,10.83,10.58,10.65,-0.47,8050.0,85762.0,-1
2026-02-26,10.55,10.62,10.55,10.62,0.66,1300.0,13758.0,1
2026-03-01,10.61,10.63,10.61,10.63,0.19,1100.0,11673.0,1
2026-03-03,10.61,10.82,10.61,10.82,1.98,2050.0,21851.5,1
2026-03-10,10.66,10.89,10.66,10.71,0.47,20190.0,217547.3,1
2026-03-11,10.67,10.94,10.67,10.77,0.94,12200.0,132844.0,1
2026-03-12,10.74,11.17,10.74,11.0,2.42,30700.0,337302.0,1
2026-03-15,10.8,10.9,10.8,10.9,0.93,3400.0,36797.0,1
2026-03-16,10.73,11.0,10.73,10.9,1.58,6820.0,74548.8,1
2026-03-17,11.1,11.1,10.88,11.1,0.0,51660.0,572275.5,0
2026-03-19,10.9,11.1,10.9,11.02,1.1,3800.0,41769.0,1
2026-03-22,11.0,11.35,11.0,11.35,3.18,353350.0,3962970.5,1
2026-03-23,11.13,11.57,11.13,11.24,0.99,35700.0,402462.0,1
2026-03-24,11.05,11.46,11.05,11.4,3.17,19750.0,223247.0,1
2026-03-25,11.35,11.61,11.21,11.28,-0.62,28770.0,328063.4,-1
2026-03-26,11.45,11.67,11.27,11.32,-1.14,208220.0,2393215.8,-1
2026-03-29,11.54,11.54,11.2,11.3,-2.08,5590.0,62951.8,-1
2026-03-30,11.1,11.3,11.1,11.15,0.45,57400.0,638210.6,1
2026-03-31,10.94,11.37,10.94,11.15,1.92,22100.0,247916.0,1
2026-04-01,11.08,11.25,11.07,11.07,-0.09,112835.0,1249723.15,-1
2026-04-02,10.85,11.1,10.71,10.8,-0.46,1400.0,15243.0,-1
2026-04-05,11.0,11.0,10.51,10.51,-4.45,54322.0,585796.4,-1
2026-04-06,10.4,10.9,10.4,10.71,2.98,15150.0,161083.5,1
2026-04-07,10.71,11.13,10.71,11.0,2.71,8000.0,88273.0,1
2026-04-08,10.8,11.22,10.8,10.9,0.93,10850.0,119645.0,1
