published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2025-12-08,1970.0,2000.0,1922.1,1950.0,-1.02,918.0,1787315.8,-1
2025-12-09,1950.0,1979.0,1941.0,1950.0,0.0,342.0,666912.0,0
2025-12-10,1950.0,1989.0,1950.0,1970.0,1.03,161.0,317469.0,1
2025-12-11,1970.0,1970.0,1900.0,1938.0,-1.62,750.0,1439776.0,-1
2025-12-14,1938.0,1945.0,1910.0,1910.0,-1.44,497.0,956760.8,-1
2025-12-15,1942.0,1942.0,1901.0,1903.0,-2.01,619.0,1184935.3,-1
2025-12-16,1903.1,1937.0,1903.0,1937.0,1.78,622.0,1190602.9,1
2025-12-17,1937.0,1950.0,1911.0,1934.9,-0.11,379.0,729734.3,-1
2025-12-18,1901.2,1925.0,1900.0,1920.0,0.99,1136.0,2163153.9,1
2025-12-21,1900.0,1910.0,1895.0,1910.0,0.53,269.0,510350.7,1
2025-12-22,1900.0,1900.0,1875.0,1880.0,-1.05,460.0,865745.0,-1
2025-12-23,1900.0,1994.0,1900.0,1993.0,4.89,3468.0,6645790.5,1
2025-12-24,1993.0,2026.0,1953.2,2000.0,0.35,1619.0,3229374.6,1
2025-12-28,2000.0,2020.0,1979.6,2004.0,0.2,1314.0,2631825.5,1
2025-12-29,2042.0,2042.0,1970.0,1975.0,-3.28,869.0,1737319.0,-1
2025-12-31,2000.0,2000.0,1950.2,1965.0,-1.75,1324.0,2637274.2,-1
2026-01-01,1965.0,1965.0,1935.0,1959.7,-0.27,1480.0,2874960.2,-1
2026-01-04,1950.0,1996.9,1923.0,1923.0,-1.38,185.0,359185.8,-1
2026-01-05,1900.1,1975.0,1862.1,1937.2,1.95,2232.0,4251999.5,1
2026-01-06,1906.5,1950.0,1906.5,1920.0,0.71,888.0,1715081.8,1
2026-01-07,1920.0,1949.9,1911.0,1911.1,-0.46,515.0,987513.1,-1
2026-01-08,1891.0,1987.9,1891.0,1920.1,1.54,1153.0,2237480.5,1
2026-01-12,1957.0,1980.0,1920.2,1925.0,-1.64,2154.0,4207857.0,-1
2026-01-13,1963.5,1963.5,1924.0,1924.0,-2.01,1346.0,2595155.0,-1
2026-01-14,1924.0,1930.0,1923.0,1930.0,0.31,40.0,76773.4,1
2026-01-18,1968.6,2101.0,1950.0,2101.0,6.73,5522.0,11105338.3,1
2026-01-20,2143.0,2222.0,2022.2,2222.0,3.69,8954.0,18584376.4,1
2026-01-21,2177.6,2177.6,2009.0,2091.2,-3.97,2385.0,5023007.2,-1
2026-01-22,2110.0,2110.0,2010.0,2059.0,-2.42,3418.0,6959236.3,-1
2026-01-25,2080.0,2080.0,2003.0,2060.0,-0.96,2112.0,4342613.6,-1
2026-01-26,2080.0,2099.0,2025.0,2025.0,-2.64,2893.0,5981457.4,-1
2026-01-27,2022.0,2079.0,2020.0,2050.0,1.38,2417.0,4956611.4,1
2026-01-28,2040.0,2071.8,2040.0,2061.0,1.03,3262.0,6700324.3,1
2026-01-29,2065.0,2077.0,2030.0,2064.0,-0.05,858.0,1765584.1,-1
2026-02-01,2050.0,2050.0,2010.0,2010.0,-1.95,1206.0,2435477.5,-1
2026-02-02,2050.2,2050.2,2001.0,2030.0,-0.99,638.0,1285578.7,-1
2026-02-03,2030.1,2030.1,1951.2,2019.6,-0.52,1443.0,2857362.3,-1
2026-02-04,2019.6,2019.6,1941.0,1942.0,-3.84,1457.0,2872263.3,-1
2026-02-05,1980.0,2051.9,1945.0,1952.0,-1.41,2184.0,4288534.7,-1
2026-02-08,1958.0,1993.0,1940.0,1986.0,1.43,2541.0,5029972.7,1
2026-02-09,1997.8,1997.8,1947.3,1947.3,-2.53,673.0,1313467.0,-1
2026-02-10,1925.0,1984.0,1925.0,1963.5,2.0,1142.0,2218958.2,1
2026-02-11,1963.5,1963.5,1915.0,1920.0,-2.22,1140.0,2195420.2,-1
2026-02-12,1905.1,1938.0,1903.5,1929.0,1.25,1407.0,2687320.0,1
2026-02-16,1929.0,1940.9,1911.0,1932.0,0.16,144.0,277581.2,1
2026-02-17,1932.0,1932.0,1894.1,1894.1,-1.96,997.0,1899553.4,-1
2026-02-22,1890.1,1890.1,1875.0,1889.8,-0.02,1490.0,2806219.1,-1
2026-02-23,1876.0,1881.1,1876.0,1876.1,0.01,1675.0,3147525.0,1
2026-02-24,1880.0,1905.0,1838.6,1899.9,1.06,1637.0,3054260.9,1
2026-02-25,1931.0,1937.0,1900.0,1905.0,-1.35,630.0,1214229.5,-1
2026-02-26,1905.0,1941.0,1890.0,1919.9,0.78,1850.0,3537653.5,1
2026-03-01,1887.0,1923.0,1882.1,1923.0,1.91,718.0,1361570.1,1
2026-03-03,1923.0,1940.0,1890.0,1940.0,0.88,7941.0,15387065.3,1
2026-03-09,1978.0,1978.0,1978.0,1978.0,0.0,20.0,39560.0,0
2026-03-10,1990.0,2080.0,1990.0,2009.0,0.95,4665.0,9472122.0,1
2026-03-11,2000.0,2009.0,1935.0,1970.0,-1.5,2276.0,4452649.6,-1
2026-03-12,1970.0,1975.0,1895.0,1975.0,0.25,4370.0,8435765.5,1
2026-03-15,1938.3,1976.0,1900.1,1959.9,1.11,3717.0,7242157.4,1
2026-03-16,1959.9,1959.9,1920.0,1930.0,-1.53,2533.0,4922905.8,-1
2026-03-17,1930.0,1948.0,1920.0,1926.0,-0.21,1481.0,2856981.3,-1
2026-03-19,1900.0,1957.8,1900.0,1937.3,1.96,3735.0,7210058.3,1
2026-03-22,1969.0,2004.0,1940.0,1985.0,0.81,3183.0,6287703.0,1
