published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2013-12-10,193.00,196.00,196.00,196.00,0.00,10.00,1960.00,0
2013-12-11,196.00,206.00,199.00,206.00,0.00,1030.00,208110.00,0
2013-12-12,206.00,206.00,206.00,206.00,0.00,289.00,59534.00,0
2014-01-21,179.00,176.00,176.00,176.00,0.00,95.00,16720.00,0
2014-03-09,173.00,173.00,173.00,173.00,0.00,5270.00,911710.00,0
2014-03-11,173.00,170.00,170.00,170.00,0.00,194.00,32980.00,0
2014-03-13,170.00,170.00,170.00,170.00,0.00,330.00,56100.00,0
2014-03-13,170.00,170.00,170.00,170.00,0.00,330.00,56100.00,0
2014-03-26,170.00,167.00,167.00,167.00,0.00,200.00,33400.00,0
2014-04-01,167.00,170.00,170.00,170.00,0.00,480.00,81600.00,0
2014-04-15,170.00,167.00,167.00,167.00,0.00,72.00,12024.00,0
2014-04-17,167.00,170.00,170.00,170.00,0.00,87.00,14790.00,0
2014-04-20,170.00,170.00,170.00,170.00,0.00,255.00,43350.00,0
2014-04-21,170.00,173.00,173.00,173.00,0.00,419.00,72487.00,0
2014-04-22,173.00,176.00,170.00,176.00,0.00,497.00,86635.00,0
2014-04-28,176.00,182.00,179.00,179.00,0.00,1337.00,241495.00,0
2014-05-04,179.00,182.00,182.00,182.00,0.00,50.00,9100.00,0
2014-05-05,182.00,180.00,180.00,180.00,0.00,817.00,147060.00,0
2014-05-07,180.00,180.00,180.00,180.00,0.00,5534.00,996120.00,0
2014-05-08,180.00,183.00,180.00,182.00,0.00,1443.00,262933.00,0
2014-05-12,182.00,180.00,180.00,180.00,0.00,319.00,57420.00,0
2014-05-13,180.00,182.00,181.00,181.00,0.00,1891.00,342565.00,0
2014-05-15,181.00,181.00,181.00,181.00,0.00,143.00,25883.00,0
2014-05-18,181.00,181.00,181.00,181.00,0.00,191.00,34571.00,0
2014-05-19,181.00,196.00,184.00,196.00,0.00,250.00,47500.00,0
2014-05-20,196.00,196.00,196.00,196.00,0.00,1248.00,244608.00,0
2014-05-21,196.00,215.00,199.00,200.00,0.00,36519.00,7321838.00,0
2014-05-22,200.00,212.00,200.00,212.00,0.00,454.00,93640.00,0
2014-05-25,212.00,210.00,210.00,210.00,0.00,510.00,107100.00,0
2014-05-26,210.00,221.00,214.00,221.00,0.00,354.00,76347.00,0
2014-05-28,221.00,217.00,213.00,213.00,0.00,542.00,116530.00,0
2014-06-01,213.00,217.00,209.00,217.00,0.00,1060.00,226496.00,0
2014-06-02,217.00,217.00,214.00,214.00,0.00,392.00,84653.00,0
2014-06-03,214.00,218.00,218.00,218.00,0.00,50.00,10900.00,0
2014-06-04,218.00,222.00,222.00,222.00,0.00,50.00,11100.00,0
2014-06-05,222.00,218.00,214.00,214.00,0.00,444.00,95940.00,0
2014-06-09,214.00,218.00,214.00,218.00,0.00,1304.00,283700.00,0
2014-06-10,218.00,222.00,222.00,222.00,0.00,50.00,11100.00,0
2014-06-11,222.00,222.00,218.00,222.00,0.00,1515.00,332270.00,0
2014-06-12,222.00,222.00,214.00,214.00,0.00,380.00,82608.00,0
2014-06-15,214.00,222.00,218.00,222.00,0.00,63.00,13786.00,0
2014-06-17,222.00,230.00,226.00,230.00,0.00,62.00,14212.00,0
2014-06-18,230.00,238.00,234.00,238.00,0.00,77.00,18126.00,0
