published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2016-12-22,380.00,405.00,374.00,400.00,0.00,7745.00,3074719.00,0
2016-12-26,400.00,410.00,395.00,405.00,0.00,676.00,273735.00,0
2016-12-27,405.00,405.00,391.00,398.00,0.00,1505.00,604154.00,0
2016-12-28,398.00,420.00,391.00,420.00,0.00,1042.00,416245.00,0
2016-12-29,420.00,430.00,407.00,430.00,0.00,709.00,295225.00,0
2017-01-01,430.00,430.00,416.00,416.00,0.00,561.00,236251.00,0
2017-01-02,416.00,457.00,424.00,448.00,0.00,5982.00,2639331.00,0
2017-01-03,448.00,481.00,451.00,475.00,0.00,1654.00,759526.00,0
2017-01-04,475.00,480.00,448.00,475.00,0.00,682.00,314909.00,0
2017-01-05,475.00,500.00,466.00,466.00,0.00,1485.00,717883.00,0
2017-01-08,466.00,484.00,448.00,484.00,0.00,1521.00,711544.00,0
2017-01-09,484.00,500.00,466.00,484.00,0.00,1281.00,612466.00,0
2017-01-10,484.00,495.00,480.00,495.00,0.00,741.00,360283.00,0
2017-01-11,495.00,502.00,492.00,492.00,0.00,60.00,29620.00,0
2017-01-12,492.00,533.00,486.00,533.00,0.00,2125.00,1088901.00,0
2017-01-15,533.00,535.00,495.00,515.00,0.00,415.00,211124.00,0
2017-01-16,515.00,566.00,525.00,566.00,0.00,4524.00,2559544.00,0
2017-01-17,566.00,622.00,577.00,622.00,0.00,13365.00,8280868.00,0
2017-01-18,622.00,644.00,570.00,580.00,0.00,6619.00,3962790.00,0
2017-01-19,580.00,602.00,561.00,561.00,0.00,4746.00,2743257.00,0
2017-01-22,561.00,577.00,520.00,520.00,0.00,3795.00,2082170.00,0
2017-01-23,520.00,530.00,500.00,506.00,0.00,3961.00,2038390.00,0
2017-01-24,506.00,549.00,500.00,545.00,0.00,5303.00,2808175.00,0
2017-01-25,545.00,535.00,510.00,525.00,0.00,1213.00,634481.00,0
2017-01-26,525.00,516.00,515.00,515.00,0.00,235.00,121125.00,0
2017-01-30,515.00,510.00,490.00,490.00,0.00,362.00,181620.00,0
2017-01-31,490.00,498.00,476.00,480.00,0.00,641.00,310316.00,0
2017-02-01,480.00,489.00,471.00,489.00,0.00,547.00,264241.00,0
2017-02-02,489.00,491.00,480.00,480.00,0.00,800.00,389960.00,0
2017-02-05,480.00,489.00,472.00,475.00,0.00,690.00,327660.00,0
2017-02-06,475.00,475.00,470.00,470.00,0.00,340.00,160050.00,0
2017-02-07,470.00,471.00,471.00,471.00,0.00,298.00,140358.00,0
2017-02-08,471.00,473.00,473.00,473.00,0.00,110.00,52030.00,0
2017-02-09,473.00,464.00,445.00,445.00,0.00,350.00,157789.00,0
2017-02-12,445.00,440.00,419.00,419.00,0.00,415.00,178220.00,0
2017-02-13,419.00,411.00,400.00,400.00,0.00,340.00,138540.00,0
2017-02-14,400.00,401.00,395.00,395.00,0.00,580.00,232060.00,0
2017-02-15,395.00,397.00,381.00,397.00,0.00,1486.00,583565.00,0
2017-02-16,397.00,402.00,395.00,395.00,0.00,748.00,298492.00,0
2017-02-19,395.00,402.00,402.00,402.00,0.00,100.00,40200.00,0
2017-02-20,402.00,415.00,402.00,415.00,0.00,200.00,81780.00,0
2017-02-21,415.00,423.00,410.00,418.00,0.00,906.00,376238.00,0
2017-02-22,418.00,421.00,418.00,418.00,0.00,150.00,63000.00,0
2017-02-23,418.00,410.00,408.00,408.00,0.00,110.00,44900.00,0
2017-02-26,408.00,416.00,400.00,408.00,0.00,430.00,177410.00,0
2017-02-28,408.00,408.00,400.00,401.00,0.00,230.00,92550.00,0
2017-03-01,401.00,393.00,373.00,373.00,0.00,178.00,68515.00,0
2017-03-02,373.00,394.00,380.00,394.00,0.00,450.00,171420.00,0
2017-03-05,394.00,410.00,398.00,410.00,0.00,476.00,192660.00,0
2017-03-06,410.00,418.00,410.00,418.00,0.00,157.00,65418.00,0
2017-03-07,418.00,416.00,416.00,416.00,0.00,22.00,9152.00,0
2017-03-09,416.00,420.00,413.00,420.00,0.00,254.00,105980.00,0
2017-03-14,420.00,420.00,411.00,411.00,0.00,353.00,147400.00,0
2017-03-15,411.00,412.00,400.00,400.00,0.00,150.00,60550.00,0
2017-03-16,400.00,410.00,402.00,410.00,0.00,100.00,40670.00,0
2017-03-19,410.00,405.00,405.00,405.00,0.00,50.00,20250.00,0
2017-03-20,405.00,410.00,410.00,410.00,0.00,21.00,8610.00,0
2017-03-21,410.00,420.00,411.00,420.00,0.00,261.00,108341.00,0
2017-03-22,420.00,427.00,425.00,427.00,0.00,60.00,25600.00,0
2017-03-23,427.00,442.00,427.00,442.00,0.00,310.00,135400.00,0
2017-03-26,442.00,459.00,450.00,450.00,0.00,126.00,57150.00,0
2017-03-28,450.00,480.00,459.00,480.00,0.00,237.00,112068.00,0
2017-03-29,480.00,494.00,484.00,494.00,0.00,182.00,88735.00,0
2017-03-30,494.00,502.00,485.00,502.00,0.00,360.00,178590.00,0
2017-04-02,502.00,510.00,507.00,510.00,0.00,31.00,15747.00,0
2017-04-03,510.00,510.00,475.00,475.00,0.00,601.00,294590.00,0
2017-04-04,475.00,484.00,465.00,466.00,0.00,284.00,134600.00,0
2017-04-06,466.00,512.00,475.00,512.00,0.00,547.00,278724.00,0
2017-04-09,512.00,563.00,522.00,563.00,0.00,1397.00,778906.00,0
