published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2025-12-08,520.0,534.2,520.0,524.0,0.77,39945.0,20968422.3,1
2025-12-09,524.0,529.0,522.0,525.0,0.19,18319.0,9611939.8,1
2025-12-10,534.0,534.0,520.0,520.2,-2.58,19944.0,10407881.7,-1
2025-12-11,515.5,524.9,515.5,518.0,0.48,19644.0,10187080.5,1
2025-12-14,515.0,523.0,512.0,516.9,0.37,30143.0,15513754.1,1
2025-12-15,511.3,520.5,511.3,516.0,0.92,16180.0,8361795.1,1
2025-12-16,511.0,522.0,511.0,521.0,1.96,21739.0,11291157.3,1
2025-12-17,513.1,564.0,513.1,526.6,2.63,21535.0,11360828.2,1
2025-12-18,524.5,530.0,520.0,522.3,-0.42,23777.0,12452313.0,-1
2025-12-21,525.0,525.0,518.0,519.0,-1.14,22823.0,11855942.6,-1
