published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2025-12-08,10.65,10.65,10.6,10.65,0.0,2945.0,31279.45,0
2025-12-09,10.5,10.75,10.5,10.72,2.1,3800.0,40311.2,1
2025-12-10,10.7,11.01,10.61,11.01,2.9,35300.0,386250.5,1
2025-12-11,10.79,10.79,10.5,10.72,-0.65,800.0,8550.0,-1
2025-12-14,10.6,10.93,10.6,10.93,3.11,12828.0,137574.96,1
2025-12-15,10.73,10.8,10.73,10.8,0.65,1200.0,12918.0,1
2025-12-16,10.8,10.89,10.8,10.89,0.83,1545.0,16787.6,1
2025-12-17,10.9,11.11,10.9,11.0,0.92,4200.0,46331.0,1
2025-12-18,10.95,10.95,10.75,10.81,-1.28,5800.0,62835.0,-1
2025-12-21,10.66,11.02,10.66,10.8,1.31,6600.0,72139.0,1
2025-12-22,10.7,10.7,10.65,10.65,-0.47,600.0,6415.0,-1
2025-12-23,10.51,11.07,10.51,10.96,4.28,7178.0,77598.66,1
2025-12-24,10.87,11.31,10.87,11.09,2.02,53080.0,591299.0,1
2025-12-28,10.87,10.94,10.66,10.88,0.09,2200.0,23768.0,1
2025-12-29,10.68,10.88,10.68,10.88,1.87,7897.0,84718.55,1
2025-12-31,10.72,10.88,10.71,10.77,0.47,6200.0,66515.0,1
2026-01-01,10.98,10.98,10.77,10.87,-1.0,3400.0,37058.0,-1
2026-01-04,10.78,10.81,10.78,10.78,0.0,1600.0,17260.0,0
2026-01-05,10.71,11.2,10.71,10.77,0.56,5160.0,56231.0,1
2026-01-06,10.7,11.56,10.7,11.56,8.04,34220.0,387899.2,1
2026-01-07,11.41,11.68,11.36,11.4,-0.09,16455.0,190352.75,-1
2026-01-08,11.18,11.62,11.18,11.22,0.36,10900.0,123777.0,1
2026-01-12,11.01,11.16,11.01,11.15,1.27,3700.0,41167.4,1
2026-01-13,11.15,11.58,11.15,11.23,0.72,6130.0,69687.6,1
2026-01-14,11.23,11.45,11.21,11.3,0.62,2930.0,33161.0,1
2026-01-18,11.12,11.75,11.12,11.75,5.67,14500.0,168407.44,1
2026-01-20,11.55,11.9,11.55,11.6,0.43,6600.0,77487.0,1
2026-01-21,11.6,11.83,11.51,11.6,0.0,8400.0,98675.0,0
2026-01-22,11.42,11.73,11.41,11.51,0.79,10200.0,119516.0,1
2026-01-25,11.29,11.38,11.29,11.38,0.8,1300.0,14758.0,1
2026-01-26,11.25,11.7,11.25,11.6,3.11,882645.0,10106323.88,1
2026-01-27,11.37,11.45,11.37,11.45,0.7,700.0,8000.0,1
2026-01-28,11.45,11.57,11.33,11.41,-0.35,6350.0,72528.5,-1
2026-01-29,11.31,11.72,11.31,11.51,1.77,4800.0,55430.0,1
2026-02-01,11.32,11.63,11.32,11.55,2.03,3350.0,38321.5,1
2026-02-02,11.36,11.65,11.36,11.6,2.11,18027.0,208883.2,1
2026-02-03,11.8,11.8,11.57,11.57,-1.95,20441.0,237683.05,-1
2026-02-04,11.4,11.63,11.4,11.62,1.93,3000.0,34409.0,1
2026-02-05,11.4,11.53,11.4,11.42,0.18,1550.0,17757.5,1
2026-02-08,11.2,11.64,11.2,11.38,1.61,3900.0,44306.0,1
2026-02-09,11.25,11.5,11.25,11.5,2.22,5400.0,61998.0,1
2026-02-10,11.73,11.73,11.51,11.7,-0.26,5420.0,63275.2,-1
2026-02-11,11.7,11.9,11.41,11.65,-0.43,31500.0,365265.0,-1
2026-02-12,11.65,11.88,11.42,11.42,-1.97,15100.0,175863.0,-1
2026-02-16,11.2,11.68,11.2,11.45,2.23,27900.0,319476.0,1
2026-02-17,11.32,11.54,11.32,11.41,0.8,3410.0,38937.6,1
2026-02-22,11.41,11.63,11.41,11.42,0.09,27100.0,310131.0,1
2026-02-23,11.3,11.52,11.3,11.5,1.77,117091.0,1345316.5,1
2026-02-24,11.3,11.5,11.3,11.5,1.77,400.0,4560.0,1
2026-02-25,11.28,11.73,11.28,11.73,3.99,3900.0,45347.0,1
2026-02-26,11.52,11.55,11.52,11.52,0.0,1200.0,13854.0,0
2026-03-01,11.7,11.75,11.6,11.62,-0.68,4600.0,53937.0,-1
2026-03-03,11.85,11.95,11.6,11.95,0.84,7350.0,87128.5,1
2026-03-10,11.73,11.9,11.73,11.8,0.6,3400.0,40294.0,1
2026-03-11,11.75,11.95,11.75,11.81,0.51,22750.0,271400.0,1
2026-03-12,12.04,12.04,11.73,11.81,-1.91,1288.0,15332.52,-1
2026-03-15,11.75,11.92,11.75,11.81,0.51,12660.0,149940.2,1
2026-03-16,11.76,11.92,11.62,11.62,-1.19,17100.0,199406.0,-1
2026-03-17,11.55,11.77,11.55,11.55,0.0,34925.0,404109.25,0
2026-03-19,11.61,11.78,11.44,11.68,0.6,12910.0,150857.4,1
2026-03-22,11.45,11.91,11.45,11.9,3.93,31480.0,370994.2,1
2026-03-23,11.68,11.8,11.67,11.69,0.09,7600.0,89005.0,1
2026-03-24,11.51,12.0,11.5,11.75,2.09,20592.0,238359.54,1
2026-03-25,11.57,12.16,11.57,12.0,3.72,253900.0,3036895.0,1
2026-03-26,12.16,12.16,11.92,12.0,-1.32,6600.0,79960.0,-1
2026-03-29,12.12,12.12,11.78,11.9,-1.82,16100.0,194807.0,-1
2026-03-30,11.78,12.0,11.78,11.8,0.17,26100.0,309119.0,1
2026-03-31,11.6,11.84,11.58,11.63,0.26,9489.0,110663.0,1
2026-04-01,11.41,11.78,11.41,11.54,1.14,22875.0,267740.75,1
2026-04-02,11.45,11.67,11.4,11.4,-0.44,2300.0,26272.0,-1
2026-04-05,11.31,11.4,11.31,11.31,0.0,6500.0,73560.0,0
2026-04-06,11.2,11.75,11.2,11.52,2.86,14713.0,171360.26,1
2026-04-07,11.35,11.93,11.22,11.93,5.11,4600.0,52247.0,1
2026-04-08,11.7,11.7,11.7,11.7,0.0,300.0,3510.0,0
2026-04-09,11.47,11.93,11.47,11.5,0.26,14093.0,165649.79,1
2026-04-10,11.5,11.95,11.5,11.9,3.48,3220.0,37720.6,1
2026-04-13,11.73,12.03,11.73,11.88,1.28,9075.0,108096.51,1
2026-04-15,11.66,12.11,11.66,12.0,2.92,4200.0,50269.0,1
2026-04-16,11.95,12.0,11.81,11.9,-0.42,7700.0,91800.0,-1
2026-04-17,11.75,12.0,11.75,11.82,0.6,3500.0,41347.0,1
2026-04-20,12.0,12.1,11.9,12.0,0.0,14083.0,169058.3,0
2026-04-21,11.72,12.0,11.72,11.9,1.54,3600.0,42477.0,1
2026-04-22,11.8,12.0,11.75,12.0,1.69,6305.0,75106.0,1
2026-04-23,12.1,12.1,11.86,11.95,-1.24,2050.0,24556.5,-1
2026-04-24,11.95,12.1,11.72,11.91,-0.33,1900.0,22661.0,-1
2026-04-27,11.91,12.0,11.7,12.0,0.76,2600.0,31170.0,1
2026-04-28,12.0,12.0,11.68,11.71,-2.42,8980.0,105280.4,-1
2026-04-29,11.71,11.74,11.4,11.65,-0.51,11500.0,134320.0,-1
2026-04-30,11.51,11.85,11.51,11.51,0.0,7127.0,83713.77,0
2026-05-04,11.51,11.63,11.21,11.63,1.04,21150.0,240873.0,1
2026-05-05,11.4,12.0,11.3,11.34,-0.53,8650.0,99948.0,-1
2026-05-06,11.3,11.47,11.26,11.26,-0.35,2600.0,29392.0,-1
2026-05-07,11.26,12.0,11.26,11.64,3.37,1415.0,16459.5,1
2026-05-08,11.7,11.7,11.37,11.37,-2.82,401.0,4653.65,-1
2026-05-11,11.36,11.71,11.22,11.71,3.08,3400.0,38990.0,1
2026-05-12,11.52,11.57,11.52,11.57,0.43,1000.0,11533.0,1
2026-05-13,11.9,11.9,11.58,11.58,-2.69,3800.0,44289.0,-1
2026-05-14,11.58,11.9,11.49,11.9,2.76,2600.0,30372.0,1
2026-05-15,11.55,11.89,11.55,11.66,0.95,13035.0,154559.45,1
2026-05-18,11.65,11.9,11.65,11.9,2.15,1990.0,23458.0,1
2026-05-19,11.8,12.0,11.68,12.0,1.69,930.0,10987.0,1
2026-05-20,11.7,12.0,11.7,11.85,1.28,4763.0,56336.66,1
2026-05-21,11.72,12.14,11.72,12.14,3.58,4400.0,52820.0,1
2026-05-22,11.78,12.13,11.64,11.98,1.7,12400.0,146198.2,1
2026-05-25,12.33,12.33,11.81,11.83,-4.06,231835.0,2751209.1,-1
2026-05-26,11.84,12.0,11.76,12.0,1.35,20900.0,249117.0,1
2026-05-27,11.75,12.56,11.75,12.25,4.26,37450.0,460338.4,1
2026-06-01,12.0,12.36,11.66,11.99,-0.08,19550.0,234560.0,-1
2026-06-02,12.0,12.05,11.7,11.99,-0.08,6900.0,82483.0,-1
2026-06-03,11.99,12.2,11.8,11.87,-1.0,11586.0,138262.9,-1
2026-06-04,11.59,12.2,11.59,12.1,4.4,275300.0,3338902.0,1
2026-06-05,11.8,12.16,11.8,12.16,3.05,1300.0,15429.0,1
2026-06-08,11.87,11.88,11.87,11.88,0.08,250.0,2969.0,1
2026-06-09,11.54,11.88,11.54,11.88,2.95,1970.0,23089.6,1
2026-06-10,11.63,11.8,11.63,11.65,0.17,1000.0,11673.0,1
2026-06-11,11.65,11.97,11.4,11.75,0.86,261800.0,3007090.0,1
2026-06-12,11.5,11.8,11.5,11.6,0.87,60400.0,712618.0,1
2026-06-15,11.58,11.85,11.58,11.7,1.04,1352532.0,15824622.9,1
2026-06-16,11.6,11.75,11.6,11.75,1.29,5251.0,61412.25,1
2026-06-17,11.75,11.97,11.63,11.97,1.87,332421.0,3906941.89,1
2026-06-18,11.63,12.32,11.63,12.32,5.93,1100.0,13089.0,1
2026-06-19,11.96,11.96,11.96,11.96,0.0,1350.0,16146.0,0
2026-06-22,11.96,12.31,11.61,12.31,2.93,3840.0,45984.4,1
2026-06-23,11.95,12.0,11.95,12.0,0.42,1910.0,22855.0,1
2026-06-24,12.0,12.0,11.49,11.53,-3.92,2600.0,30353.0,-1
2026-06-25,11.53,11.8,11.53,11.53,0.0,4900.0,56578.0,0
2026-06-26,11.5,11.61,11.5,11.5,0.0,11499.0,133406.29,0
2026-06-29,11.5,11.6,11.32,11.35,-1.3,1036981.0,11774180.57,-1
2026-06-30,11.11,11.78,11.11,11.35,2.16,502900.0,5716310.54,1
2026-07-01,11.35,11.58,11.25,11.35,0.0,1200.0,13751.0,0
2026-07-02,11.36,12.19,11.36,11.95,5.19,26777.0,318420.95,1
2026-07-03,11.65,11.95,11.65,11.95,2.58,400.0,4722.0,1
2026-07-06,11.62,11.62,11.62,11.62,0.0,200.0,2324.0,0
2026-07-07,11.04,11.9,11.04,11.9,7.79,1650.0,19049.5,1
2026-07-08,11.65,12.12,11.65,12.12,4.03,2264.0,26994.58,1
2026-07-09,11.76,11.76,11.65,11.65,-0.94,700.0,8188.0,-1
