published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2025-12-08,1177.0,1177.0,1177.0,1177.0,0.0,15.0,17655.0,0
2025-12-15,1190.0,1190.0,1190.0,1190.0,0.0,30.0,35700.0,0
2025-12-24,1181.0,1181.0,1181.0,1181.0,0.0,25.0,29525.0,0
2025-12-31,1181.0,1181.0,1181.0,1181.0,0.0,50.0,59050.0,0
2026-01-01,1162.2,1162.2,1162.2,1162.2,0.0,25.0,29055.0,0
2026-01-06,1165.9,1165.9,1165.9,1165.9,0.0,25.0,29147.5,0
2026-01-08,1156.0,1156.0,1155.0,1155.0,-0.09,50.0,57762.6,-1
2026-01-12,1155.0,1155.0,1155.0,1155.0,0.0,25.0,28875.0,0
2026-01-13,1153.9,1167.1,1153.9,1167.1,1.14,85.0,99071.5,1
2026-01-18,1145.0,1145.0,1145.0,1145.0,0.0,100.0,114500.0,0
2026-01-20,1140.0,1140.0,1140.0,1140.0,0.0,11.0,12540.0,0
2026-01-28,1140.0,1140.0,1120.0,1120.0,-1.75,50.0,56500.0,-1
2026-01-29,1130.0,1130.0,1130.0,1130.0,0.0,25.0,28250.0,0
2026-02-11,1130.0,1130.0,1130.0,1130.0,0.0,25.0,28250.0,0
2026-02-12,1152.5,1152.5,1152.5,1152.5,0.0,25.0,28812.5,0
2026-02-23,1150.0,1150.0,1150.0,1150.0,0.0,100.0,115000.0,0
2026-02-24,1160.0,1174.0,1160.0,1174.0,1.21,191.0,222906.0,1
2026-02-25,1170.0,1170.0,1170.0,1170.0,0.0,25.0,29250.0,0
2026-03-15,1146.7,1169.6,1146.7,1169.6,2.0,50.0,57907.5,1
2026-03-22,1169.6,1191.8,1169.6,1191.8,1.9,125.0,148101.0,1
2026-03-29,1168.7,1168.7,1124.8,1124.8,-3.76,125.0,142755.0,-1
2026-03-30,1127.0,1127.0,1125.0,1126.4,-0.05,241.0,271264.9,-1
2026-04-01,1127.9,1127.9,1127.9,1127.9,0.0,25.0,28197.5,0
2026-04-07,1130.0,1130.0,1130.0,1130.0,0.0,30.0,33900.0,0
2026-04-10,1152.6,1175.6,1152.6,1175.6,2.0,100.0,117330.0,1
2026-04-13,1193.0,1194.0,1193.0,1194.0,0.08,115.0,137220.0,1
2026-04-16,1170.2,1170.2,1170.2,1170.2,0.0,25.0,29255.0,0
2026-04-22,1197.5,1197.5,1162.0,1162.0,-2.96,65.0,76062.5,-1
2026-04-24,1162.0,1162.0,1140.5,1140.0,-1.89,35.0,40330.5,-1
2026-04-27,1140.0,1140.0,1140.0,1100.0,-3.51,5.0,5500.0,-1
