published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2020-07-23,96.00,96.00,96.00,96.00,-1.03,20.00,1920.00,-1
2020-07-26,95.00,102.00,94.00,95.00,-1.04,11360.00,1122190.00,-1
2020-07-27,94.00,94.00,93.00,93.00,-2.11,60.00,5630.00,-1
2020-07-28,92.00,92.00,88.00,91.00,-2.15,540.00,48520.00,-1
2020-07-29,95.00,96.00,91.00,91.00,0.00,900.00,84600.00,0
2020-07-30,91.00,94.00,90.00,91.00,0.00,800.00,73250.00,0
2020-08-02,90.00,98.00,88.00,97.00,6.59,7960.00,739280.00,1
2020-08-03,101.00,101.00,95.00,95.00,-2.06,13940.00,1406280.00,-1
2020-08-06,94.00,94.00,86.00,90.00,-5.26,1770.00,153820.00,-1
2020-08-09,89.00,92.00,89.00,89.00,-1.11,500.00,45210.00,-1
2020-08-10,88.00,93.00,81.00,92.00,3.37,5060.00,435630.00,1
2020-08-11,96.00,97.00,94.00,94.00,2.17,280.00,26780.00,1
2020-08-12,93.00,93.00,91.00,91.00,-3.19,40.00,3670.00,-1
2020-08-13,90.00,90.00,87.00,87.00,-4.40,570.00,50690.00,-1
2020-08-16,86.00,93.00,86.00,92.00,5.75,1080.00,97220.00,1
2020-08-17,96.00,96.00,95.00,95.00,3.26,100.00,9550.00,1
2020-08-18,99.00,99.00,93.00,93.00,-2.11,200.00,19030.00,-1
2020-08-19,92.00,92.00,90.00,90.00,-3.23,220.00,19940.00,-1
2020-08-20,89.00,91.00,85.00,90.00,0.00,1760.00,153720.00,0
2020-08-24,94.00,94.00,90.00,92.00,2.22,250.00,22990.00,1
2020-08-25,96.00,96.00,96.00,96.00,4.35,40.00,3840.00,1
2020-08-26,96.00,98.00,95.00,97.00,1.04,2152.00,206024.00,1
2020-08-27,101.00,105.00,88.00,95.00,-2.06,41140.00,4218970.00,-1
2020-08-30,99.00,99.00,96.00,96.00,1.05,40.00,3900.00,1
2020-08-31,100.00,100.00,87.00,89.00,-7.29,13068.00,1164774.00,-1
2020-09-02,93.00,97.00,89.00,97.00,8.99,15150.00,1416378.00,1
2020-09-03,101.00,102.00,92.00,99.00,2.06,51010.00,5173190.00,1
2020-09-06,103.00,103.00,90.00,95.00,-4.04,13220.00,1278160.00,-1
2020-09-07,99.00,99.00,96.00,96.00,1.05,1480.00,144090.00,1
2020-09-08,100.00,100.00,90.00,94.00,-2.08,5840.00,535360.00,-1
2020-09-09,93.00,93.00,90.00,92.00,-2.13,4080.00,371480.00,-1
2020-09-10,96.00,96.00,89.00,91.00,-1.09,7560.00,680820.00,-1
