published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2025-12-08,1175.0,1175.0,1150.0,1150.0,-2.13,37576.0,43360859.0,-1
2025-12-09,1155.0,1167.0,1150.0,1150.7,-0.37,30268.0,34954654.8,-1
2025-12-10,1170.0,1170.0,1147.1,1147.5,-1.92,22930.0,26411299.2,-1
2025-12-11,1149.0,1160.5,1149.0,1150.1,0.1,28597.0,32985074.5,1
2025-12-14,1160.0,1161.0,1144.0,1145.0,-1.29,27431.0,31485149.6,-1
2025-12-15,1144.0,1155.0,1140.0,1149.0,0.44,31056.0,35626959.7,1
2025-12-16,1152.0,1159.9,1148.0,1158.0,0.52,13639.0,15749731.7,1
2025-12-17,1160.0,1169.0,1150.0,1150.0,-0.86,26121.0,30332789.4,-1
2025-12-18,1140.0,1158.0,1140.0,1148.8,0.77,30447.0,35020789.6,1
2025-12-21,1155.0,1158.0,1140.2,1146.0,-0.78,28304.0,32422333.2,-1
2025-12-22,1140.0,1148.5,1138.0,1139.0,-0.09,23952.0,27307890.0,-1
2025-12-23,1139.0,1159.0,1130.0,1132.1,-0.61,21938.0,24907656.5,-1
2025-12-24,1154.0,1154.0,1130.1,1132.2,-1.89,18381.0,20847064.9,-1
2025-12-28,1140.0,1166.0,1136.0,1166.0,2.28,41346.0,47584841.2,1
2025-12-29,1170.0,1174.0,1150.0,1150.0,-1.71,31197.0,36112229.9,-1
2025-12-31,1160.0,1165.0,1151.0,1164.0,0.34,32838.0,38133158.3,1
2026-01-01,1164.0,1170.0,1155.0,1156.1,-0.68,35545.0,41208240.1,-1
2026-01-04,1150.0,1156.0,1136.0,1144.0,-0.52,69641.0,79737617.8,-1
2026-01-05,1140.0,1169.0,1140.0,1160.0,1.75,71070.0,82313324.4,1
2026-01-06,1183.2,1206.0,1160.0,1165.2,-1.52,137438.0,161288227.9,-1
2026-01-07,1179.7,1179.7,1155.0,1155.5,-2.05,39284.0,45572291.6,-1
2026-01-08,1170.0,1170.0,1149.0,1152.0,-1.54,48898.0,56302034.3,-1
2026-01-12,1152.0,1160.0,1142.9,1145.9,-0.53,77408.0,88849150.6,-1
2026-01-13,1147.0,1157.0,1140.0,1143.0,-0.35,48165.0,55084655.0,-1
2026-01-14,1150.0,1150.0,1135.0,1139.0,-0.96,75998.0,86550513.5,-1
2026-01-18,1150.0,1158.0,1135.0,1139.0,-0.96,103115.0,118115051.7,-1
2026-01-20,1160.0,1168.5,1149.0,1161.9,0.16,124358.0,144037115.2,1
2026-01-21,1161.1,1179.0,1150.2,1158.0,-0.27,83212.0,96566511.8,-1
2026-01-22,1155.0,1164.0,1148.0,1152.2,-0.24,71904.0,82855323.5,-1
2026-01-25,1175.2,1175.2,1155.0,1164.0,-0.95,109081.0,126539897.2,-1
2026-01-26,1170.0,1180.0,1162.0,1169.0,-0.09,119682.0,139974975.2,-1
2026-01-27,1145.7,1178.9,1145.7,1152.0,0.55,87901.0,102054341.5,1
2026-01-28,1152.0,1161.0,1146.0,1155.0,0.26,77360.0,89028432.3,1
2026-01-29,1161.1,1161.1,1150.4,1151.0,-0.87,81821.0,94526250.9,-1
2026-02-01,1151.0,1160.0,1150.0,1151.0,0.0,65968.0,76039961.0,0
2026-02-02,1163.0,1163.0,1145.0,1148.0,-1.29,61474.0,70627680.3,-1
2026-02-03,1148.0,1154.0,1135.2,1139.0,-0.78,81053.0,92579561.2,-1
2026-02-04,1150.0,1150.0,1135.0,1136.0,-1.22,58378.0,66520166.1,-1
2026-02-05,1140.0,1149.0,1138.0,1141.0,0.09,50174.0,57253949.9,1
2026-02-08,1163.8,1163.8,1140.0,1143.0,-1.79,66291.0,75943810.9,-1
2026-02-09,1150.0,1150.0,1135.0,1139.0,-0.96,50110.0,57040245.9,-1
2026-02-10,1150.0,1150.0,1133.5,1136.0,-1.22,42723.0,48554707.1,-1
2026-02-11,1143.0,1146.8,1135.0,1136.1,-0.6,35684.0,40611585.9,-1
2026-02-12,1140.0,1145.0,1130.0,1137.5,-0.22,52164.0,59363873.9,-1
2026-02-16,1150.0,1150.0,1136.0,1137.7,-1.07,43826.0,49992238.3,-1
2026-02-17,1137.7,1145.0,1133.0,1134.0,-0.33,56083.0,63639011.3,-1
2026-02-22,1134.0,1144.5,1128.0,1135.0,0.09,80601.0,91453752.8,1
