published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2025-12-08,490.0,504.8,490.0,497.0,1.43,9146.0,4534620.8,1
2025-12-09,500.0,503.0,495.0,499.5,-0.1,2797.0,1394502.1,-1
2025-12-10,500.0,500.0,488.0,495.9,-0.82,4663.0,2285764.9,-1
2025-12-11,495.9,496.0,486.6,496.0,0.02,3282.0,1621767.2,1
2025-12-14,490.0,497.3,487.6,489.0,-0.2,8204.0,4026821.4,-1
2025-12-15,485.0,493.0,480.0,482.0,-0.62,11446.0,5524538.9,-1
2025-12-16,486.1,492.0,476.1,489.5,0.7,2532.0,1232615.3,1
2025-12-17,491.9,498.0,490.0,498.0,1.24,6178.0,3032237.3,1
2025-12-18,507.9,507.9,481.0,498.0,-1.95,5491.0,2717352.7,-1
2025-12-21,488.1,503.9,482.1,503.9,3.24,12659.0,6275395.2,1
2025-12-22,494.0,496.9,485.0,496.9,0.59,4436.0,2170892.0,1
2025-12-23,500.0,501.0,490.0,501.0,0.2,7964.0,3976212.8,1
2025-12-24,491.0,501.0,491.0,500.0,1.83,5555.0,2766955.5,1
2025-12-28,500.0,510.0,495.0,510.0,2.0,24244.0,12235351.2,1
2025-12-29,504.0,511.0,501.0,510.0,1.19,17159.0,8695123.4,1
2025-12-31,506.5,515.0,506.5,514.0,1.48,10985.0,5639392.6,1
2026-01-01,512.7,512.7,504.2,507.0,-1.11,8509.0,4320647.3,-1
2026-01-04,513.0,513.0,502.5,506.0,-1.36,15209.0,7696616.2,-1
2026-01-05,500.0,507.0,500.0,506.0,1.2,1475.0,741257.9,1
2026-01-06,514.9,514.9,504.0,507.0,-1.53,13087.0,6625649.6,-1
2026-01-07,507.0,507.0,500.1,506.0,-0.2,7187.0,3620334.4,-1
2026-01-08,506.0,509.0,500.0,508.9,0.57,5181.0,2620519.7,1
2026-01-12,508.9,512.0,500.1,507.5,-0.28,5763.0,2899249.4,-1
2026-01-13,500.0,507.0,499.0,504.0,0.8,3510.0,1769819.2,1
2026-01-14,498.0,505.0,497.0,504.9,1.39,2451.0,1230349.4,1
2026-01-18,514.7,514.7,498.0,514.7,0.0,11010.0,5561789.4,0
2026-01-20,515.0,529.9,505.1,526.0,2.14,19072.0,9980146.0,1
2026-01-21,520.1,525.0,515.0,523.0,0.56,7735.0,4023167.9,1
2026-01-22,517.0,525.0,516.5,523.9,1.33,5507.0,2858172.8,1
2026-01-25,524.0,539.0,520.1,535.0,2.1,11493.0,6093985.9,1
2026-01-26,540.0,540.0,525.2,530.0,-1.85,10483.0,5535203.5,-1
2026-01-27,521.5,530.0,515.0,516.0,-1.05,13235.0,6890194.6,-1
2026-01-28,515.0,519.9,512.5,519.9,0.95,5375.0,2774282.8,1
2026-01-29,510.1,525.0,510.1,513.6,0.69,11453.0,5916824.0,1
2026-02-01,513.0,520.0,513.0,517.0,0.78,14696.0,7593826.2,1
2026-02-02,507.3,516.8,506.1,513.0,1.12,11162.0,5689965.3,1
2026-02-03,513.0,515.0,502.0,511.0,-0.39,8760.0,4458353.0,-1
2026-02-04,518.9,518.9,503.5,510.0,-1.72,3827.0,1933732.1,-1
2026-02-05,510.0,516.1,505.2,516.0,1.18,4584.0,2351092.9,1
2026-02-08,523.0,524.0,515.0,515.0,-1.53,9317.0,4810982.3,-1
2026-02-09,510.0,511.0,503.0,505.0,-0.98,6936.0,3507246.9,-1
2026-02-10,495.1,507.0,495.1,506.0,2.2,8753.0,4387452.5,1
2026-02-11,505.0,508.0,500.0,507.0,0.4,9456.0,4758709.0,1
2026-02-12,506.9,507.8,500.0,502.0,-0.97,12055.0,6064479.7,-1
2026-02-16,502.0,506.9,495.5,506.4,0.88,15134.0,7575298.3,1
2026-02-17,498.0,505.0,490.0,495.0,-0.6,33994.0,16806739.7,-1
