published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2025-12-08,342.7,342.7,330.4,335.0,-2.25,14218.0,4781481.7,-1
2025-12-09,332.0,339.0,332.0,334.0,0.6,16302.0,5465229.3,1
2025-12-10,340.3,340.3,328.0,333.0,-2.15,108510.0,35844493.2,-1
2025-12-11,339.6,339.6,326.5,331.5,-2.39,11435.0,3785202.2,-1
2025-12-14,325.1,335.0,325.0,327.0,0.58,31298.0,10245075.4,1
2025-12-15,328.0,330.0,324.1,328.0,0.0,23176.0,7575140.8,0
2025-12-16,326.0,331.9,326.0,326.5,0.15,20104.0,6592321.4,1
2025-12-17,330.0,331.7,326.0,327.0,-0.91,14983.0,4928323.6,-1
2025-12-18,327.0,330.0,324.0,324.1,-0.89,30259.0,9870420.7,-1
2025-12-21,318.2,327.0,318.2,322.0,1.19,21580.0,6976165.7,1
2025-12-22,318.0,325.0,318.0,321.0,0.94,14238.0,4580033.6,1
2025-12-23,326.0,326.0,318.1,322.9,-0.95,12520.0,4009168.9,-1
2025-12-24,328.9,328.9,320.0,320.7,-2.49,30436.0,9766230.7,-1
2025-12-28,322.6,326.5,321.1,325.8,0.99,31920.0,10323213.2,1
2025-12-29,319.5,329.0,319.5,324.0,1.41,81719.0,26488549.9,1
2025-12-31,324.2,329.8,324.0,324.9,0.22,37574.0,12226415.2,1
2026-01-01,321.6,328.1,321.6,324.0,0.75,23358.0,7555682.7,1
2026-01-04,323.0,323.0,319.0,321.0,-0.62,13483.0,4323906.7,-1
2026-01-05,321.0,327.0,319.1,327.0,1.87,20939.0,6783591.4,1
2026-01-06,330.0,330.0,323.0,323.0,-2.12,25360.0,8256806.2,-1
2026-01-07,321.3,326.0,321.3,324.9,1.12,15885.0,5155645.4,1
2026-01-08,318.5,325.5,318.5,324.0,1.73,18756.0,6084347.5,1
2026-01-12,330.0,330.0,320.2,321.0,-2.73,20353.0,6557557.7,-1
2026-01-13,321.9,325.9,320.3,325.0,0.96,32599.0,10547512.2,1
2026-01-14,323.0,338.0,323.0,330.0,2.17,84649.0,28059568.2,1
2026-01-18,335.0,335.0,330.0,332.0,-0.9,28548.0,9507223.5,-1
2026-01-20,332.0,339.9,332.0,337.0,1.51,54090.0,18200554.7,1
2026-01-21,341.0,341.0,334.0,336.0,-1.47,30321.0,10190953.3,-1
2026-01-22,332.5,340.0,332.5,336.9,1.32,26303.0,8844318.4,1
2026-01-25,339.0,348.0,339.0,344.2,1.53,63526.0,21923086.9,1
2026-01-26,344.0,352.0,341.1,349.8,1.69,85862.0,29788395.4,1
2026-01-27,351.0,353.1,339.1,340.0,-3.13,91464.0,31608068.6,-1
