published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2025-12-08,180.4,184.3,180.4,182.1,0.94,69856.0,12784778.8,1
2025-12-09,183.0,184.3,182.0,183.5,0.27,115283.0,21108915.9,1
2025-12-10,182.2,184.3,181.1,182.0,-0.11,96416.0,17523286.9,-1
2025-12-11,181.0,182.5,180.1,181.3,0.17,63799.0,11557151.7,1
2025-12-14,181.0,183.3,180.2,180.4,-0.33,144006.0,26042606.3,-1
2025-12-15,180.0,182.4,180.0,180.7,0.39,86680.0,15685190.1,1
2025-12-16,180.3,183.0,180.3,182.1,1.0,49587.0,9022364.3,1
2025-12-17,182.1,183.4,181.4,182.4,0.16,59897.0,10925842.3,1
2025-12-18,182.5,183.5,180.7,181.0,-0.82,100454.0,18216379.6,-1
2025-12-21,182.8,183.8,179.0,180.9,-1.04,132124.0,23807765.3,-1
2025-12-22,179.0,180.6,178.6,178.6,-0.22,118109.0,21171556.8,-1
2025-12-23,178.1,179.0,174.4,177.9,-0.11,85587.0,15135825.4,-1
2025-12-24,178.0,179.2,176.2,177.9,-0.06,56565.0,10050301.0,-1
2025-12-28,180.0,184.0,178.0,184.0,2.22,162233.0,29528656.8,1
