published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2025-12-08,989.8,1071.0,940.4,1030.0,4.06,71075.0,69556538.5,1
2025-12-09,1009.4,1050.6,949.8,990.0,-1.92,37481.0,36265267.5,-1
2025-12-10,970.2,971.0,923.3,940.0,-3.11,20829.0,19469104.9,-1
2025-12-11,921.2,943.0,900.0,921.0,-0.02,34226.0,31215875.4,-1
2025-12-14,939.4,958.0,902.3,935.0,-0.47,37414.0,34306210.1,-1
2025-12-15,916.3,950.0,866.0,870.0,-5.05,24741.0,22102188.6,-1
2025-12-16,852.6,899.0,845.0,853.0,0.05,24683.0,21155098.9,1
2025-12-17,853.0,889.0,840.0,855.5,0.29,25652.0,22169531.5,1
2025-12-18,838.4,873.0,825.0,848.0,1.15,20025.0,17214451.5,1
2025-12-21,831.1,873.0,831.1,840.0,1.07,14274.0,12046411.8,1
2025-12-22,825.4,840.0,803.1,803.1,-2.7,22903.0,18846905.9,-1
2025-12-23,787.1,826.0,787.1,825.4,4.87,19025.0,15402931.6,1
2025-12-24,808.9,881.2,808.9,860.0,6.32,50360.0,43141732.1,1
2025-12-28,860.0,895.0,830.0,885.0,2.91,34201.0,30149413.1,1
2025-12-29,885.0,900.0,846.0,863.0,-2.49,33092.0,28422031.2,-1
2025-12-31,850.0,878.0,841.0,841.0,-1.06,27418.0,23476598.1,-1
2026-01-01,824.2,924.0,824.2,909.0,10.29,61540.0,54760254.9,1
2026-01-04,909.0,909.0,878.0,902.0,-0.77,32730.0,29223304.2,-1
2026-01-05,884.0,992.0,884.0,979.0,10.75,81879.0,78044316.6,1
2026-01-06,985.0,1005.0,924.0,935.3,-5.05,41564.0,39428139.9,-1
2026-01-07,916.6,949.0,899.0,944.0,2.99,24634.0,22700450.6,1
2026-01-08,925.2,1000.0,913.0,947.0,2.36,37445.0,34851745.6,1
2026-01-12,928.1,972.0,910.0,935.0,0.74,46198.0,43335829.1,1
2026-01-13,922.0,957.0,905.0,913.0,-0.98,42562.0,39297269.1,-1
2026-01-14,913.0,919.0,891.0,899.0,-1.53,21208.0,19068536.3,-1
2026-01-18,882.0,930.0,882.0,919.0,4.2,26544.0,24300895.3,1
2026-01-20,934.9,936.0,902.0,919.0,-1.7,32744.0,30059126.3,-1
2026-01-21,920.0,925.0,895.0,900.0,-2.17,23726.0,21522813.6,-1
2026-01-22,900.0,955.0,891.0,950.0,5.56,63128.0,58805087.5,1
2026-01-25,931.0,1045.0,931.0,1045.0,12.24,96219.0,96938120.9,1
2026-01-26,1065.9,1149.5,1045.0,1149.5,7.84,82463.0,93441378.5,1
2026-01-27,1170.0,1264.0,1158.0,1171.0,0.09,63815.0,78061898.0,1
2026-01-28,1147.6,1213.0,1061.8,1150.0,0.21,63226.0,72286916.7,1
2026-01-29,1150.0,1174.0,1035.0,1050.0,-8.7,67887.0,73173027.9,-1
2026-02-01,1029.0,1050.0,980.0,980.2,-4.74,34438.0,34541659.8,-1
2026-02-02,960.6,1078.2,960.6,1078.2,12.24,47789.0,50636076.0,1
2026-02-03,1056.7,1143.0,1041.0,1068.0,1.07,32280.0,35032746.1,1
2026-02-04,1046.7,1100.0,990.1,1037.5,-0.88,22088.0,22707956.3,-1
2026-02-05,1050.0,1050.0,989.8,1009.0,-3.9,28766.0,28972053.2,-1
2026-02-08,1010.0,1034.0,990.0,1000.0,-0.99,22446.0,22613533.8,-1
2026-02-09,1000.0,1015.0,936.0,958.0,-4.2,30313.0,29417439.3,-1
2026-02-10,938.9,1024.9,938.9,985.0,4.91,29986.0,29819198.1,1
2026-02-11,1000.0,1004.7,940.0,958.0,-4.2,17687.0,17064796.3,-1
2026-02-12,950.0,978.0,935.2,956.0,0.63,14019.0,13340959.1,1
2026-02-16,941.0,978.0,937.0,957.0,1.7,17505.0,16670010.7,1
2026-02-17,950.0,975.0,930.0,937.9,-1.27,17947.0,17030742.7,-1
2026-02-22,919.2,940.0,903.6,905.0,-1.54,12777.0,11755137.1,-1
2026-02-23,886.9,969.0,886.9,958.9,8.12,27929.0,26145451.9,1
2026-02-24,939.8,979.2,939.8,970.2,3.23,21992.0,21256028.1,1
2026-02-25,970.2,1005.0,951.0,1000.0,3.07,22686.0,22527509.3,1
2026-02-26,980.0,1060.0,965.0,1060.0,8.16,24397.0,24291643.6,1
2026-03-01,1038.8,1038.8,960.4,1015.9,-2.2,25784.0,25744338.8,-1
2026-03-03,995.6,1044.0,976.1,1016.0,2.05,32609.0,32735579.9,1
2026-03-09,1036.3,1117.0,1036.3,1117.0,7.79,1605.0,1753183.0,1
2026-03-10,1117.0,1117.0,1029.0,1046.0,-6.36,39493.0,41610787.7,-1
2026-03-11,1050.0,1050.0,990.0,1014.0,-3.43,36524.0,37057346.0,-1
2026-03-12,995.0,1028.0,977.0,999.0,0.4,25383.0,25269926.0,1
2026-03-15,1014.9,1018.0,963.0,966.0,-4.82,21244.0,20713305.4,-1
2026-03-16,966.0,971.0,941.0,941.0,-2.59,14001.0,13346886.7,-1
2026-03-17,946.0,995.0,943.0,967.9,2.32,9350.0,8962787.3,1
2026-03-19,979.0,985.0,956.0,970.0,-0.92,11510.0,11176144.4,-1
2026-03-22,970.0,985.0,950.7,962.0,-0.82,15667.0,15089400.8,-1
2026-03-23,950.0,969.0,940.1,958.0,0.84,15172.0,14411503.3,1
2026-03-24,958.0,976.0,940.0,945.0,-1.36,8388.0,7939711.4,-1
2026-03-25,935.1,985.0,935.1,980.0,4.8,19591.0,18844802.6,1
2026-03-26,980.0,1032.0,975.0,1025.0,4.59,39897.0,40239078.9,1
2026-03-29,1005.0,1009.0,975.0,975.0,-2.99,26565.0,26340278.4,-1
2026-03-30,972.0,990.0,937.0,961.0,-1.13,14315.0,13740698.9,-1
2026-03-31,960.0,965.0,928.0,959.0,-0.1,10433.0,9837860.3,-1
2026-04-01,942.0,944.0,910.0,931.0,-1.17,11755.0,10882247.3,-1
2026-04-02,914.0,928.0,880.2,910.0,-0.44,8341.0,7557076.9,-1
2026-04-05,892.0,892.0,819.0,827.0,-7.29,15686.0,13313874.5,-1
2026-04-06,810.5,894.8,805.0,873.0,7.71,9777.0,8410021.7,1
2026-04-07,890.0,904.9,848.0,849.0,-4.61,7834.0,6805455.0,-1
2026-04-08,865.0,918.0,850.0,906.6,4.81,12632.0,11235978.5,1
