published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2025-12-08,900.0,918.0,900.0,918.0,2.0,3208.0,2921975.1,1
2025-12-09,905.8,930.0,905.2,923.0,1.9,3469.0,3213994.3,1
2025-12-10,922.0,922.0,915.0,915.0,-0.76,2032.0,1863554.6,-1
2025-12-11,915.0,926.0,906.3,926.0,1.2,1324.0,1208981.9,1
2025-12-14,915.0,920.0,911.1,920.0,0.55,399.0,364830.6,1
2025-12-15,910.2,930.0,908.0,915.3,0.56,6262.0,5735700.9,1
2025-12-16,925.0,952.0,919.0,952.0,2.92,6166.0,5799021.0,1
2025-12-17,945.0,949.5,932.1,940.0,-0.53,500.0,470159.8,-1
2025-12-18,930.0,930.0,925.1,925.1,-0.53,757.0,700905.0,-1
2025-12-21,925.1,927.0,915.3,927.0,0.21,210.0,192955.0,1
