published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2025-12-08,816.3,837.0,816.3,826.0,1.19,69824.0,57778313.3,1
2025-12-09,822.0,838.0,811.0,828.0,0.73,99970.0,82802954.3,1
2025-12-10,844.5,844.5,820.0,825.0,-2.31,79909.0,66024748.0,-1
2025-12-11,820.0,840.0,820.0,828.7,1.06,73622.0,60935855.9,1
2025-12-14,838.1,838.1,821.1,823.0,-1.8,65169.0,53794813.7,-1
2025-12-15,822.0,832.0,817.4,824.9,0.35,92023.0,75654199.5,1
2025-12-16,841.0,841.0,825.0,838.0,-0.36,114875.0,95759218.5,-1
2025-12-17,830.0,849.0,830.0,841.9,1.43,125526.0,105854287.5,1
2025-12-18,855.0,855.0,830.0,831.0,-2.81,83823.0,70077260.9,-1
2025-12-21,815.3,847.0,815.0,818.0,0.33,103517.0,85098801.5,1
2025-12-22,801.7,835.0,801.7,814.0,1.53,71060.0,58005723.1,1
2025-12-23,800.0,832.0,800.0,816.1,2.01,60158.0,49072870.8,1
2025-12-24,810.0,828.5,810.0,817.0,0.86,66894.0,54815145.5,1
2025-12-28,820.0,845.0,820.0,842.0,2.68,166848.0,139062884.0,1
2025-12-29,842.0,865.0,831.0,836.0,-0.71,129486.0,109252168.0,-1
2025-12-31,836.0,854.0,830.1,846.1,1.21,152430.0,129159132.4,1
2026-01-01,863.0,863.0,838.1,838.7,-2.82,114531.0,96704307.4,-1
2026-01-04,822.0,855.0,822.0,831.1,1.11,79995.0,66764526.4,1
2026-01-05,840.0,845.0,825.0,839.5,-0.06,116151.0,97182134.1,-1
2026-01-06,856.2,856.2,839.0,845.0,-1.31,146436.0,123763725.7,-1
2026-01-07,861.9,861.9,833.0,834.0,-3.24,59371.0,49791438.2,-1
