published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2019-06-27,144.00,148.00,143.00,144.00,-1.37,2020.00,290930.00,-1
2019-06-30,142.00,145.00,142.00,142.00,-1.39,3730.00,532020.00,-1
2019-07-01,141.00,144.00,139.00,141.00,-0.70,6390.00,896660.00,-1
2019-07-02,139.00,143.00,139.00,141.00,0.00,721.00,101717.00,0
2019-07-03,139.00,142.00,139.00,140.00,-0.71,1100.00,154080.00,-1
2019-07-04,140.00,142.00,139.00,140.00,0.00,1410.00,197740.00,0
2019-07-07,142.00,142.00,139.00,140.00,0.00,1340.00,187260.00,0
2019-07-08,142.00,150.00,139.00,140.00,0.00,1830.00,258190.00,0
2019-07-09,140.00,142.00,139.00,141.00,0.71,2186.00,307570.00,1
2019-07-10,140.00,142.00,139.00,140.00,-0.71,1615.00,227690.00,-1
2019-07-11,140.00,140.00,139.00,139.00,-0.71,1720.00,239990.00,-1
2019-07-14,140.00,140.00,138.00,139.00,0.00,1200.00,166570.00,0
2019-07-15,139.00,141.00,138.00,139.00,0.00,3030.00,423440.00,0
2019-07-16,139.00,142.00,139.00,139.00,0.00,1340.00,188120.00,0
2019-07-17,138.00,141.00,138.00,140.00,0.72,2630.00,367940.00,1
2019-07-18,140.00,143.00,140.00,142.00,1.43,680.00,95860.00,1
2019-07-21,144.00,145.00,144.00,145.00,2.11,40.00,5780.00,1
2019-07-22,143.00,143.00,139.00,143.00,-1.38,1450.00,203110.00,-1
2019-07-23,141.00,141.00,138.00,139.00,-2.80,1230.00,170795.00,-1
2019-07-24,140.00,142.00,138.00,138.00,-0.72,2060.00,286530.00,-1
2019-07-25,138.00,140.00,138.00,138.00,0.00,1335.00,184570.00,0
2019-07-28,136.00,138.00,131.00,136.00,-1.45,11417.00,1510502.00,-1
2019-07-29,138.00,138.00,134.00,134.00,-1.47,3748.00,511848.00,-1
2019-07-30,132.00,138.00,132.00,135.00,0.75,1610.00,218230.00,1
2019-07-31,133.00,138.00,133.00,136.00,0.74,990.00,134260.00,1
2019-08-01,136.00,142.00,136.00,140.00,2.94,830.00,114910.00,1
2019-08-04,140.00,140.00,134.00,136.00,-2.86,730.00,99760.00,-1
2019-08-05,137.00,138.00,134.00,137.00,0.74,650.00,88360.00,1
2019-08-06,135.00,136.00,133.00,134.00,-2.19,690.00,92680.00,-1
2019-08-07,132.00,136.00,131.00,131.00,-2.24,3450.00,455660.00,-1
