published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2025-12-08,1160.0,1160.0,1160.0,1160.0,0.0,100.0,116000.0,0
2025-12-09,1178.0,1183.2,1150.0,1150.0,-2.38,180.0,210731.5,-1
2025-12-10,1150.0,1150.0,1138.0,1138.0,-1.04,95.0,108950.0,-1
2025-12-15,1150.0,1160.0,1137.0,1137.0,-1.13,100.0,114600.0,-1
2025-12-17,1138.0,1140.0,1138.0,1140.0,0.18,75.0,85400.0,1
2025-12-18,1132.0,1140.0,1132.0,1140.0,0.71,65.0,73780.0,1
2025-12-21,1136.0,1208.7,1136.0,1208.7,6.4,264.0,309041.8,1
2025-12-22,1200.0,1215.0,1200.0,1216.0,1.33,405.0,488745.8,1
2025-12-24,1216.0,1216.0,1216.0,1191.7,-2.0,1.0,1191.7,-1
2025-12-28,1167.9,1174.0,1150.0,1151.0,-1.45,125.0,144847.5,-1
2025-12-29,1151.0,1162.0,1151.0,1162.0,0.96,130.0,150957.0,1
