published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2025-12-08,1270.5,1270.5,1195.0,1195.0,-5.94,20.0,24655.0,-1
2025-12-09,1195.0,1195.0,1195.0,1289.0,7.87,8.0,9921.0,1
2025-12-10,1289.0,1289.0,1289.0,1213.4,-5.87,10.0,12282.7,-1
2025-12-15,1213.4,1213.4,1119.0,1161.3,-4.29,160.0,185044.2,-1
2025-12-21,1161.3,1179.0,1161.3,1179.0,1.52,274.0,322603.5,1
2026-01-01,1162.1,1162.1,1162.1,1162.1,0.0,36.0,41835.6,0
2026-01-04,1151.0,1151.0,1151.0,1151.0,0.0,25.0,28775.0,0
2026-01-12,1151.0,1151.0,1142.0,1142.0,-0.78,55.0,63035.0,-1
2026-01-13,1131.0,1131.0,1131.0,1131.0,0.0,25.0,28275.0,0
2026-01-20,1112.1,1112.1,1112.0,1112.0,-0.01,275.0,305802.5,-1
2026-01-27,1110.0,1110.0,1106.1,1106.1,-0.35,50.0,55402.5,-1
2026-01-28,1106.0,1110.0,1106.0,1110.0,0.36,55.0,60950.0,1
2026-02-01,1130.0,1135.0,1116.0,1135.0,0.44,210.0,237185.0,1
2026-02-02,1121.0,1121.0,1105.0,1105.0,-1.43,60.0,66780.0,-1
2026-02-03,1113.0,1113.0,1113.0,1113.0,0.0,50.0,55650.0,0
2026-02-04,1110.0,1120.0,1110.0,1120.0,0.9,75.0,83750.0,1
2026-02-08,1142.4,1143.0,1142.4,1143.0,0.05,782.0,893522.4,1
2026-02-11,1126.0,1126.0,1126.0,1126.0,0.0,25.0,28150.0,0
2026-02-26,1128.0,1128.0,1128.0,1128.0,0.0,50.0,56400.0,0
2026-03-01,1131.0,1135.0,1131.0,1135.0,0.35,40.0,45300.0,1
2026-03-10,1136.8,1136.8,1136.8,1136.8,0.0,25.0,28420.0,0
2026-03-15,1135.0,1135.0,1135.0,1135.0,0.0,25.0,28375.0,0
2026-03-16,1130.7,1130.7,1130.7,1130.7,0.0,25.0,28267.5,0
2026-03-22,1151.0,1151.0,1151.0,1151.0,0.0,75.0,86325.0,0
2026-03-24,1140.0,1140.0,1140.0,1140.0,0.0,25.0,28500.0,0
2026-03-25,1162.8,1162.8,1162.8,1162.8,0.0,10.0,11628.0,0
2026-03-30,1153.7,1153.7,1153.7,1153.7,0.0,25.0,28842.5,0
2026-03-31,1155.0,1155.0,1155.0,1155.0,0.0,25.0,28875.0,0
2026-04-01,1145.0,1145.0,1145.0,1145.0,0.0,25.0,28625.0,0
2026-04-08,1140.0,1140.0,1140.0,1140.0,0.0,25.0,28500.0,0
2026-04-10,1140.0,1140.0,1140.0,1140.0,0.0,25.0,28500.0,0
2026-04-16,1143.0,1143.0,1143.0,1143.0,0.0,25.0,28575.0,0
2026-04-20,1140.0,1140.0,1140.0,1140.0,0.0,25.0,28500.0,0
2026-04-24,1140.0,1140.0,1140.0,1140.0,0.0,25.0,28500.0,0
2026-04-28,1140.0,1140.0,1140.0,1140.0,0.0,55.0,62700.0,0
2026-05-04,1133.0,1133.0,1133.0,1133.0,0.0,25.0,28325.0,0
2026-05-05,1132.0,1132.1,1132.0,1132.1,0.01,50.0,56602.5,1
