published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2021-06-09,845.00,860.00,832.00,833.00,-1.30,33987.00,28673351.00,-1
2021-06-10,835.00,850.00,825.00,827.00,-0.72,18758.00,15570375.00,-1
2021-06-13,815.00,837.00,815.00,822.00,-0.60,30095.00,24861456.00,-1
2021-06-14,822.00,840.00,819.00,823.00,0.12,28972.00,23832196.00,1
2021-06-15,840.00,840.00,818.00,820.00,-0.36,23191.00,19046397.00,-1
2021-06-16,805.00,820.00,800.00,812.00,-0.98,29681.00,24021165.00,-1
2021-06-17,812.00,820.00,801.00,812.00,0.00,18380.00,14943109.00,0
2021-06-20,820.00,820.00,794.00,799.00,-1.60,25125.00,20144272.00,-1
2021-06-21,787.00,800.00,780.00,781.00,-2.25,23502.00,18517466.00,-1
2021-06-22,790.00,795.00,779.00,793.00,1.54,14785.00,11623625.00,1
2021-06-23,800.00,800.00,778.00,778.00,-1.89,15007.00,11772517.00,-1
2021-06-24,740.00,785.00,740.00,768.00,-1.29,16325.00,12599370.00,-1
2021-06-27,768.00,783.00,760.00,768.00,0.00,16351.00,12477477.00,0
2021-06-28,760.00,777.00,760.00,763.00,-0.65,10425.00,7978375.00,-1
2021-06-29,761.00,765.00,751.00,751.00,-1.57,13622.00,10321178.00,-1
2021-06-30,747.00,750.00,728.00,744.00,-0.93,16555.00,12170208.00,-1
2021-07-01,731.00,753.00,731.00,742.00,-0.27,15500.00,11533022.00,-1
2021-07-04,750.00,755.00,735.00,742.00,0.00,14387.00,10655350.00,0
2021-07-05,742.00,745.00,731.00,733.00,-1.21,10028.00,7362327.00,-1
2021-07-06,730.00,735.00,722.00,725.00,-1.09,12200.00,8861431.00,-1
2021-07-07,722.00,725.00,717.00,723.00,-0.28,11568.00,8331990.00,-1
2021-07-08,711.00,734.00,711.00,730.00,0.97,11506.00,8321395.00,1
2021-07-11,735.00,756.00,730.00,756.00,3.56,14994.00,11188027.00,1
2021-07-12,793.00,793.00,739.00,741.00,-1.98,15758.00,11838065.00,-1
2021-07-13,740.00,755.00,730.00,744.00,0.40,8051.00,5975610.00,1
2021-07-14,781.00,781.00,736.00,744.00,0.00,5945.00,4416145.00,0
2021-07-15,744.00,755.00,731.00,745.00,0.13,10633.00,7920269.00,1
2021-07-18,745.00,775.00,740.00,774.50,3.96,15732.00,11917187.00,1
2021-07-19,789.90,790.00,755.00,770.00,-0.58,15381.00,11903247.60,-1
2021-07-20,760.00,765.00,760.00,764.00,-0.78,10932.00,8319658.00,-1
2021-07-22,760.00,765.00,755.00,765.00,0.13,14497.00,11019531.20,1
2021-07-25,754.00,774.00,754.00,771.00,0.78,20704.00,15909562.00,1
2021-07-26,770.00,790.00,770.00,784.00,1.69,24766.00,19312647.00,1
2021-07-27,790.00,794.00,781.00,790.00,0.77,19337.00,15202210.00,1
2021-07-28,780.00,806.00,780.00,806.00,2.03,27849.00,22295543.20,1
2021-07-29,806.00,826.20,793.90,803.00,-0.37,29078.00,23506247.60,-1
2021-08-01,790.00,802.00,790.00,794.00,-1.12,21164.00,16838504.50,-1
2021-08-02,790.00,795.00,778.00,781.70,-1.55,14897.00,11690260.80,-1
2021-08-03,795.00,795.00,780.00,787.00,0.68,12078.00,9456566.90,1
2021-08-04,783.00,791.00,783.00,786.00,-0.13,15374.00,12095073.00,-1
