published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2019-06-17,85.00,85.00,83.00,84.00,-2.33,480.00,40420.00,-1
2019-06-18,83.00,84.00,83.00,84.00,0.00,480.00,40220.00,0
2019-06-19,83.00,85.00,83.00,84.00,0.00,260.00,21800.00,0
2019-06-20,80.00,85.00,80.00,84.00,0.00,470.00,38550.00,0
2019-06-23,83.00,84.00,82.00,83.00,-1.19,640.00,53040.00,-1
2019-06-24,82.00,83.00,80.00,83.00,0.00,760.00,62120.00,0
2019-06-25,82.00,83.00,81.00,83.00,0.00,390.00,32030.00,0
2019-06-26,82.00,83.00,81.00,82.00,-1.20,760.00,62500.00,-1
2019-06-27,81.00,84.00,81.00,83.00,1.22,480.00,39470.00,1
2019-06-30,79.00,82.00,79.00,81.00,-2.41,860.00,69500.00,-1
2019-07-01,80.00,81.00,79.00,80.00,-1.23,950.00,75740.00,-1
2019-07-02,81.00,81.00,79.00,80.00,0.00,530.00,42150.00,0
2019-07-03,79.00,80.00,78.00,78.00,-2.50,1030.00,81760.00,-1
2019-07-04,78.00,79.00,78.00,79.00,1.28,130.00,10240.00,1
2019-07-07,78.00,80.00,78.00,79.00,0.00,180.00,14160.00,0
2019-07-08,78.00,79.00,78.00,78.00,-1.27,250.00,19530.00,-1
2019-07-09,77.00,81.00,77.00,79.00,1.28,420.00,33100.00,1
2019-07-10,78.00,79.00,78.00,79.00,0.00,220.00,17220.00,0
2019-07-11,79.00,79.00,76.00,76.00,-3.80,1050.00,81520.00,-1
2019-07-14,75.00,77.00,75.00,77.00,1.32,290.00,21990.00,1
2019-07-15,77.00,78.00,77.00,78.00,1.30,100.00,7740.00,1
2019-07-16,77.00,79.00,77.00,77.00,-1.28,370.00,28850.00,-1
2019-07-17,78.00,80.00,78.00,79.00,2.60,450.00,35590.00,1
2019-07-18,80.00,80.00,77.00,77.00,-2.53,170.00,13500.00,-1
2019-07-21,78.00,79.00,77.00,79.00,2.60,270.00,21020.00,1
2019-07-22,79.00,79.00,77.00,79.00,0.00,520.00,40470.00,0
2019-07-23,79.00,80.00,78.00,78.00,-1.27,280.00,22140.00,-1
2019-07-24,78.00,80.00,76.00,79.00,1.28,430.00,33420.00,1
2019-07-25,79.00,80.00,79.00,79.00,0.00,380.00,30200.00,0
2019-07-28,78.00,78.00,78.00,78.00,-1.27,190.00,14820.00,-1
2019-07-29,78.00,78.00,74.00,75.00,-3.85,160.00,12150.00,-1
2019-07-30,75.00,76.00,74.00,75.00,0.00,440.00,32910.00,0
2019-07-31,74.00,76.00,74.00,75.00,0.00,330.00,24560.00,0
2019-08-01,74.00,76.00,74.00,74.00,-1.33,330.00,24620.00,-1
2019-08-04,73.00,75.00,73.00,74.00,0.00,480.00,35320.00,0
2019-08-05,74.00,74.00,73.00,73.00,-1.35,230.00,16900.00,-1
2019-08-06,74.00,75.00,73.00,75.00,2.74,650.00,47890.00,1
2019-08-07,74.00,74.00,71.00,74.00,-1.33,200.00,14600.00,-1
2019-08-08,73.00,76.00,73.00,74.00,0.00,680.00,50480.00,0
2019-08-11,73.00,73.00,68.00,68.00,-8.11,1450.00,103140.00,-1
2019-08-12,68.00,74.00,68.00,73.00,7.35,390.00,27420.00,1
2019-08-13,73.00,73.00,71.00,71.00,-2.74,740.00,53440.00,-1
2019-08-14,70.00,72.00,70.00,71.00,0.00,370.00,26270.00,0
2019-08-15,71.00,71.00,70.00,70.00,-1.41,220.00,15520.00,-1
2019-08-18,69.00,70.00,68.00,69.00,-1.43,610.00,41730.00,-1
2019-08-19,68.00,68.00,66.00,67.00,-2.90,330.00,22180.00,-1
2019-08-20,66.00,67.00,65.00,67.00,0.00,260.00,17240.00,0
2019-08-21,66.00,68.00,66.00,68.00,1.49,670.00,45000.00,1
2019-08-22,68.00,69.00,67.00,67.00,-1.47,600.00,40790.00,-1
2019-08-25,66.00,66.00,64.00,66.00,-1.49,370.00,24160.00,-1
2019-08-26,65.00,67.00,65.00,66.00,0.00,340.00,22510.00,0
2019-08-27,65.00,68.00,65.00,67.00,1.52,340.00,22670.00,1
2019-08-28,66.00,68.00,66.00,67.00,0.00,200.00,13360.00,0
2019-08-29,68.00,69.00,66.00,66.00,-1.49,330.00,22310.00,-1
2019-09-01,65.00,66.00,64.00,64.00,-3.03,211.00,13645.00,-1
2019-09-02,63.00,63.00,62.00,62.00,-3.13,200.00,12480.00,-1
2019-09-03,62.00,63.00,61.00,62.00,0.00,50.00,3100.00,0
2019-09-04,62.00,64.00,62.00,63.00,1.61,310.00,19530.00,1
2019-09-05,62.00,64.00,62.00,64.00,1.59,360.00,22750.00,1
2019-09-08,63.00,63.00,62.00,62.00,-3.13,50.00,3120.00,-1
2019-09-09,61.00,61.00,60.00,60.00,-3.23,400.00,24320.00,-1
2019-09-10,61.00,61.00,60.00,61.00,1.67,301.00,18310.00,1
2019-09-11,61.00,62.00,60.00,62.00,1.64,120.00,7300.00,1
2019-09-12,61.00,62.00,60.00,61.00,-1.61,300.00,18240.00,-1
2019-09-16,61.00,61.00,58.00,60.00,-1.64,780.00,45770.00,-1
2019-09-17,60.00,63.00,60.00,61.00,1.67,3194.00,200402.00,1
2019-09-18,61.00,62.00,61.00,62.00,1.64,140.00,8580.00,1
2019-09-19,61.00,62.00,60.00,62.00,0.00,290.00,17590.00,0
2019-09-22,61.00,61.00,57.00,57.00,-8.06,320.00,18740.00,-1
2019-09-23,56.00,59.00,56.00,59.00,3.51,240.00,13860.00,1
2019-09-24,58.00,59.00,58.00,58.00,-1.69,170.00,9960.00,-1
2019-09-25,58.00,58.00,57.00,57.00,-1.72,330.00,18910.00,-1
2019-09-26,56.00,57.00,54.00,54.00,-5.26,290.00,16060.00,-1
2019-09-29,53.00,54.00,53.00,54.00,0.00,200.00,10640.00,0
2019-09-30,54.00,57.00,54.00,57.00,5.56,230.00,12960.00,1
2019-10-01,56.00,57.00,56.00,56.00,-1.75,250.00,14080.00,-1
2019-10-02,55.00,56.00,55.00,56.00,0.00,60.00,3340.00,0
2019-10-03,57.00,58.00,57.00,58.00,3.57,80.00,4600.00,1
2019-10-14,58.00,60.00,58.00,60.00,3.45,130.00,7640.00,1
2019-10-15,61.00,63.00,61.00,62.00,3.33,260.00,16300.00,1
2019-10-16,61.00,62.00,61.00,62.00,0.00,30.00,1850.00,0
2019-10-17,62.00,63.00,62.00,63.00,1.61,20.00,1250.00,1
2019-10-24,63.00,63.00,62.00,63.00,0.00,90.00,5640.00,0
2019-10-31,63.00,63.00,62.00,62.00,-1.59,100.00,6220.00,-1
2019-11-03,62.00,62.00,62.00,62.00,0.00,200.00,12400.00,0
2019-11-04,61.00,61.00,59.00,59.00,-4.84,210.00,12550.00,-1
2019-11-05,58.00,58.00,58.00,58.00,-1.69,90.00,5220.00,-1
2019-11-06,57.00,60.00,57.00,60.00,3.45,320.00,18420.00,1
2019-11-07,59.00,60.00,59.00,60.00,0.00,150.00,8960.00,0
2019-11-11,59.00,59.00,59.00,59.00,-1.67,80.00,4720.00,-1
2019-11-12,58.00,58.00,56.00,56.00,-5.08,200.00,11420.00,-1
2019-11-13,55.00,56.00,55.00,55.00,-1.79,220.00,12200.00,-1
2019-11-14,55.00,56.00,53.00,53.00,-3.64,310.00,16810.00,-1
2019-11-17,52.00,54.00,52.00,53.00,0.00,290.00,15340.00,0
2019-11-18,52.00,54.00,51.00,54.00,1.89,270.00,14210.00,1
2019-11-19,55.00,57.00,55.00,57.00,5.56,990.00,55500.00,1
2019-11-20,58.00,62.00,58.00,60.00,5.26,340.00,20490.00,1
2019-11-21,59.00,61.00,58.00,61.00,1.67,440.00,26220.00,1
2019-11-24,61.00,61.00,59.00,60.00,-1.64,120.00,7160.00,-1
2019-11-25,60.00,60.00,58.00,58.00,-3.33,80.00,4700.00,-1
2019-11-26,58.00,59.00,56.00,56.00,-3.45,490.00,28080.00,-1
2019-11-27,55.00,57.00,55.00,57.00,1.79,120.00,6770.00,1
2019-11-28,57.00,57.00,55.00,55.00,-3.51,240.00,13560.00,-1
2019-12-01,54.00,55.00,54.00,54.00,-1.82,100.00,5420.00,-1
2019-12-02,53.00,53.00,51.00,52.00,-3.70,160.00,8280.00,-1
2019-12-03,51.00,53.00,51.00,53.00,1.92,440.00,22620.00,1
2019-12-04,52.00,53.00,52.00,52.00,-1.89,140.00,7300.00,-1
2019-12-05,52.00,54.00,52.00,52.00,0.00,170.00,8960.00,0
2019-12-08,52.00,52.00,51.00,52.00,0.00,180.00,9340.00,0
2019-12-09,53.00,53.00,53.00,53.00,1.92,90.00,4770.00,1
2019-12-10,53.00,53.00,52.00,53.00,0.00,210.00,11020.00,0
2019-12-11,52.00,55.00,52.00,54.00,1.89,220.00,11890.00,1
2019-12-12,53.00,56.00,52.00,56.00,3.70,190.00,10280.00,1
2019-12-15,55.00,58.00,55.00,58.00,3.57,330.00,18870.00,1
2019-12-16,57.00,58.00,57.00,57.00,-1.72,480.00,27380.00,-1
2019-12-17,56.00,56.00,55.00,55.00,-3.51,50.00,2760.00,-1
2019-12-18,54.00,57.00,54.00,57.00,3.64,100.00,5570.00,1
2019-12-19,58.00,59.00,57.00,59.00,3.51,140.00,8140.00,1
2019-12-22,59.00,60.00,58.00,60.00,1.69,1950.00,116370.00,1
2019-12-23,61.00,61.00,60.00,60.00,0.00,240.00,14560.00,0
2019-12-24,61.00,65.00,60.00,65.00,8.33,2060.00,129160.00,1
2019-12-25,64.00,64.00,63.00,63.00,-3.08,90.00,5750.00,-1
2019-12-26,63.00,63.00,61.00,62.00,-1.59,690.00,42650.00,-1
2019-12-29,61.00,63.00,61.00,63.00,1.61,260.00,15980.00,1
2019-12-30,62.00,63.00,60.00,60.00,-4.76,635.00,39240.00,-1
2019-12-31,61.00,62.00,59.00,61.00,1.67,460.00,28070.00,1
2020-01-01,62.00,62.00,60.00,60.00,-1.64,260.00,15730.00,-1
2020-01-02,61.00,66.00,61.00,65.00,8.33,1840.00,118940.00,1
