published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2025-12-08,1202.5,1202.5,1155.0,1199.9,-0.22,729.0,866024.0,-1
2025-12-09,1177.1,1197.0,1176.0,1197.0,1.69,587.0,697519.2,1
2025-12-10,1192.0,1194.0,1175.0,1194.0,0.17,753.0,895147.0,1
2025-12-11,1170.2,1188.6,1165.3,1184.8,1.25,501.0,586961.0,1
2025-12-14,1208.0,1208.4,1166.3,1180.0,-2.32,760.0,902973.3,-1
2025-12-15,1165.6,1186.0,1165.5,1184.0,1.58,405.0,473798.5,1
2025-12-16,1199.0,1199.0,1175.0,1190.0,-0.75,931.0,1102313.9,-1
2025-12-17,1190.0,1190.1,1173.5,1185.0,-0.42,1202.0,1423799.3,-1
2025-12-18,1190.0,1190.0,1165.2,1183.0,-0.59,847.0,994738.4,-1
2025-12-21,1200.0,1205.8,1160.0,1180.0,-1.67,1403.0,1653494.8,-1
2025-12-22,1161.0,1179.0,1133.9,1177.0,1.38,137.0,158871.0,1
2025-12-23,1153.5,1175.0,1136.0,1174.8,1.85,626.0,722489.0,1
2025-12-24,1152.0,1170.0,1140.0,1169.0,1.48,965.0,1112803.5,1
2025-12-28,1150.0,1178.0,1149.1,1177.0,2.35,734.0,849204.2,1
2025-12-29,1160.9,1179.0,1138.1,1179.0,1.56,410.0,472361.8,1
