published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2025-12-08,9.22,9.49,9.22,9.35,1.41,5300.0,49670.0,1
2025-12-09,9.35,9.63,9.35,9.45,1.07,115200.0,1095824.0,1
2025-12-10,9.38,9.45,9.36,9.38,0.0,2900.0,27195.0,0
2025-12-11,9.35,9.56,9.35,9.56,2.25,9480.0,90040.8,1
2025-12-14,9.37,9.37,9.19,9.28,-0.96,3100.0,28745.0,-1
2025-12-15,9.27,9.44,9.27,9.38,1.19,15650.0,146686.0,1
2025-12-16,9.32,9.51,9.32,9.38,0.64,26000.0,246471.0,1
2025-12-17,9.38,9.55,9.37,9.37,-0.11,8800.0,83028.0,-1
2025-12-18,9.37,9.4,9.37,9.4,0.32,3000.0,28140.0,1
2025-12-21,9.4,9.58,9.39,9.41,0.11,11832.0,111530.12,1
