published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2025-12-08,895.0,910.0,895.0,903.0,0.89,2595.0,2348597.5,1
2025-12-09,900.0,911.0,897.1,905.0,0.56,4755.0,4284706.1,1
2025-12-10,898.0,915.0,895.0,911.0,1.45,5129.0,4635103.8,1
2025-12-11,895.0,913.0,893.3,903.0,0.89,2111.0,1909388.6,1
2025-12-14,900.0,910.0,893.0,893.0,-0.78,4485.0,4028693.9,-1
2025-12-15,893.0,904.0,890.0,904.0,1.23,3343.0,3002887.8,1
2025-12-16,866.0,869.8,860.0,867.0,0.12,3926.0,3383674.5,1
2025-12-17,873.0,878.0,850.0,866.0,-0.8,2817.0,2430762.0,-1
2025-12-18,853.2,874.0,853.2,869.6,1.92,1065.0,919804.5,1
2025-12-21,855.2,860.0,854.0,855.5,0.04,1943.0,1663230.0,1
