published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2017-03-05,212.00,216.00,208.00,216.00,0.00,456.00,96448.00,0
2017-03-06,216.00,216.00,213.00,214.00,0.00,430.00,92090.00,0
2017-03-07,214.00,215.00,211.00,215.00,0.00,448.00,95190.00,0
2017-03-09,215.00,216.00,211.00,215.00,0.00,886.00,189012.00,0
2017-03-13,215.00,221.00,211.00,221.00,0.00,898.00,193580.00,0
2017-03-14,221.00,227.00,220.00,227.00,0.00,2036.00,458298.00,0
2017-03-15,227.00,238.00,221.00,238.00,0.00,1103.00,251186.00,0
2017-03-16,238.00,246.00,234.00,243.00,0.00,838.00,200400.00,0
2017-03-19,243.00,241.00,235.00,235.00,0.00,878.00,210396.00,0
2017-03-20,235.00,236.00,232.00,233.00,0.00,182.00,42502.00,0
2017-03-21,233.00,237.00,221.00,230.00,0.00,540.00,124412.00,0
2017-03-22,230.00,238.00,226.00,236.00,0.00,1362.00,318898.00,0
2017-03-23,236.00,235.00,228.00,234.00,0.00,696.00,161448.00,0
2017-03-26,234.00,245.00,235.00,245.00,0.00,2468.00,598574.00,0
2017-03-28,245.00,250.00,241.00,250.00,0.00,624.00,153804.00,0
2017-03-29,250.00,260.00,240.00,240.00,0.00,1194.00,297304.00,0
2017-03-30,240.00,240.00,227.00,230.00,0.00,1206.00,280804.00,0
2017-04-02,230.00,230.00,226.00,230.00,0.00,50.00,11440.00,0
2017-04-03,230.00,239.00,231.00,238.00,0.00,466.00,110838.00,0
2017-04-04,238.00,239.00,225.00,227.00,0.00,918.00,212516.00,0
2017-04-06,227.00,231.00,223.00,230.00,0.00,530.00,120614.00,0
2017-04-09,230.00,234.00,226.00,228.00,0.00,736.00,169614.00,0
2017-04-10,228.00,238.00,224.00,238.00,0.00,778.00,177966.00,0
2017-04-11,238.00,235.00,228.00,229.00,0.00,226.00,52072.00,0
2017-04-12,229.00,240.00,225.00,240.00,0.00,574.00,131782.00,0
2017-04-13,240.00,240.00,232.00,236.00,0.00,846.00,198708.00,0
2017-04-16,236.00,236.00,230.00,231.00,0.00,576.00,133726.00,0
2017-04-18,231.00,231.00,223.00,231.00,0.00,240.00,54538.00,0
2017-04-19,231.00,230.00,224.00,230.00,0.00,278.00,63566.00,0
2017-04-20,230.00,235.00,226.00,230.00,0.00,1598.00,372160.00,0
2017-04-23,230.00,226.00,219.00,223.00,0.00,388.00,86488.00,0
