published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2025-12-08,1134.0,1139.0,1110.0,1137.9,0.34,24385.0,27323454.8,1
2025-12-09,1115.2,1116.1,1095.2,1100.1,-1.35,11028.0,12159678.1,-1
2025-12-10,1081.0,1189.3,1070.0,1090.0,0.83,20664.0,22610313.7,1
2025-12-11,1100.0,1110.0,1045.0,1073.0,-2.45,5241.0,5597617.5,-1
2025-12-14,1070.0,1090.9,1036.0,1041.5,-2.66,30362.0,31833276.0,-1
2025-12-15,1020.7,1104.0,1020.7,1050.1,2.88,5160.0,5406633.3,1
2025-12-16,1029.1,1110.0,1029.1,1110.0,7.86,5504.0,5877344.0,1
2025-12-17,1087.8,1100.0,1045.0,1100.0,1.12,11218.0,12016889.9,1
2025-12-18,1078.0,1098.0,1043.0,1080.0,0.19,13785.0,14472044.6,1
2025-12-21,1058.4,1070.0,1016.0,1034.9,-2.22,18200.0,18810812.5,-1
2025-12-22,1014.3,1075.6,1000.7,1039.0,2.44,9776.0,10020797.1,1
2025-12-23,1059.0,1059.0,1012.0,1015.0,-4.15,2903.0,2967310.8,-1
2025-12-24,1000.0,1071.0,1000.0,1036.9,3.69,4804.0,5015755.3,1
2025-12-28,1036.9,1055.0,1030.1,1047.0,0.97,6011.0,6272500.6,1
2025-12-29,1026.1,1131.0,1026.1,1057.0,3.01,4184.0,4402001.0,1
2025-12-31,1035.9,1119.0,1035.9,1087.0,4.93,16189.0,17248828.5,1
2026-01-01,1065.3,1140.0,1042.0,1119.0,5.04,20959.0,22319773.5,1
