published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2011-05-23,97.00,97.00,97.00,97.00,0.00,90.00,8730.00,0
2011-05-24,97.00,96.00,93.00,95.00,0.00,670.00,63680.00,0
2011-05-25,95.00,95.00,94.00,95.00,0.00,900.00,85490.00,0
2011-05-26,95.00,97.00,96.00,97.00,0.00,750.00,72230.00,0
2011-05-30,97.00,99.00,96.00,99.00,0.00,1300.00,126900.00,0
2011-05-31,99.00,101.00,100.00,100.00,0.00,520.00,52120.00,0
2011-06-01,100.00,104.00,100.00,100.00,0.00,410.00,41880.00,0
2011-06-02,100.00,99.00,95.00,96.00,0.00,280.00,27590.00,0
2011-06-05,96.00,98.00,96.00,96.00,0.00,1530.00,147430.00,0
2011-06-06,96.00,96.00,91.00,93.00,0.00,910.00,86470.00,0
2011-06-07,93.00,95.00,93.00,93.00,0.00,540.00,50650.00,0
2011-06-08,93.00,93.00,92.00,93.00,0.00,210.00,19520.00,0
2011-06-15,93.00,93.00,93.00,93.00,0.00,300.00,27900.00,0
2011-06-16,93.00,89.00,89.00,89.00,0.00,190.00,16910.00,0
2011-06-19,89.00,89.00,89.00,89.00,0.00,70.00,6230.00,0
2011-06-20,89.00,89.00,89.00,89.00,0.00,70.00,6230.00,0
2011-06-23,89.00,92.00,90.00,92.00,0.00,1310.00,118330.00,0
2011-06-26,92.00,91.00,91.00,91.00,0.00,40.00,3640.00,0
2011-06-27,91.00,98.00,95.00,95.00,0.00,910.00,87170.00,0
2011-06-29,95.00,97.00,96.00,97.00,0.00,570.00,54790.00,0
2011-06-30,97.00,98.00,96.00,97.00,0.00,1460.00,142800.00,0
2011-07-03,97.00,96.00,93.00,93.00,0.00,580.00,55420.00,0
2011-07-04,93.00,93.00,92.00,92.00,0.00,130.00,12080.00,0
2011-07-05,92.00,93.00,92.00,92.00,0.00,250.00,23010.00,0
2011-07-06,92.00,93.00,93.00,93.00,0.00,200.00,18600.00,0
2011-07-07,93.00,93.00,91.00,91.00,0.00,350.00,32350.00,0
2011-07-10,91.00,92.00,90.00,92.00,0.00,1100.00,99940.00,0
2011-07-11,92.00,92.00,91.00,92.00,0.00,440.00,40450.00,0
2011-07-12,92.00,93.00,93.00,93.00,0.00,400.00,37200.00,0
2011-07-13,93.00,96.00,92.00,92.00,0.00,370.00,34520.00,0
2011-07-14,92.00,95.00,95.00,95.00,0.00,200.00,19000.00,0
2011-07-18,95.00,99.00,96.00,96.00,0.00,470.00,46050.00,0
2011-07-20,96.00,95.00,95.00,95.00,0.00,40.00,3800.00,0
2011-07-24,95.00,96.00,96.00,96.00,0.00,70.00,6720.00,0
2011-07-26,96.00,97.00,97.00,97.00,0.00,480.00,46560.00,0
2011-07-27,97.00,98.00,98.00,98.00,0.00,100.00,9800.00,0
2011-07-31,98.00,97.00,96.00,96.00,0.00,130.00,12570.00,0
2011-08-01,96.00,96.00,96.00,96.00,0.00,50.00,4800.00,0
2011-08-02,96.00,95.00,95.00,95.00,0.00,50.00,4750.00,0
2011-08-03,95.00,95.00,92.00,92.00,0.00,190.00,17810.00,0
2011-08-04,92.00,92.00,86.00,86.00,0.00,460.00,41240.00,0
2011-08-07,86.00,88.00,87.00,87.00,0.00,330.00,28780.00,0
2011-08-08,87.00,88.00,85.00,86.00,0.00,730.00,62810.00,0
2011-08-09,86.00,88.00,87.00,88.00,0.00,210.00,18280.00,0
2011-08-10,88.00,87.00,86.00,86.00,0.00,840.00,72620.00,0
2011-08-11,86.00,87.00,86.00,86.00,0.00,330.00,28400.00,0
2011-08-16,86.00,86.00,85.00,85.00,0.00,70.00,6000.00,0
2011-08-17,85.00,85.00,85.00,85.00,0.00,230.00,19550.00,0
2011-08-18,85.00,84.00,83.00,83.00,0.00,290.00,24110.00,0
2011-08-22,83.00,84.00,84.00,84.00,0.00,320.00,26880.00,0
2011-08-23,84.00,85.00,85.00,85.00,0.00,90.00,7650.00,0
2011-08-24,85.00,85.00,83.00,83.00,0.00,250.00,20900.00,0
2011-08-25,83.00,82.00,79.00,79.00,0.00,420.00,33710.00,0
2011-08-28,79.00,78.00,77.00,77.00,0.00,170.00,13190.00,0
2011-08-29,77.00,76.00,71.00,71.00,0.00,170.00,12370.00,0
2011-08-30,71.00,71.00,71.00,71.00,0.00,230.00,16330.00,0
2011-09-04,71.00,72.00,72.00,72.00,0.00,10.00,720.00,0
2011-09-05,72.00,75.00,73.00,74.00,0.00,240.00,17860.00,0
2011-09-06,74.00,74.00,72.00,72.00,0.00,1800.00,132710.00,0
2011-09-07,72.00,72.00,71.00,71.00,0.00,190.00,13510.00,0
2011-09-08,71.00,71.00,70.00,70.00,0.00,560.00,39600.00,0
2011-09-12,70.00,71.00,71.00,71.00,0.00,570.00,40470.00,0
2011-09-13,71.00,72.00,69.00,72.00,0.00,130.00,9180.00,0
2011-09-14,72.00,73.00,72.00,73.00,0.00,180.00,13100.00,0
2011-09-15,73.00,77.00,73.00,77.00,0.00,800.00,59270.00,0
2011-09-18,77.00,78.00,77.00,77.00,0.00,40.00,3100.00,0
2011-09-19,77.00,77.00,74.00,77.00,0.00,220.00,16570.00,0
2011-09-20,77.00,77.00,75.00,75.00,0.00,310.00,23720.00,0
2011-09-21,75.00,74.00,70.00,70.00,0.00,710.00,51100.00,0
2011-09-22,70.00,70.00,70.00,70.00,0.00,90.00,6300.00,0
2011-09-25,70.00,72.00,71.00,72.00,0.00,270.00,19200.00,0
2011-09-26,72.00,72.00,72.00,72.00,0.00,100.00,7200.00,0
2011-09-27,72.00,73.00,72.00,73.00,0.00,360.00,26120.00,0
2011-09-29,73.00,74.00,73.00,74.00,0.00,100.00,7350.00,0
2011-10-10,74.00,75.00,73.00,73.00,0.00,210.00,15520.00,0
2011-10-12,73.00,74.00,74.00,74.00,0.00,30.00,2220.00,0
2011-10-13,74.00,75.00,74.00,75.00,0.00,560.00,41940.00,0
2011-10-16,75.00,74.00,73.00,73.00,0.00,490.00,36230.00,0
2011-10-17,73.00,76.00,74.00,76.00,0.00,160.00,11920.00,0
2011-10-19,76.00,75.00,75.00,75.00,0.00,30.00,2250.00,0
2011-10-23,75.00,75.00,75.00,75.00,0.00,100.00,7500.00,0
2011-10-24,75.00,77.00,76.00,77.00,0.00,830.00,63130.00,0
2011-10-25,77.00,76.00,75.00,75.00,0.00,240.00,18080.00,0
2011-10-30,75.00,74.00,71.00,72.00,0.00,90.00,6490.00,0
2011-10-31,72.00,73.00,72.00,72.00,0.00,250.00,18190.00,0
2011-11-08,72.00,74.00,72.00,74.00,0.00,540.00,39420.00,0
2011-11-09,74.00,75.00,75.00,75.00,0.00,390.00,29250.00,0
2011-11-10,75.00,76.00,74.00,76.00,0.00,170.00,12690.00,0
2011-11-14,76.00,76.00,76.00,76.00,0.00,50.00,3800.00,0
2011-11-15,76.00,76.00,76.00,76.00,0.00,60.00,4560.00,0
2011-11-16,76.00,76.00,75.00,76.00,0.00,270.00,20420.00,0
2011-11-17,76.00,76.00,75.00,75.00,0.00,310.00,23350.00,0
2011-11-20,75.00,76.00,75.00,75.00,0.00,70.00,5300.00,0
2011-11-21,75.00,75.00,75.00,75.00,0.00,50.00,3750.00,0
2011-11-22,75.00,75.00,71.00,71.00,0.00,140.00,10240.00,0
2011-11-23,71.00,71.00,70.00,71.00,0.00,80.00,5640.00,0
2011-11-27,71.00,72.00,70.00,72.00,0.00,190.00,13570.00,0
2011-12-01,71.00,70.00,69.00,69.00,0.00,730.00,51010.00,0
2011-12-04,69.00,69.00,66.00,66.00,0.00,260.00,17390.00,0
2011-12-07,66.00,65.00,65.00,65.00,0.00,60.00,3900.00,0
2011-12-08,65.00,66.00,65.00,66.00,0.00,100.00,6560.00,0
2011-12-12,66.00,65.00,63.00,63.00,0.00,40.00,2550.00,0
2011-12-13,63.00,64.00,64.00,64.00,0.00,120.00,7680.00,0
2011-12-18,64.00,68.00,65.00,66.00,0.00,270.00,17860.00,0
2011-12-19,66.00,66.00,66.00,66.00,0.00,10.00,660.00,0
2011-12-20,66.00,67.00,67.00,67.00,0.00,40.00,2680.00,0
2011-12-22,67.00,68.00,67.00,67.00,0.00,340.00,23110.00,0
2011-12-26,67.00,67.00,65.00,65.00,0.00,500.00,33100.00,0
2011-12-27,65.00,65.00,63.00,63.00,0.00,310.00,19810.00,0
2011-12-28,63.00,65.00,61.00,65.00,0.00,670.00,42550.00,0
2011-12-29,65.00,67.00,66.00,67.00,0.00,300.00,20000.00,0
2012-01-01,67.00,67.00,66.00,66.00,0.00,140.00,9330.00,0
2012-01-02,66.00,66.00,65.00,65.00,0.00,180.00,11800.00,0
2012-01-03,65.00,65.00,65.00,65.00,0.00,40.00,2600.00,0
2012-01-04,65.00,65.00,64.00,65.00,0.00,900.00,58000.00,0
