published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2017-11-08,202.00,203.00,200.00,200.00,0.00,10537.00,2119221.00,0
2017-11-09,200.00,204.00,197.00,200.00,0.00,12107.00,2415598.00,0
2017-11-12,200.00,205.00,200.00,205.00,0.00,6391.00,1284381.00,0
2017-11-13,205.00,206.00,200.00,203.00,0.00,3313.00,669171.00,0
2017-11-14,203.00,205.00,202.00,205.00,0.00,13191.00,2681645.00,0
2017-11-15,205.00,206.00,201.00,202.00,0.00,4215.00,852353.00,0
2017-11-16,202.00,202.00,199.00,199.00,0.00,7950.00,1590012.00,0
2017-11-19,199.00,197.00,195.00,195.00,0.00,6493.00,1269310.00,0
2017-11-20,195.00,197.00,195.00,195.00,0.00,3732.00,728340.00,0
2017-11-21,195.00,197.00,192.00,192.00,0.00,7785.00,1513554.00,0
2017-11-22,192.00,195.00,190.00,195.00,0.00,16639.00,3182135.00,0
2017-11-23,195.00,196.00,191.00,194.00,0.00,10125.00,1954708.00,0
2017-11-26,194.00,199.00,193.00,199.00,0.00,7093.00,1393589.00,0
2017-11-27,199.00,198.00,192.00,192.00,0.00,13620.00,2644781.00,0
2017-11-28,192.00,196.00,193.00,195.00,0.00,4445.00,862830.00,0
2017-11-29,195.00,201.00,193.00,193.00,0.00,12044.00,2352987.00,0
2017-11-30,193.00,196.00,191.00,193.00,0.00,11202.00,2181105.00,0
2017-12-04,193.00,197.00,193.00,196.00,0.00,4879.00,950476.00,0
2017-12-05,196.00,198.00,193.00,194.00,0.00,3183.00,617246.00,0
2017-12-06,194.00,199.00,194.00,199.00,0.00,6643.00,1304041.00,0
2017-12-10,199.00,202.00,191.00,194.00,0.00,19133.00,3748102.00,0
2017-12-11,194.00,195.00,192.00,193.00,0.00,7804.00,1508152.00,0
2017-12-12,193.00,194.00,190.00,194.00,0.00,13955.00,2673555.00,0
2017-12-13,194.00,195.00,191.00,192.00,0.00,2131.00,411138.00,0
2017-12-14,192.00,193.00,189.00,193.00,0.00,5148.00,978509.00,0
2017-12-17,193.00,196.00,191.00,195.00,0.00,10321.00,2005245.00,0
2017-12-18,195.00,194.00,191.00,191.00,0.00,6507.00,1255992.00,0
2017-12-19,191.00,192.00,189.00,190.00,0.00,14384.00,2729430.00,0
2017-12-20,190.00,191.00,187.00,190.00,0.00,1704.00,321327.00,0
2017-12-21,190.00,193.00,187.00,190.00,0.00,6024.00,1130482.00,0
2017-12-24,190.00,189.00,185.00,185.00,0.00,3509.00,654299.00,0
2017-12-26,185.00,188.00,183.00,185.00,0.00,17861.00,3299794.00,0
2017-12-27,185.00,185.00,177.00,177.00,0.00,17070.00,3073082.00,0
2017-12-28,177.00,178.00,173.00,174.00,0.00,12381.00,2164894.00,0
2017-12-31,174.00,177.00,172.00,177.00,0.00,6510.00,1128635.00,0
2018-01-01,177.00,183.00,172.00,182.00,0.00,14498.00,2560871.00,0
2018-01-02,182.00,183.00,176.00,179.00,0.00,9568.00,1728857.00,0
2018-01-03,179.00,179.00,174.00,177.00,0.00,6772.00,1193706.00,0
2018-01-04,177.00,179.00,174.00,175.00,0.00,7766.00,1364674.00,0
2018-01-07,175.00,176.00,173.00,174.00,0.00,11665.00,2031110.00,0
2018-01-08,174.00,180.00,176.00,179.00,0.00,8284.00,1470498.00,0
2018-01-09,179.00,182.00,177.00,178.00,0.00,8927.00,1600751.00,0
2018-01-10,178.00,179.00,174.00,179.00,0.00,12521.00,2216119.00,0
2018-01-14,179.00,179.00,173.00,175.00,0.00,12179.00,2129858.00,0
2018-01-16,175.00,175.00,168.00,175.00,0.00,51856.00,8826746.00,0
2018-01-17,165.00,168.00,156.00,161.00,0.00,12215.00,1942644.00,0
2018-01-21,161.00,162.00,156.00,158.00,0.00,4398.00,691568.00,0
2018-01-22,158.00,170.00,155.00,170.00,0.00,13749.00,2203272.00,0
2018-01-23,170.00,167.00,161.00,164.00,0.00,6111.00,994061.00,0
2018-01-24,164.00,163.00,160.00,161.00,0.00,7786.00,1256726.00,0
2018-01-25,161.00,165.00,161.00,164.00,0.00,7200.00,1173681.00,0
2018-01-28,164.00,167.00,162.00,162.00,0.00,16245.00,2673547.00,0
2018-01-29,162.00,167.00,161.00,165.00,0.00,15792.00,2612611.00,0
2018-01-31,165.00,166.00,163.00,166.00,0.00,3574.00,590505.00,0
2018-02-01,166.00,169.00,165.00,167.00,0.00,4312.00,718236.00,0
2018-02-04,167.00,168.00,165.00,166.00,0.00,4970.00,825604.00,0
2018-02-05,166.00,167.00,164.00,164.00,0.00,7246.00,1192062.00,0
2018-02-06,164.00,164.00,162.00,162.00,0.00,8133.00,1322592.00,0
2018-02-07,162.00,165.00,160.00,161.00,0.00,4684.00,758584.00,0
2018-02-08,161.00,163.00,161.00,162.00,0.00,3816.00,616868.00,0
2018-02-11,162.00,164.00,162.00,162.00,0.00,3559.00,577678.00,0
2018-02-12,162.00,165.00,161.00,165.00,0.00,5787.00,940670.00,0
2018-02-14,165.00,165.00,161.00,165.00,0.00,5939.00,967186.00,0
2018-02-15,165.00,170.00,165.00,170.00,0.00,15960.00,2685860.00,0
2018-02-18,173.00,173.00,167.00,167.00,-1.76,12374.00,2077143.00,-1
2018-02-20,170.00,173.00,164.00,164.00,-1.80,4917.00,812955.00,-1
2018-02-21,164.00,165.00,162.00,163.00,-0.61,4196.00,683126.00,-1
2018-02-22,162.00,165.00,162.00,164.00,0.61,10102.00,1648421.00,1
2018-02-25,164.00,165.00,162.00,162.00,-1.22,3524.00,576195.00,-1
2018-02-26,160.00,163.00,160.00,161.00,-0.62,12149.00,1958192.00,-1
2018-02-27,161.00,164.00,160.00,160.00,-0.62,14687.00,2366458.00,-1
2018-02-28,162.00,162.00,158.00,158.00,-1.25,13147.00,2094072.00,-1
2018-03-04,157.00,160.00,153.00,157.00,-0.63,16652.00,2580433.00,-1
2018-03-05,160.00,160.00,153.00,153.00,-2.55,8549.00,1324192.00,-1
2018-03-06,155.00,159.00,152.00,155.00,1.31,15596.00,2433638.00,1
2018-03-07,155.00,161.00,155.00,157.00,1.29,8461.00,1338222.00,1
2018-03-11,157.00,157.00,153.00,153.00,-2.55,8722.00,1341158.00,-1
2018-03-12,152.00,156.00,152.00,153.00,0.00,5064.00,778102.00,0
2018-03-13,152.00,154.00,152.00,152.00,-0.65,5771.00,880783.00,-1
2018-03-14,154.00,155.00,152.00,152.00,0.00,3266.00,499900.00,0
2018-03-15,152.00,155.00,152.00,154.00,1.32,6164.00,950210.00,1
2018-03-18,154.00,156.00,151.00,153.00,-0.65,5494.00,838474.00,-1
2018-03-19,152.00,153.00,150.00,151.00,-1.31,9491.00,1437412.00,-1
2018-03-20,151.00,152.00,149.00,150.00,-0.66,6850.00,1030212.00,-1
2018-03-21,150.00,153.00,146.00,147.00,-2.00,13773.00,2032684.00,-1
2018-03-22,147.00,151.00,147.00,148.00,0.68,3368.00,499771.00,1
2018-03-26,146.00,149.00,141.00,144.00,-2.70,7627.00,1098168.00,-1
2018-03-27,145.00,150.00,139.00,147.00,2.08,19831.00,2805822.00,1
2018-03-28,149.00,149.00,142.00,145.00,-1.36,4110.00,592890.00,-1
2018-03-29,147.00,153.00,145.00,153.00,5.52,9664.00,1427154.00,1
2018-04-01,150.00,150.00,145.00,149.00,-2.61,4827.00,717062.00,-1
2018-04-02,149.00,150.00,146.00,147.00,-1.34,3043.00,448989.00,-1
2018-04-03,147.00,150.00,145.00,149.00,1.36,2982.00,440896.00,1
2018-04-04,150.00,155.00,147.00,155.00,4.03,18059.00,2694340.00,1
2018-04-05,158.00,158.00,149.00,156.00,0.65,16538.00,2542415.00,1
2018-04-08,159.00,162.00,153.00,158.00,1.28,25851.00,4061318.00,1
2018-04-09,161.00,164.00,152.00,152.00,-3.80,21365.00,3367535.00,-1
2018-04-10,149.00,156.00,149.00,156.00,2.63,12966.00,1978709.00,1
2018-04-11,153.00,155.00,150.00,154.00,-1.28,4098.00,624055.00,-1
2018-04-12,151.00,155.00,151.00,153.00,-0.65,22179.00,3396593.00,-1
2018-04-15,151.00,154.00,151.00,152.00,-0.65,6634.00,1005972.00,-1
2018-04-16,152.00,158.00,152.00,154.00,1.32,6743.00,1045094.00,1
2018-04-17,155.00,159.00,154.00,157.00,1.95,11656.00,1820002.00,1
2018-04-18,157.00,172.00,155.00,165.00,5.10,22922.00,3741804.00,1
2018-04-19,165.00,170.00,162.00,170.00,3.03,25208.00,4232846.00,1
2018-04-22,173.00,180.00,168.00,180.00,5.88,29361.00,5074771.00,1
2018-04-23,179.00,180.00,169.00,170.00,-5.56,25972.00,4523600.00,-1
2018-04-24,168.00,169.00,165.00,165.00,-2.94,7601.00,1271991.00,-1
2018-04-25,165.00,172.00,164.00,167.00,1.21,9428.00,1596701.00,1
2018-04-26,165.00,168.00,162.00,162.00,-2.99,13429.00,2197359.00,-1
2018-04-29,162.00,169.00,161.00,164.00,1.23,19353.00,3201442.00,1
2018-05-02,165.00,167.00,160.00,166.00,1.22,7013.00,1143799.00,1
