published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2017-08-13,226.00,225.00,217.00,222.00,0.00,19656.00,4303257.00,0
2017-08-15,222.00,222.00,215.00,219.00,0.00,13441.00,2944542.00,0
2017-08-16,219.00,224.00,213.00,215.00,0.00,31194.00,6722785.00,0
2017-08-17,215.00,223.00,213.00,222.00,0.00,12938.00,2823607.00,0
2017-08-20,222.00,223.00,215.00,218.00,0.00,6669.00,1455435.00,0
2017-08-21,218.00,220.00,214.00,217.00,0.00,6370.00,1371726.00,0
2017-08-22,217.00,221.00,215.00,216.00,0.00,4885.00,1062627.00,0
2017-08-23,216.00,220.00,213.00,217.00,0.00,12790.00,2777309.00,0
2017-08-24,217.00,218.00,215.00,217.00,0.00,8635.00,1868802.00,0
2017-08-27,217.00,221.00,215.00,216.00,0.00,8827.00,1922042.00,0
2017-08-28,216.00,220.00,214.00,216.00,0.00,11794.00,2547145.00,0
2017-08-30,216.00,215.00,212.00,212.00,0.00,6034.00,1286220.00,0
2017-08-31,212.00,215.00,210.00,211.00,0.00,4932.00,1046016.00,0
2017-09-04,211.00,213.00,206.00,208.00,0.00,15033.00,3149767.00,0
2017-09-06,208.00,215.00,207.00,210.00,0.00,8627.00,1803019.00,0
2017-09-07,210.00,211.00,206.00,209.00,0.00,6117.00,1267427.00,0
2017-09-10,209.00,208.00,203.00,204.00,0.00,17434.00,3562290.00,0
2017-09-11,204.00,206.00,200.00,203.00,0.00,6218.00,1271241.00,0
2017-09-12,203.00,202.00,199.00,201.00,0.00,5710.00,1144802.00,0
2017-09-13,201.00,205.00,200.00,200.00,0.00,7189.00,1449754.00,0
2017-09-14,200.00,208.00,201.00,208.00,0.00,3899.00,799703.00,0
2017-09-17,208.00,211.00,207.00,208.00,0.00,6024.00,1254113.00,0
2017-09-18,208.00,211.00,206.00,209.00,0.00,7145.00,1486227.00,0
2017-09-20,209.00,212.00,206.00,212.00,0.00,7323.00,1530223.00,0
2017-09-24,212.00,214.00,206.00,207.00,0.00,10056.00,2102020.00,0
2017-09-25,207.00,214.00,208.00,212.00,0.00,2424.00,513626.00,0
2017-09-26,212.00,215.00,210.00,212.00,0.00,2972.00,633988.00,0
2017-10-03,212.00,217.00,213.00,213.00,0.00,909.00,195032.00,0
2017-10-04,213.00,213.00,208.00,208.00,0.00,2312.00,483272.00,0
2017-10-08,208.00,207.00,200.00,204.00,0.00,9664.00,1948916.00,0
2017-10-09,204.00,208.00,200.00,205.00,0.00,8312.00,1689334.00,0
2017-10-10,205.00,209.00,202.00,209.00,0.00,4627.00,957661.00,0
2017-10-11,209.00,213.00,208.00,208.00,0.00,8138.00,1701955.00,0
2017-10-12,208.00,209.00,206.00,208.00,0.00,2985.00,619672.00,0
2017-10-15,208.00,212.00,207.00,212.00,0.00,4951.00,1036463.00,0
2017-10-16,212.00,218.00,206.00,217.00,0.00,16004.00,3378890.00,0
2017-10-17,217.00,218.00,210.00,215.00,0.00,21769.00,4625221.00,0
2017-10-18,215.00,218.00,213.00,218.00,0.00,5821.00,1258787.00,0
2017-10-22,218.00,220.00,214.00,216.00,0.00,4072.00,883444.00,0
2017-10-23,216.00,219.00,213.00,214.00,0.00,7241.00,1551877.00,0
2017-10-24,214.00,218.00,211.00,214.00,0.00,5290.00,1131302.00,0
2017-10-25,214.00,214.00,211.00,212.00,0.00,6070.00,1291068.00,0
2017-10-29,212.00,213.00,208.00,213.00,0.00,11218.00,2359162.00,0
2017-10-30,213.00,211.00,207.00,208.00,0.00,16480.00,3444659.00,0
2017-10-31,208.00,212.00,208.00,212.00,0.00,9957.00,2087151.00,0
2017-11-01,212.00,210.00,206.00,206.00,0.00,12386.00,2565882.00,0
2017-11-02,206.00,210.00,205.00,210.00,0.00,4795.00,992870.00,0
2017-11-05,210.00,206.00,203.00,205.00,0.00,11688.00,2390839.00,0
2017-11-06,205.00,205.00,196.00,201.00,0.00,19787.00,3968308.00,0
