published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2011-04-21,556.00,554.00,545.00,554.00,0.00,140.00,77200.00,0
2011-04-25,554.00,550.00,550.00,550.00,0.00,20.00,11000.00,0
2011-05-02,550.00,550.00,545.00,545.00,0.00,540.00,294350.00,0
2011-05-03,545.00,535.00,535.00,535.00,0.00,10.00,5350.00,0
2011-05-05,535.00,525.00,525.00,525.00,0.00,3500.00,1837500.00,0
2011-05-08,525.00,520.00,520.00,520.00,0.00,2530.00,1315600.00,0
2011-05-10,520.00,520.00,520.00,520.00,0.00,450.00,234000.00,0
2011-05-11,520.00,510.00,500.00,500.00,0.00,150.00,75500.00,0
2011-05-15,500.00,510.00,510.00,510.00,0.00,10.00,5100.00,0
2011-05-19,510.00,500.00,500.00,500.00,0.00,100.00,50000.00,0
2011-05-22,500.00,492.00,490.00,492.00,0.00,70.00,34370.00,0
2011-05-23,492.00,490.00,481.00,490.00,0.00,120.00,58400.00,0
2011-05-30,490.00,490.00,490.00,490.00,0.00,10.00,4900.00,0
2011-06-02,490.00,484.00,484.00,484.00,0.00,20.00,9680.00,0
2011-06-06,484.00,484.00,475.00,475.00,0.00,30.00,14340.00,0
2011-06-13,475.00,466.00,466.00,466.00,0.00,1870.00,871420.00,0
2011-06-15,466.00,457.00,448.00,448.00,0.00,30.00,13530.00,0
2011-06-16,448.00,448.00,448.00,448.00,0.00,800.00,358400.00,0
2011-06-21,448.00,480.00,445.00,480.00,0.00,60.00,27560.00,0
2011-06-30,480.00,480.00,480.00,480.00,0.00,70.00,33600.00,0
2011-07-03,480.00,480.00,453.00,453.00,0.00,40.00,18660.00,0
2011-07-04,453.00,445.00,430.00,430.00,0.00,4550.00,1959350.00,0
2011-07-05,430.00,430.00,430.00,430.00,0.00,10.00,4300.00,0
2011-07-10,430.00,428.00,425.00,428.00,0.00,70.00,29810.00,0
2011-07-11,428.00,415.00,407.00,415.00,0.00,340.00,138460.00,0
2011-07-17,415.00,439.00,423.00,439.00,0.00,50.00,21550.00,0
2011-07-19,439.00,431.00,431.00,431.00,0.00,20.00,8620.00,0
2011-07-20,431.00,466.00,439.00,466.00,0.00,220.00,100790.00,0
