published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2025-12-08,9.12,9.18,9.12,9.18,0.66,600.0,5494.0,1
2025-12-09,9.36,9.36,9.3,9.3,-0.64,76970.0,720354.5,-1
2025-12-10,9.16,9.34,9.16,9.34,1.97,5100.0,47616.0,1
2025-12-11,9.3,9.35,9.3,9.3,0.0,16790.0,156223.75,0
2025-12-14,9.15,9.36,9.15,9.21,0.66,1200.0,11049.5,1
2025-12-15,9.21,9.21,9.17,9.2,-0.11,400.0,3679.0,-1
2025-12-16,9.2,9.41,9.05,9.21,0.11,5239.0,48517.99,1
2025-12-17,9.3,9.38,9.2,9.2,-1.08,9700.0,90460.0,-1
2025-12-18,9.21,9.35,9.21,9.21,0.0,54100.0,499267.0,0
2025-12-21,9.15,9.33,9.15,9.27,1.31,41900.0,389369.0,1
2025-12-22,9.2,9.38,9.2,9.2,0.0,11525.0,107232.5,0
2025-12-23,9.21,9.37,9.21,9.3,0.98,20538.0,190223.06,1
2025-12-24,9.2,9.26,9.2,9.26,0.65,2300.0,21291.0,1
2025-12-28,9.14,9.43,9.14,9.25,1.2,10500.0,98853.5,1
2025-12-29,9.14,9.45,9.14,9.3,1.75,11645.0,109687.75,1
2025-12-31,9.13,9.48,9.13,9.46,3.61,42900.0,402896.0,1
2026-01-01,9.3,9.41,9.3,9.41,1.18,15500.0,145700.0,1
2026-01-04,9.5,9.82,9.5,9.5,0.0,151847.0,1456154.08,0
2026-01-05,9.31,9.58,9.31,9.58,2.9,800.0,7520.0,1
2026-01-06,9.5,9.77,9.5,9.6,1.05,12834.0,124554.96,1
2026-01-07,9.65,9.65,9.65,9.65,0.0,200.0,1930.0,0
2026-01-08,9.65,9.98,9.65,9.7,0.52,17897.0,174230.55,1
2026-01-12,9.89,9.89,9.7,9.7,-1.92,2343.0,23153.27,-1
2026-01-13,9.55,9.8,9.55,9.8,2.62,2400.0,23333.06,1
2026-01-14,9.61,9.61,9.61,9.61,0.0,1249.0,12002.89,0
2026-01-18,9.42,9.7,9.31,9.7,2.97,5220.0,49543.2,1
2026-01-20,9.51,9.89,9.51,9.89,4.0,600.0,5877.0,1
2026-01-21,10.08,10.25,10.08,10.25,1.69,7500.0,76363.0,1
2026-01-22,10.05,10.44,9.86,10.18,1.29,33500.0,345608.6,1
2026-01-25,10.0,10.0,9.9,9.9,-1.0,4000.0,39900.0,-1
2026-01-26,9.71,10.09,9.7,9.7,-0.1,13261.0,130590.79,-1
2026-01-27,9.52,9.65,9.52,9.65,1.37,500.0,4797.0,1
2026-01-28,9.53,9.89,9.53,9.89,3.78,4700.0,45841.0,1
2026-01-29,9.72,9.73,9.72,9.73,0.1,800.0,7777.0,1
2026-02-01,9.73,9.75,9.56,9.75,0.21,11130.0,107629.35,1
2026-02-02,9.93,9.94,9.75,9.75,-1.81,4150.0,40843.0,-1
2026-02-03,9.6,9.79,9.6,9.68,0.83,1230.0,11951.7,1
2026-02-04,9.87,10.05,9.71,10.05,1.82,5400.0,53259.0,1
2026-02-05,10.02,10.05,10.02,10.05,0.3,1250.0,12546.0,1
2026-02-08,9.85,9.95,9.85,9.95,1.02,6300.0,62675.0,1
2026-02-09,9.85,9.85,9.85,9.85,0.0,200.0,1970.0,0
2026-02-10,9.85,9.95,9.85,9.95,1.02,600.0,5950.0,1
2026-02-11,9.8,9.99,9.7,9.89,0.92,2300.0,22755.0,1
2026-02-12,9.9,9.9,9.9,9.9,0.0,1000.0,9900.0,0
2026-02-16,9.71,10.09,9.71,9.9,1.96,8945.0,89872.05,1
2026-02-17,9.72,9.75,9.7,9.7,-0.21,18060.0,175452.0,-1
2026-02-22,9.7,9.7,9.7,9.7,0.0,100.0,970.0,0
2026-02-23,9.75,9.94,9.55,9.94,1.95,5499.0,53433.25,1
2026-02-24,9.75,9.76,9.75,9.75,0.0,1100.0,10726.0,0
2026-02-25,9.76,9.77,9.76,9.77,0.1,1100.0,10746.0,1
2026-02-26,9.61,9.8,9.61,9.8,1.98,2480.0,24285.0,1
2026-03-01,9.61,9.8,9.61,9.8,1.98,1450.0,14058.5,1
2026-03-03,9.7,9.7,9.7,9.7,0.0,700.0,6790.0,0
2026-03-10,9.53,9.8,9.53,9.8,2.83,4800.0,46638.0,1
2026-03-11,9.8,9.99,9.8,9.99,1.94,6450.0,64118.5,1
2026-03-12,9.9,10.18,9.9,10.0,1.01,3600.0,36008.0,1
2026-03-15,9.9,9.91,9.86,9.91,0.1,3670.0,36225.7,1
2026-03-16,9.72,9.8,9.72,9.75,0.31,1150.0,11229.5,1
2026-03-17,9.94,9.94,9.9,9.94,0.0,6871.0,68289.74,0
2026-03-19,9.84,10.0,9.84,10.0,1.63,1100.0,10861.0,1
2026-03-22,9.81,10.0,9.81,10.0,1.94,4450.0,44300.5,1
2026-03-23,10.0,10.1,9.9,10.0,0.0,3700.0,37090.0,0
2026-03-24,9.83,10.09,9.83,10.0,1.73,2800.0,27961.0,1
2026-03-25,9.83,10.0,9.83,10.0,1.73,4400.0,43814.0,1
2026-03-26,9.83,10.09,9.83,10.09,2.64,2600.0,25935.0,1
2026-03-29,10.29,10.29,10.09,10.1,-1.85,12200.0,125119.0,-1
2026-03-30,10.3,10.3,10.0,10.0,-2.91,9600.0,96700.0,-1
2026-03-31,9.82,10.0,9.82,9.86,0.41,1600.0,15786.0,1
2026-04-01,9.85,9.94,9.7,9.85,0.0,13100.0,129193.0,0
2026-04-02,9.76,9.79,9.76,9.79,0.31,1195.0,11667.2,1
2026-04-05,9.7,9.88,9.65,9.65,-0.52,32140.0,313211.0,-1
2026-04-06,9.48,9.84,9.48,9.84,3.8,2150.0,20904.5,1
2026-04-07,9.65,9.75,9.53,9.7,0.52,3090.0,29862.0,1
2026-04-08,9.71,9.89,9.71,9.89,1.85,900.0,8856.0,1
2026-04-09,9.7,9.9,9.7,9.71,0.1,36800.0,360759.0,1
2026-04-10,9.71,9.85,9.71,9.85,1.44,1000.0,9744.0,1
2026-04-13,9.86,10.05,9.86,10.05,1.93,4100.0,41168.0,1
2026-04-15,9.85,10.0,9.85,10.0,1.52,4900.0,48525.0,1
2026-04-16,9.92,10.19,9.92,10.19,2.72,13745.0,139553.9,1
2026-04-17,10.2,10.2,9.9,10.0,-1.96,6224.0,62870.84,-1
2026-04-20,9.72,10.1,9.72,10.1,3.91,10200.0,102846.0,1
2026-04-21,9.9,9.91,9.9,9.91,0.1,800.0,7926.0,1
2026-04-22,9.76,10.0,9.76,9.91,1.54,1900.0,18844.0,1
2026-04-23,9.91,9.91,9.91,9.91,0.0,100.0,991.0,0
2026-04-24,9.91,9.67,9.67,9.67,-2.42,200.0,1934.0,-1
2026-04-27,9.67,9.92,9.41,9.92,2.59,21735.0,208211.35,1
2026-04-28,9.92,10.12,9.84,9.84,-0.81,33300.0,336047.0,-1
2026-04-30,9.94,9.94,9.65,9.94,0.0,4500.0,44564.5,0
2026-05-04,9.95,9.95,9.95,9.95,0.0,1400.0,13930.0,0
2026-05-05,9.95,9.96,9.95,9.95,0.0,2400.0,23900.0,0
2026-05-06,9.91,10.1,9.91,10.0,0.91,3500.0,35032.0,1
2026-05-07,9.97,10.15,9.91,10.1,1.3,3800.0,38205.0,1
2026-05-08,10.1,10.14,9.85,10.0,-0.99,2756.0,27878.84,-1
2026-05-11,10.0,10.0,9.94,9.95,-0.5,2750.0,27465.5,-1
2026-05-12,9.94,10.2,9.94,10.19,2.52,13000.0,131805.0,1
2026-05-13,10.0,10.2,10.0,10.19,1.9,1300.0,13139.5,1
2026-05-14,10.1,10.1,9.95,9.96,-1.39,11750.0,117135.0,-1
2026-05-15,9.93,10.1,9.93,10.1,1.71,1465.0,14742.0,1
2026-05-18,9.95,9.96,9.95,9.96,0.1,300.0,2987.0,1
2026-05-19,9.96,10.0,9.96,10.0,0.4,500.0,4992.0,1
2026-05-20,9.96,10.0,9.95,10.0,0.4,1900.0,18929.11,1
2026-05-21,9.95,10.0,9.93,9.93,-0.2,2900.0,28864.0,-1
2026-05-22,9.95,9.95,9.95,9.95,0.0,200.0,1990.0,0
2026-05-25,9.95,10.2,9.95,10.0,0.5,5825.0,58005.0,1
2026-05-26,10.3,10.3,10.0,10.2,-0.97,1860.0,18892.0,-1
2026-05-27,10.3,10.34,10.15,10.15,-1.46,6700.0,68089.0,-1
2026-06-02,10.0,10.0,10.0,10.0,0.0,300.0,3000.0,0
2026-06-03,9.86,10.3,9.86,10.0,1.42,2100.0,21250.0,1
2026-06-04,10.29,10.29,10.1,10.15,-1.36,800.0,8109.0,-1
2026-06-05,9.92,9.94,9.92,9.94,0.2,300.0,2980.0,1
2026-06-08,9.9,10.3,9.9,10.3,4.04,28700.0,293690.0,1
2026-06-09,10.6,10.6,10.3,10.3,-2.83,235.0,2461.0,-1
2026-06-10,10.1,10.1,10.1,10.1,0.0,200.0,2020.0,0
2026-06-11,10.0,10.0,9.9,9.9,-1.0,11000.0,108986.0,-1
2026-06-12,10.0,10.9,10.0,10.0,0.0,34675.0,362831.0,0
2026-06-15,10.0,10.3,10.0,10.04,0.4,1740.0,17813.0,1
2026-06-16,10.04,10.2,10.04,10.2,1.59,7920.0,80018.0,1
2026-06-17,9.9,10.0,9.87,9.87,-0.3,800.0,7937.0,-1
2026-06-18,10.0,10.0,10.0,10.0,0.0,100.0,1000.0,0
2026-06-19,10.0,10.3,10.0,10.0,0.0,11300.0,115953.5,0
2026-06-22,10.01,10.2,10.01,10.2,1.9,2600.0,26325.0,1
2026-06-23,10.5,10.81,10.1,10.81,2.95,35365.0,375334.5,1
2026-06-24,10.7,10.79,10.7,10.79,0.84,1800.0,19278.0,1
2026-06-25,10.7,10.7,10.54,10.54,-1.5,2000.0,21384.0,-1
2026-06-26,10.25,10.25,10.25,10.25,0.0,1000.0,10250.0,0
2026-06-29,10.0,10.1,10.0,10.05,0.5,7125.0,71637.5,1
2026-06-30,10.0,10.18,10.0,10.01,0.1,11900.0,119121.0,1
2026-07-01,10.01,10.2,9.8,10.2,1.9,35250.0,348611.0,1
2026-07-02,9.9,10.18,9.9,10.0,1.01,7485.0,74212.3,1
2026-07-03,10.01,10.01,10.0,10.01,0.0,15310.0,153181.0,0
2026-07-06,10.01,10.7,10.01,10.5,4.9,24447.0,255897.94,1
2026-07-07,10.71,10.71,10.4,10.4,-2.89,5200.0,54121.0,-1
2026-07-08,10.3,10.65,10.3,10.3,0.0,6000.0,63470.0,0
2026-07-09,10.0,10.3,10.0,10.03,0.3,12920.0,129847.06,1
2026-07-10,10.0,10.1,10.0,10.0,0.0,1600.0,16050.0,0
2026-07-13,10.3,10.3,10.0,10.0,-2.91,1800.0,18240.0,-1
2026-07-14,10.0,10.0,9.9,9.9,-1.0,1100.0,10950.0,-1
2026-07-17,10.19,10.49,10.19,10.49,2.94,7820.0,81881.8,1
2026-07-20,10.25,10.25,9.95,9.95,-2.93,400.0,4010.0,-1
2026-07-21,10.2,10.24,9.96,9.99,-2.06,13850.0,139229.5,-1
2026-07-22,9.76,9.76,9.76,9.76,0.0,100.0,976.0,0
2026-07-23,9.9,10.35,9.9,10.06,1.62,6820.0,70130.0,1
2026-07-24,10.36,10.36,9.76,9.76,-5.79,750.0,7591.0,-1
2026-07-27,9.76,10.06,9.76,10.0,2.46,9600.0,96296.0,1
2026-07-28,10.3,10.91,10.3,10.91,5.92,64605.0,698928.7,1
2026-07-29,10.69,10.89,10.26,10.79,0.94,34610.0,366092.4,1
2026-07-30,10.47,10.48,10.16,10.46,-0.1,6810.0,71134.8,-1
2026-07-31,10.15,10.2,10.15,10.2,0.49,2300.0,23395.0,1
2026-08-03,10.25,10.5,10.25,10.5,2.44,6100.0,63319.0,1
2026-08-04,10.5,10.8,10.49,10.5,0.0,18077.0,193935.6,0
2026-08-05,10.7,10.7,10.7,10.7,0.0,330.0,3531.0,0
2026-08-07,10.69,10.69,10.69,10.69,0.0,1300.0,13897.0,0
2026-08-10,10.6,10.7,9.9,10.06,-5.09,11530.0,121129.0,-1
