published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2025-12-08,9.02,9.3,8.84,9.0,-0.22,48900.0,441405.0,-1
2025-12-09,9.01,9.07,9.01,9.07,0.67,1100.0,9929.0,1
2025-12-10,8.92,9.15,8.92,9.0,0.9,82600.0,751732.0,1
2025-12-11,9.05,9.18,9.03,9.12,0.77,2761.0,25065.98,1
2025-12-14,9.0,9.46,8.94,9.46,5.11,113500.0,1050242.74,1
2025-12-15,9.4,9.41,9.22,9.41,0.11,3050.0,28560.5,1
2025-12-16,9.25,9.25,9.25,9.25,0.0,100.0,925.0,0
2025-12-17,9.25,9.3,9.07,9.11,-1.51,1600.0,14728.0,-1
2025-12-18,9.09,9.29,9.09,9.29,2.2,7425.0,67888.45,1
2025-12-21,9.12,9.32,9.12,9.13,0.11,69300.0,634500.0,1
2025-12-22,9.12,9.35,9.12,9.22,1.1,82165.0,764945.45,1
2025-12-23,9.12,9.77,9.12,9.75,6.91,24500.0,237033.0,1
2025-12-24,9.61,9.61,9.39,9.5,-1.14,9800.0,93564.0,-1
